edge,score
input->a0.h0<v>,-0.010498047
input->a0.h1<q>,0.010681152
input->a0.h1<k>,-0.031982422
input->a0.h2<q>,0.015625
input->a0.h2<k>,0.033691406
input->a0.h3<q>,0.009521484
input->a0.h3<v>,0.103515625
input->a0.h4<q>,0.016723633
input->a0.h4<k>,0.011108398
input->a0.h4<v>,-0.025146484
input->a0.h5<q>,0.096191406
input->a0.h5<k>,0.076171875
input->a0.h5<v>,0.016845703
input->a0.h6<q>,0.021362305
input->a0.h6<k>,-0.020629883
input->a0.h6<v>,0.14648438
input->a0.h7<q>,-0.059570312
input->a0.h7<k>,0.014221191
input->a0.h7<v>,0.07128906
input->a0.h8<q>,0.014831543
input->a0.h8<k>,0.13085938
input->a0.h8<v>,-0.125
input->a0.h9<q>,0.0390625
input->a0.h9<k>,0.051757812
input->a0.h9<v>,0.083984375
input->a0.h10<q>,0.060058594
input->a0.h10<v>,0.019165039
input->a0.h11<q>,0.014709473
input->a0.h11<v>,-0.19140625
input->m0,1.6875
a0.h1->m0,-0.064453125
a0.h2->m0,-0.020141602
a0.h3->m0,0.013305664
a0.h4->m0,0.012329102
a0.h5->m0,0.021972656
a0.h6->m0,0.014160156
a0.h7->m0,-0.022216797
a0.h8->m0,-0.0095825195
a0.h9->m0,0.021240234
input->a1.h10<q>,-0.009765625
m0->a1.h0<q>,-0.019165039
m0->a1.h0<k>,0.014465332
m0->a1.h0<v>,0.012207031
m0->a1.h2<q>,0.010131836
m0->a1.h2<v>,-0.031982422
m0->a1.h3<q>,0.011779785
m0->a1.h4<v>,0.010803223
m0->a1.h6<k>,0.012084961
m0->a1.h6<v>,0.025756836
m0->a1.h7<k>,-0.017456055
m0->a1.h8<q>,-0.012207031
m0->a1.h9<q>,0.015991211
m0->a1.h9<v>,-0.025634766
m0->a1.h10<q>,-0.021118164
m0->a1.h10<k>,-0.021118164
m0->a1.h10<v>,0.027709961
m0->a1.h11<k>,-0.016113281
input->m1,0.026611328
a0.h1->m1,0.010498047
m0->m1,0.48242188
a1.h5->m1,0.00970459
m0->a2.h1<v>,-0.010070801
m0->a2.h2<q>,0.022949219
m0->a2.h2<k>,0.011962891
m0->a2.h2<v>,0.012207031
m0->a2.h3<q>,-0.010070801
m0->a2.h3<k>,-0.010620117
m0->a2.h3<v>,-0.025878906
m0->a2.h5<q>,-0.015075684
m0->a2.h5<k>,-0.013183594
m0->a2.h7<k>,-0.05126953
m0->a2.h7<v>,0.0154418945
m0->a2.h9<q>,0.00982666
m0->a2.h11<q>,-0.05883789
m1->a2.h7<k>,-0.015014648
m1->a2.h9<k>,0.012512207
input->m2,-0.015258789
m0->m2,0.33789062
m1->m2,0.10498047
a2.h3->m2,-0.011962891
m0->a3.h1<q>,0.014770508
m0->a3.h2<k>,0.014038086
m0->a3.h3<q>,-0.018066406
m0->a3.h3<k>,0.010070801
m0->a3.h3<v>,0.010131836
m0->a3.h4<q>,0.036621094
m0->a3.h5<k>,0.012329102
m0->a3.h6<k>,-0.012817383
m0->a3.h7<k>,0.052490234
m0->a3.h7<v>,-0.017456055
m0->a3.h8<v>,-0.011474609
m0->a3.h9<q>,-0.011779785
m0->a3.h9<k>,0.01574707
m0->a3.h9<v>,0.017211914
m0->a3.h10<v>,0.021362305
m0->a3.h11<q>,-0.009521484
m0->a3.h11<k>,0.02331543
m0->a3.h11<v>,-0.013305664
m1->a3.h3<k>,0.009887695
m1->a3.h5<k>,0.0095825195
m1->a3.h7<k>,0.01373291
m1->a3.h7<v>,-0.0099487305
m1->a3.h9<v>,0.010070801
m1->a3.h11<v>,-0.009399414
m2->a3.h2<v>,0.010864258
m0->m3,-0.016845703
a1.h11->m3,-0.011352539
m1->m3,0.052490234
m2->m3,0.12109375
m0->a4.h0<k>,-0.012207031
m0->a4.h1<v>,-0.010375977
m0->a4.h2<q>,0.010620117
m0->a4.h2<k>,-0.02722168
m0->a4.h4<q>,-0.014160156
m0->a4.h6<q>,0.016357422
m0->a4.h6<k>,-0.011962891
m0->a4.h7<v>,0.026367188
m0->a4.h9<q>,0.0138549805
m0->a4.h10<q>,-0.022216797
m0->a4.h11<v>,-0.020629883
m1->a4.h4<k>,0.010314941
m2->a4.h1<v>,-0.010986328
m2->a4.h11<v>,-0.016357422
m3->a4.h11<v>,-0.011413574
input->m4,0.013427734
m0->m4,0.07080078
m1->m4,-0.010253906
m2->m4,-0.012512207
a3.h3->m4,-0.018798828
m3->m4,-0.017089844
m0->a5.h0<k>,0.014587402
m0->a5.h1<q>,0.05029297
m0->a5.h1<k>,0.01965332
m0->a5.h2<q>,0.019165039
m0->a5.h2<k>,0.020141602
m0->a5.h3<q>,0.011230469
m0->a5.h3<k>,-0.012878418
m0->a5.h5<k>,0.021606445
m0->a5.h7<q>,-0.012634277
m0->a5.h7<k>,0.009216309
m0->a5.h8<q>,-0.018066406
m0->a5.h8<k>,-0.025146484
m0->a5.h9<q>,-0.01171875
m0->a5.h9<k>,-0.036621094
m0->a5.h9<v>,0.011230469
