edge,score
input->a0.h0<v>,-0.042236328
input->a0.h3<v>,-0.01171875
input->a0.h4<q>,0.010681152
input->a0.h4<k>,0.026367188
input->a0.h4<v>,0.04248047
input->a0.h5<q>,0.071777344
input->a0.h5<k>,0.036132812
input->a0.h5<v>,0.052490234
input->a0.h6<k>,0.021606445
input->a0.h6<v>,0.20117188
input->a0.h7<v>,-0.02746582
input->a0.h8<q>,0.018066406
input->a0.h8<k>,0.063964844
input->a0.h8<v>,-0.17089844
input->a0.h9<v>,-0.025512695
input->a0.h10<q>,0.011779785
input->a0.h10<v>,0.017578125
input->a0.h11<k>,0.042236328
input->a0.h11<v>,-0.03564453
input->m0,0.40429688
a0.h0->m0,-0.041503906
a0.h1->m0,-0.038330078
a0.h2->m0,0.030273438
a0.h3->m0,0.030029297
a0.h4->m0,-0.046142578
a0.h5->m0,-0.017089844
a0.h7->m0,-0.01574707
a0.h8->m0,-0.026855469
a0.h10->m0,-0.043701172
m0->a1.h1<v>,-0.011657715
m0->a1.h3<q>,-0.016235352
m0->a1.h3<k>,-0.021972656
m0->a1.h3<v>,0.020629883
m0->a1.h4<v>,-0.018920898
m0->a1.h5<q>,-0.010498047
m0->a1.h5<k>,-0.014160156
m0->a1.h5<v>,-0.016113281
m0->a1.h6<v>,0.015075684
m0->a1.h7<v>,0.020263672
m0->a1.h9<q>,0.010559082
m0->a1.h9<v>,-0.015991211
m0->a1.h10<v>,-0.012817383
m0->a1.h11<v>,-0.013977051
m0->m1,0.328125
m0->a2.h0<v>,-0.010681152
m0->a2.h1<k>,0.0115356445
m0->a2.h1<v>,0.053955078
m0->a2.h4<v>,0.013366699
m0->a2.h5<k>,-0.011169434
m0->a2.h5<v>,-0.021728516
m0->a2.h6<v>,0.026977539
m0->a2.h8<k>,-0.011779785
m0->a2.h9<v>,-0.03125
m0->a2.h11<q>,0.010253906
m0->a2.h11<k>,-0.03112793
m1->a2.h1<v>,-0.043701172
m1->a2.h6<v>,-0.011352539
m1->a2.h8<v>,-0.013916016
m1->a2.h9<v>,-0.01361084
m1->a2.h11<q>,-0.011962891
input->m2,0.011962891
m0->m2,-0.084472656
a1.h0->m2,-0.010009766
a1.h11->m2,0.012573242
m1->m2,0.052734375
a2.h3->m2,0.010498047
a2.h9->m2,-0.0119018555
input->a3.h7<k>,0.0154418945
m0->a3.h0<k>,0.01361084
m0->a3.h3<q>,0.015136719
m0->a3.h5<v>,-0.02355957
