edge,score
input->m0,-7296.0
a0.h0->m0,492.0
a0.h1->m0,366.0
a0.h2->m0,468.0
a0.h3->m0,448.0
a0.h4->m0,432.0
a0.h5->m0,414.0
a0.h6->m0,438.0
a0.h7->m0,-382.0
a0.h8->m0,-346.0
a0.h9->m0,-450.0
a0.h10->m0,-492.0
a0.h11->m0,-536.0
a0.h12->m0,-442.0
a0.h13->m0,-157.0
m0->a1.h0<q>,-1680.0
m0->a1.h1<q>,1080.0
m0->a1.h3<q>,844.0
m0->a1.h4<q>,-3584.0
m0->a1.h6<q>,2224.0
m0->a1.h7<q>,1912.0
m0->a1.h8<q>,-4352.0
m0->a1.h9<q>,-944.0
m0->a1.h10<q>,192.0
m0->a1.h11<q>,-1264.0
m0->a1.h12<q>,-6304.0
input->m1,-372.0
m0->m1,-7424.0
a1.h0->m1,-1020.0
a1.h1->m1,-988.0
a1.h2->m1,-1216.0
a1.h3->m1,-728.0
a1.h4->m1,-932.0
a1.h5->m1,-1576.0
a1.h6->m1,-326.0
a1.h7->m1,-2080.0
a1.h8->m1,-1824.0
a1.h9->m1,-592.0
a1.h10->m1,-808.0
a1.h11->m1,-2800.0
a1.h12->m1,-486.0
a1.h13->m1,-1712.0
input->a2.h1<q>,-131.0
m0->a2.h0<q>,636.0
m0->a2.h1<q>,1792.0
m0->a2.h2<q>,2240.0
m0->a2.h4<q>,608.0
m0->a2.h7<q>,516.0
m0->a2.h10<q>,688.0
m0->a2.h11<q>,-284.0
m0->a2.h12<q>,234.0
a1.h0->a2.h1<q>,-318.0
a1.h0->a2.h2<q>,142.0
a1.h1->a2.h2<q>,368.0
a1.h1->a2.h3<q>,-134.0
a1.h1->a2.h6<q>,154.0
a1.h2->a2.h1<q>,-214.0
a1.h2->a2.h2<q>,242.0
a1.h3->a2.h1<q>,-400.0
a1.h3->a2.h2<q>,215.0
a1.h3->a2.h6<q>,131.0
a1.h4->a2.h2<q>,422.0
a1.h4->a2.h6<q>,170.0
a1.h4->a2.h7<q>,-141.0
a1.h5->a2.h1<q>,-494.0
a1.h5->a2.h2<q>,145.0
a1.h6->a2.h1<q>,-180.0
a1.h6->a2.h2<q>,330.0
a1.h6->a2.h6<q>,140.0
a1.h7->a2.h1<q>,290.0
a1.h7->a2.h4<q>,340.0
a1.h7->a2.h13<q>,129.0
a1.h8->a2.h0<q>,354.0
a1.h8->a2.h1<q>,424.0
a1.h8->a2.h2<q>,187.0
a1.h8->a2.h4<q>,488.0
a1.h8->a2.h5<q>,-205.0
a1.h9->a2.h1<q>,414.0
a1.h9->a2.h4<q>,227.0
a1.h9->a2.h10<q>,-166.0
a1.h9->a2.h12<q>,-125.5
a1.h10->a2.h0<q>,-236.0
a1.h10->a2.h2<q>,180.0
a1.h11->a2.h0<q>,260.0
a1.h11->a2.h1<q>,502.0
a1.h11->a2.h4<q>,512.0
a1.h11->a2.h5<q>,-157.0
a1.h11->a2.h13<q>,173.0
a1.h12->a2.h1<q>,474.0
a1.h12->a2.h2<q>,188.0
a1.h12->a2.h4<q>,193.0
a1.h12->a2.h10<q>,-159.0
a1.h13->a2.h0<q>,184.0
a1.h13->a2.h1<q>,298.0
a1.h13->a2.h4<q>,304.0
m1->a2.h0<q>,-3504.0
m1->a2.h1<q>,-592.0
m1->a2.h2<q>,-22144.0
m1->a2.h4<q>,288.0
m1->a2.h5<q>,-4736.0
m1->a2.h6<q>,344.0
m1->a2.h7<q>,-3488.0
m1->a2.h8<q>,314.0
m1->a2.h10<q>,-7744.0
m1->a2.h11<q>,1496.0
m1->a2.h12<q>,-1256.0
m1->a2.h13<q>,-1320.0
m0->m2,-6400.0
a1.h0->m2,228.0
a1.h1->m2,-768.0
a1.h2->m2,182.0
a1.h3->m2,-148.0
a1.h4->m2,-628.0
a1.h7->m2,195.0
a1.h8->m2,564.0
a1.h9->m2,141.0
a1.h10->m2,-266.0
a1.h13->m2,414.0
m1->m2,34304.0
a2.h1->m2,-346.0
a2.h3->m2,-340.0
a2.h5->m2,-382.0
a2.h6->m2,-215.0
a2.h7->m2,-472.0
a2.h9->m2,-238.0
a2.h10->m2,-366.0
a2.h11->m2,-390.0
a2.h12->m2,-536.0
m0->a3.h2<q>,-154.0
m1->a3.h1<q>,136.0
m1->a3.h2<q>,-496.0
m1->a3.h5<q>,158.0
m1->a3.h7<q>,-134.0
m1->a3.h8<q>,-157.0
m1->a3.h9<q>,-544.0
m1->a3.h11<q>,290.0
m2->a3.h1<q>,-708.0
m2->a3.h2<q>,-1752.0
m2->a3.h3<q>,-282.0
m2->a3.h4<q>,-336.0
m2->a3.h6<q>,-211.0
m2->a3.h7<q>,-154.0
m2->a3.h8<q>,628.0
m2->a3.h9<q>,1128.0
m2->a3.h10<q>,430.0
m2->a3.h11<q>,-848.0
m2->a3.h12<q>,-608.0
m2->a3.h13<q>,-374.0
m0->m3,4768.0
a1.h1->m3,-159.0
a1.h10->m3,178.0
a1.h11->m3,-159.0
m1->m3,-27904.0
a2.h7->m3,186.0
a2.h11->m3,128.0
a2.h13->m3,158.0
m2->m3,116224.0
a3.h0->m3,-191.0
a3.h1->m3,-189.0
a3.h2->m3,-229.0
a3.h3->m3,-129.0
a3.h4->m3,-210.0
a3.h5->m3,-140.0
a3.h6->m3,-183.0
a3.h9->m3,-138.0
m0->a4.h3<q>,-144.0
m1->a4.h1<q>,-300.0
m1->a4.h2<q>,-149.0
m1->a4.h3<q>,800.0
m1->a4.h4<q>,-292.0
m1->a4.h8<q>,201.0
m1->a4.h10<q>,134.0
m1->a4.h12<q>,-159.0
m2->a4.h1<q>,1328.0
m2->a4.h2<q>,1160.0
m2->a4.h3<q>,-3744.0
m2->a4.h4<q>,404.0
m2->a4.h6<q>,340.0
m2->a4.h7<q>,155.0
m2->a4.h8<q>,502.0
m2->a4.h9<q>,-298.0
m2->a4.h10<q>,264.0
m2->a4.h11<q>,414.0
m2->a4.h12<q>,338.0
m2->a4.h13<q>,360.0
m3->a4.h2<q>,152.0
m3->a4.h3<q>,-616.0
m0->m4,-3440.0
a1.h1->m4,159.0
m1->m4,24192.0
a2.h3->m4,-187.0
m2->m4,-63488.0
a3.h0->m4,195.0
a3.h1->m4,143.0
a3.h3->m4,161.0
a3.h5->m4,151.0
a3.h6->m4,134.0
m3->m4,-3488.0
a4.h0->m4,-458.0
a4.h1->m4,-430.0
a4.h2->m4,-404.0
a4.h3->m4,-386.0
a4.h4->m4,-458.0
a4.h5->m4,-438.0
a4.h6->m4,-412.0
a4.h7->m4,134.0
a4.h8->m4,218.0
a4.h9->m4,166.0
a4.h10->m4,165.0
a4.h11->m4,186.0
a4.h12->m4,183.0
m1->a5.h1<q>,-242.0
m1->a5.h13<q>,-220.0
m2->a5.h2<q>,158.0
m2->a5.h3<q>,-336.0
m2->a5.h7<q>,278.0
m2->a5.h8<q>,390.0
m2->a5.h9<q>,-276.0
m2->a5.h13<q>,412.0
m4->a5.h0<q>,1760.0
m4->a5.h1<q>,7136.0
m4->a5.h2<q>,2768.0
m4->a5.h3<q>,-3632.0
m4->a5.h4<q>,624.0
m4->a5.h5<q>,-1200.0
m4->a5.h6<q>,3456.0
m4->a5.h7<q>,7328.0
m4->a5.h8<q>,-784.0
m4->a5.h9<q>,-2528.0
m4->a5.h11<q>,1072.0
m4->a5.h12<q>,-2432.0
m4->a5.h13<q>,32768.0
m1->m5,748.0
m2->m5,-2944.0
a3.h5->m5,-130.0
a3.h6->m5,-130.0
m3->m5,151.0
a4.h1->m5,156.0
a4.h3->m5,132.0
a4.h4->m5,147.0
a4.h6->m5,147.0
a4.h7->m5,-150.0
a4.h13->m5,-140.0
m4->m5,-107520.0
m1->a6.h2<q>,-292.0
m1->a6.h6<q>,126.0
m2->a6.h2<q>,432.0
m2->a6.h4<q>,135.0
