clean,corrupted,label
He remained dumb.,x x xx,Il est resté silencieux.
He found a nice apartment for Mary.,x x x x x x xx,Il a trouvé un bel appartement pour Mary.
He met a nice young man.,x x x x x xx,Il a rencontré un gentil jeune homme.
He has already finished his work.,x x x x x xx,Il a déjà fini son travail.
He has already said yes.,x x x x xx,Il a déjà dit oui.
He proved to be a spy.,x x x x x xx,Il s'est révélé être un espion.
He was under suspicion of being a spy.,x x x x x x x xx,On le soupçonnait d'être un espion.
He composes beautiful poems.,x x x xx,Il compose de beaux poèmes.
He fainted in the midst of his speech.,x x x x x x x xx,Il s'est évanoui au milieu de son discours.
He fainted in the middle of his speech.,x x x x x x x xx,Il s'est évanoui au milieu de son discours.
He was caught for speeding.,x x x x xx,Il a été arrêté pour excès de vitesse.
He is said to know a lot about Spain.,x x x x x x x x xx,On dit qu'il sait beaucoup de choses sur l'Espagne.
He thinks of everything in terms of money.,x x x x x x x xx,Il pense à tout en termes d'argent.
He was bereft of all hope.,x x x x x xx,Il perdit tout espoir.
He lost all his hopes.,x x x x xx,Il perdit tout espoir.
He abandoned all hope.,x x x xx,Il abandonna tout espoir.
He gave up hope.,x x x xx,Il abandonna tout espoir.
He is the tallest of all boys.,x x x x x x xx,C'est le plus grand de tous les garçons.
He sees everything in terms of money.,x x x x x x xx,Il voit tout en termes d'argent.
"He looks like a sportsman, but he is a writer.",x x x x xx x x x x xx,"On dirait un sportif, mais il est écrivain."
He always takes his time in everything that he does.,x x x x x x x x x xx,Il prend toujours son temps pour tout ce qu'il fait.
He stayed there not more than four days.,x x x x x x x xx,Il n'est pas resté là-bas plus de quatre jours.
"He said it, and what was more surprising, he did it himself.",x x xx x x x x xx x x x xx,"Il a dit ça, et ce qui était plus surprenant encore, il l'a fait lui-même."
He had no qualms in doing so.,x x x x x x xx,Il n'eût aucun scrupule à faire comme cela.
He may have said so.,x x x x xx,Il a peut-être dit ça.
He seems to think so.,x x x x xx,Il semble penser cela.
He will arrive there about five o'clock.,x x x x x x xxxx,Il arrivera là-bas à 5 heures environ.
He sat there smoking a pipe.,x x x x x xx,Il était assis là et fumait sa pipe.
Did he go there?,x x x xx,Est-il allé là-bas ?
He denied knowing anything about it.,x x x x x xx,Il a nié savoir quelque chose à ce sujet.
He seems to know nothing about the matter.,x x x x x x x xx,Il semble ne rien savoir de ce problème.
He was excluded from the team.,x x x x x xx,Il a été exclu de l'équipe.
He is on the team.,x x x x xx,Il fait partie de l'équipe.
He likes that video game very much.,x x x x x x xx,Il aime beaucoup ce jeu vidéo.
He had no money with him then.,x x x x x x xx,Il n'avait alors pas d'argent sur lui.
He had no difficulty explaining the mystery.,x x x x x x xx,Il n'a pas eu de difficulté à expliquer le mystère.
He finished the beer and ordered another.,x x x x x x xx,Il a bu sa bière et en a commandé une autre.
He asked me to throw the ball back.,x x x x x x x xx,Il me demanda de lui renvoyer la balle.
He's on top of the world after hearing the good news.,xxx x x x x x x x x x xx,Il est sur un nuage après cette bonne nouvelle.
He won the race easily.,x x x x xx,Il a facilement gagné la course.
He took part in the race.,x x x x x xx,Il a pris part à la course.
He came to inspect the house with a view to buying it.,x x x x x x x x x x x xx,Il est venu visiter cette maison dans le but de l'acheter.
He was excluded from the society.,x x x x x xx,Il fut exclu de la société.
He arrived in time for the meeting.,x x x x x x xx,Il arriva à l'heure pour la réunion.
He is present at the meeting.,x x x x x xx,Il est présent à la réunion.
He paid as much as a million dollars for the painting.,x x x x x x x x x x xx,Il a payé un million de dollars pour ce tableau.
He bought the picture for next to nothing.,x x x x x x x xx,Il acheta le tableau pour presque rien.
He is rich enough to buy the painting.,x x x x x x x xx,Il est assez riche pour acheter la peinture.
He was not aware of the danger.,x x x x x x xx,Il n'était pas prévenu du danger.
He was unaware of the danger.,x x x x x xx,Il n'était pas conscient du danger.
