edge,score
input->m0,-2912.0
a0.h0->m0,-204.0
a0.h1->m0,-156.0
a0.h2->m0,-175.0
a0.h3->m0,-204.0
a0.h4->m0,-182.0
a0.h5->m0,-162.0
a0.h6->m0,-188.0
a0.h13->m0,45.5
input->a1.h10<q>,-69.0
m0->a1.h0<q>,-156.0
m0->a1.h3<q>,-209.0
m0->a1.h4<q>,440.0
m0->a1.h5<q>,-51.75
m0->a1.h6<q>,-200.0
m0->a1.h7<q>,66.0
m0->a1.h8<q>,440.0
m0->a1.h9<q>,196.0
m0->a1.h10<q>,1456.0
m0->a1.h11<q>,396.0
m0->a1.h12<q>,386.0
m0->a1.h13<q>,61.5
m0->m1,180.0
a1.h0->m1,35.5
a1.h1->m1,-264.0
a1.h2->m1,205.0
a1.h3->m1,107.0
a1.h4->m1,-96.0
a1.h5->m1,138.0
a1.h6->m1,211.0
a1.h9->m1,121.0
a1.h10->m1,-77.0
a1.h12->m1,110.5
a1.h13->m1,151.0
m0->a2.h1<q>,183.0
m0->a2.h2<q>,-42.25
m0->a2.h4<q>,103.0
m0->a2.h7<q>,-87.5
m0->a2.h10<q>,-52.75
m0->a2.h11<q>,-36.25
a1.h1->a2.h4<q>,31.375
a1.h1->a2.h7<q>,68.0
a1.h3->a2.h1<q>,43.75
a1.h4->a2.h1<q>,43.75
a1.h4->a2.h7<q>,50.5
a1.h5->a2.h1<q>,-96.0
a1.h5->a2.h2<q>,35.0
a1.h5->a2.h4<q>,58.5
a1.h7->a2.h1<q>,-178.0
a1.h8->a2.h7<q>,37.75
a1.h10->a2.h1<q>,-70.5
a1.h11->a2.h1<q>,-81.5
a1.h11->a2.h4<q>,79.0
a1.h11->a2.h10<q>,-39.75
a1.h12->a2.h7<q>,31.875
a1.h13->a2.h4<q>,53.75
a1.h13->a2.h7<q>,53.5
m1->a2.h0<q>,59.0
m1->a2.h2<q>,-79.5
m1->a2.h4<q>,366.0
m1->a2.h5<q>,-138.0
m1->a2.h7<q>,-41.0
m1->a2.h9<q>,53.75
m1->a2.h10<q>,98.5
m1->a2.h12<q>,33.75
m0->m2,86.0
a1.h0->m2,-67.5
a1.h1->m2,-93.5
a1.h2->m2,-79.5
a1.h3->m2,-117.0
a1.h4->m2,-47.0
a1.h8->m2,129.0
a1.h10->m2,-72.5
a1.h12->m2,90.0
a1.h13->m2,50.25
m1->m2,4000.0
a2.h2->m2,-80.0
a2.h3->m2,91.0
a2.h4->m2,88.5
a2.h6->m2,63.25
a2.h7->m2,51.25
a2.h8->m2,172.0
a2.h9->m2,189.0
a2.h10->m2,43.0
a2.h11->m2,84.5
a2.h12->m2,175.0
a2.h13->m2,88.5
m1->a3.h10<q>,-51.25
m2->a3.h0<q>,91.5
m2->a3.h1<q>,-51.25
