edge,score
input->a0.h1<v>,0.01361084
input->a0.h2<v>,0.026245117
input->a0.h3<v>,0.06542969
input->a0.h4<v>,0.00982666
input->a0.h6<v>,0.052490234
input->a0.h7<v>,-0.022338867
input->a0.h8<v>,0.08886719
input->a0.h9<v>,0.056152344
input->a0.h10<v>,-0.060546875
input->a0.h11<v>,0.029541016
input->m0,0.1640625
a0.h1->m0,0.010498047
a0.h3->m0,0.04345703
a0.h6->m0,0.06298828
a0.h7->m0,-0.013427734
a0.h8->m0,0.06542969
a0.h9->m0,0.013305664
a0.h10->m0,-0.08300781
a0.h11->m0,0.030029297
m0->a1.h0<v>,0.015380859
m0->a1.h2<v>,-0.016601562
m0->a1.h3<v>,-0.018798828
m0->a1.h4<v>,0.025878906
m0->a1.h6<v>,-0.022949219
m0->a1.h7<v>,0.03515625
m0->a1.h8<v>,-0.023803711
m0->a1.h9<v>,0.016601562
m0->a1.h10<v>,-0.038085938
input->m1,-0.068359375
a0.h4->m1,-0.010864258
a0.h5->m1,-0.012817383
a0.h7->m1,-0.016357422
a0.h8->m1,0.0134887695
a0.h9->m1,0.029541016
a0.h11->m1,-0.014831543
m0->m1,-0.13769531
a1.h0->m1,-0.013366699
a1.h1->m1,-0.017700195
a1.h2->m1,-0.024414062
a1.h5->m1,0.015563965
a1.h8->m1,-0.030639648
a1.h9->m1,0.022705078
a1.h10->m1,-0.0390625
m0->a2.h1<v>,0.012756348
m0->a2.h2<v>,0.0115356445
m0->a2.h3<v>,0.022949219
m0->a2.h7<v>,-0.010803223
m0->a2.h9<v>,0.029785156
m0->a2.h10<v>,0.013366699
m0->m2,-0.328125
a1.h7->m2,-0.015075684
a1.h8->m2,0.012573242
a1.h10->m2,-0.00970459
m1->m2,-0.033691406
m0->a3.h0<v>,-0.025268555
m0->a3.h3<v>,0.016967773
m0->a3.h4<v>,0.022827148
m0->a3.h5<v>,0.04321289
m0->a3.h6<v>,0.014282227
m0->a3.h7<v>,0.01574707
m0->a3.h11<v>,0.013916016
input->m3,-0.012268066
m0->m3,-0.080078125
m2->m3,0.047607422
m0->a4.h0<v>,0.018554688
m0->a4.h2<v>,0.018432617
m0->a4.h3<v>,0.015319824
m0->a4.h4<v>,-0.016113281
m0->a4.h5<v>,0.015014648
m0->a4.h6<v>,-0.010131836
m0->a4.h7<v>,0.008850098
m0->a4.h8<v>,0.021606445
m0->a4.h9<v>,0.00970459
m0->a4.h10<v>,-0.032714844
m0->a4.h11<v>,0.010559082
m2->a4.h2<v>,-0.012573242
m2->a4.h6<v>,0.011657715
m2->a4.h8<v>,-0.013183594
m2->a4.h9<v>,-0.013183594
m2->a4.h10<v>,0.016601562
m2->a4.h11<v>,-0.01586914
m0->m4,-0.052246094
m1->m4,0.01953125
m2->m4,0.09375
m0->a5.h0<v>,0.050048828
m0->a5.h1<v>,0.030761719
m0->a5.h4<v>,0.020629883
m0->a5.h5<v>,-0.010620117
m0->a5.h6<v>,0.024414062
m0->a5.h7<v>,0.037353516
m0->a5.h8<v>,0.008911133
m0->a5.h9<v>,-0.008972168
m0->a5.h10<v>,0.014831543
m0->a5.h11<v>,-0.044433594
m1->a5.h0<v>,-0.008911133
m2->a5.h1<v>,0.009033203
m2->a5.h3<v>,-0.012817383
m2->a5.h4<v>,-0.010498047
m2->a5.h5<v>,-0.01574707
m2->a5.h9<v>,0.032226562
m2->a5.h10<v>,-0.01586914
