edge,score
input->a0.h1<q>,-19.25
input->a0.h5<q>,-47.0
input->a0.h7<q>,-25.25
input->a0.h12<q>,-58.25
input->a0.h13<q>,23.875
input->m0,-346.0
a0.h0->m0,-62.75
a0.h1->m0,-60.5
a0.h2->m0,-65.5
a0.h3->m0,-56.0
a0.h4->m0,-51.0
a0.h5->m0,-50.0
a0.h6->m0,-45.5
a0.h7->m0,-276.0
a0.h8->m0,-18.875
a0.h9->m0,-28.75
a0.h10->m0,-46.0
a0.h11->m0,-24.5
a0.h12->m0,-51.0
a0.h13->m0,-32.75
input->a1.h11<q>,-20.75
m0->a1.h0<q>,-63.75
m0->a1.h1<q>,-207.0
m0->a1.h2<q>,-146.0
m0->a1.h3<q>,-98.0
m0->a1.h4<q>,-93.5
m0->a1.h5<q>,-80.0
m0->a1.h6<q>,-720.0
m0->a1.h7<q>,-111.5
m0->a1.h8<q>,-482.0
m0->a1.h9<q>,-410.0
m0->a1.h10<q>,-27.375
m0->a1.h11<q>,-248.0
m0->a1.h12<q>,-492.0
m0->a1.h13<q>,-58.25
input->m1,18.375
m0->m1,-708.0
a1.h0->m1,-169.0
a1.h1->m1,83.0
a1.h2->m1,-173.0
a1.h3->m1,-210.0
a1.h4->m1,-177.0
a1.h5->m1,-69.0
a1.h6->m1,-125.5
a1.h7->m1,-20.0
a1.h8->m1,-138.0
a1.h9->m1,78.0
a1.h11->m1,258.0
a1.h12->m1,22.875
a1.h13->m1,-225.0
m0->a2.h1<q>,-140.0
m0->a2.h7<q>,21.5
m0->a2.h10<q>,-20.125
a1.h0->a2.h1<q>,41.5
a1.h0->a2.h5<q>,22.375
a1.h0->a2.h10<q>,-29.875
a1.h1->a2.h2<q>,16.75
a1.h2->a2.h1<q>,17.625
a1.h3->a2.h1<q>,27.25
a1.h3->a2.h5<q>,-38.5
a1.h3->a2.h6<q>,23.0
a1.h4->a2.h2<q>,16.0
a1.h4->a2.h5<q>,-57.5
a1.h5->a2.h3<q>,16.5
a1.h6->a2.h10<q>,-22.875
a1.h7->a2.h0<q>,-29.0
a1.h7->a2.h1<q>,34.5
a1.h7->a2.h10<q>,-31.25
a1.h8->a2.h1<q>,34.5
a1.h9->a2.h1<q>,-27.875
