edge,score
input->a0.h0<q>,-1.5078125
input->a0.h1<q>,-0.096191406
input->a0.h2<q>,-0.27929688
input->a0.h3<q>,0.072265625
input->a0.h4<q>,-0.36523438
input->a0.h5<q>,0.45507812
input->a0.h6<q>,1.0625
input->a0.h7<q>,0.3203125
input->a0.h8<q>,-0.9140625
input->a0.h9<q>,0.1875
input->a0.h10<q>,0.40234375
input->a0.h11<q>,0.33789062
input->a0.h12<q>,0.49414062
input->a0.h13<q>,-2.625
input->a0.h14<q>,0.009033203
input->a0.h15<q>,0.25976562
input->a0.h16<q>,-0.578125
input->a0.h17<q>,-0.93359375
input->a0.h18<q>,-0.16210938
input->a0.h19<q>,-1.546875
input->a0.h20<q>,-0.17578125
input->a0.h21<q>,-0.08935547
input->a0.h22<q>,-0.37304688
input->a0.h23<q>,-0.018432617
input->a0.h24<q>,-0.82421875
input->a0.h25<q>,-0.28710938
input->a0.h26<q>,-1.609375
input->a0.h27<q>,-0.31445312
input->a0.h28<q>,0.7890625
input->a0.h29<q>,-0.44335938
input->a0.h30<q>,0.23242188
input->a0.h31<q>,0.05908203
a0.h1->m0,-0.010070801
a0.h2->m0,-0.004852295
a0.h3->m0,-0.004760742
a0.h5->m0,0.004547119
a0.h6->m0,0.0038146973
a0.h7->m0,-0.0046691895
a0.h10->m0,0.0038909912
a0.h12->m0,-0.0071411133
a0.h14->m0,0.0058898926
a0.h15->m0,0.007080078
a0.h16->m0,-0.0051879883
a0.h18->m0,-0.007873535
a0.h22->m0,0.0037841797
a0.h23->m0,-0.0076904297
a0.h24->m0,-0.008056641
a0.h26->m0,0.010009766
a0.h27->m0,0.0078125
m0->a1.h0<q>,-0.02722168
m0->a1.h2<q>,-0.020263672
m0->a1.h3<q>,-0.0099487305
m0->a1.h9<q>,0.004852295
m0->a1.h16<q>,-0.0067443848
m0->a1.h19<q>,0.008300781
m0->a1.h20<q>,0.008117676
m0->a1.h21<q>,-0.010131836
m0->a1.h31<q>,0.004486084
m0->m1,-0.037109375
m0->a2.h0<q>,-0.011474609
m0->a2.h1<q>,0.049804688
m0->a2.h11<q>,0.014404297
m0->a2.h16<q>,0.028930664
m0->a2.h20<q>,0.0065612793
m0->a2.h21<q>,0.038085938
m0->a2.h22<q>,0.004272461
m0->a2.h23<q>,0.0038452148
m0->a2.h25<q>,0.0071105957
m0->a2.h27<q>,-0.00982666
m0->a2.h29<q>,-0.005859375
m0->a2.h30<q>,0.12988281
m0->a2.h31<q>,-0.003692627
m1->a2.h30<q>,0.0043029785
m0->m2,0.13476562
m0->a3.h13<q>,0.0038452148
m0->a3.h15<q>,0.005004883
m0->a3.h18<q>,-0.005554199
m0->a3.h21<q>,-0.0053100586
m0->a3.h23<q>,-0.0041503906
m0->a3.h26<q>,0.010009766
m0->a3.h27<q>,0.007873535
m0->a3.h29<q>,0.0036315918
m0->a3.h30<q>,-0.016235352
m2->a3.h27<q>,-0.0040893555
m0->m3,-0.123535156
m2->m3,-0.004211426
m0->a4.h4<q>,-0.00793457
m0->a4.h5<q>,-0.033935547
m0->a4.h7<q>,0.012634277
m0->a4.h8<q>,-0.027709961
m0->a4.h9<q>,0.026245117
m0->a4.h12<q>,0.050048828
m0->a4.h13<q>,0.0042419434
m0->a4.h15<q>,-0.028320312
m0->a4.h19<q>,0.0036010742
m0->a4.h20<q>,-0.008178711
m0->a4.h28<q>,0.028076172
m2->a4.h15<q>,0.0043029785
m2->a4.h28<q>,0.00491333
m0->m4,0.095214844
m2->m4,-0.009887695
m0->a5.h1<q>,0.04321289
m0->a5.h2<q>,-0.008544922
m0->a5.h3<q>,0.030517578
m0->a5.h4<q>,0.030883789
m0->a5.h13<q>,0.0072631836
m0->a5.h17<q>,0.037109375
m0->a5.h18<q>,0.004211426
m0->a5.h19<q>,-0.028320312
m0->a5.h22<q>,0.061279297
m0->a5.h23<q>,0.010498047
m0->a5.h24<q>,0.056884766
m0->a5.h26<q>,0.0046081543
m0->a5.h27<q>,0.0037841797
m0->a5.h30<q>,-0.23144531
m2->a5.h4<q>,0.004699707
m2->a5.h24<q>,0.004547119
m3->a5.h4<q>,-0.005126953
m0->m5,-0.007232666
m2->m5,-0.0099487305
m4->m5,0.0036010742
m0->a6.h0<q>,-0.011230469
m0->a6.h2<q>,-0.005004883
m0->a6.h3<q>,0.011108398
m0->a6.h5<q>,-0.0050354004
m0->a6.h7<q>,-0.014770508
m0->a6.h9<q>,0.008605957
m0->a6.h10<q>,-0.05883789
m0->a6.h12<q>,-0.06298828
m0->a6.h13<q>,-0.00390625
m0->a6.h14<q>,0.06982422
m0->a6.h15<q>,-0.0052490234
m0->a6.h17<q>,0.0039367676
m0->a6.h18<q>,0.009399414
m0->a6.h20<q>,0.012573242
m0->a6.h22<q>,-0.0043640137
m0->a6.h24<q>,-0.009155273
m0->a6.h29<q>,-0.025756836
m2->a6.h14<q>,-0.0038452148
m5->a6.h20<q>,-0.0043029785
m5->a6.h21<q>,-0.0046691895
m0->m6,-0.012329102
m4->m6,0.0039367676
m0->a7.h1<q>,-0.0039978027
m0->a7.h7<q>,-0.007232666
m0->a7.h8<q>,0.009521484
m0->a7.h10<q>,0.0059814453
m0->a7.h11<q>,-0.01171875
m0->a7.h14<q>,-0.025634766
m0->a7.h15<q>,0.005554199
m0->a7.h17<q>,-0.028564453
m0->a7.h18<q>,-0.059326172
m0->a7.h19<q>,0.0068359375
m0->a7.h20<q>,0.007537842
m0->a7.h29<q>,0.012451172
m0->a7.h30<q>,-0.017700195
m5->m7,-0.004211426
m0->a8.h0<q>,-0.0039978027
m0->a8.h2<q>,0.016357422
m0->a8.h7<q>,-0.0119018555
m0->a8.h9<q>,0.024169922
m0->a8.h12<q>,0.03125
m0->a8.h13<q>,-0.0041503906
m0->a8.h15<q>,-0.010803223
m0->a8.h16<q>,0.0057678223
m0->a8.h19<q>,0.010131836
m0->a8.h26<q>,0.00491333
m5->a8.h9<q>,-0.0058898926
m6->a8.h7<q>,0.005554199
m0->m8,0.11230469
m0->a9.h1<q>,0.009033203
m0->a9.h6<q>,0.004852295
m0->a9.h7<q>,-0.0056152344
m0->a9.h8<q>,-0.014831543
m0->a9.h9<q>,-0.0056762695
m0->a9.h11<q>,-0.0039367676
m0->a9.h13<q>,-0.018066406
m0->a9.h15<q>,0.023071289
m0->a9.h16<q>,-0.004180908
m0->a9.h17<q>,-0.006591797
m0->a9.h19<q>,-0.018432617
m0->a9.h21<q>,0.03149414
m0->a9.h22<q>,-0.008178711
m0->a9.h23<q>,0.005004883
m0->a9.h26<q>,-0.076660156
m0->a9.h27<q>,-0.04663086
m0->a9.h28<q>,0.011657715
m0->a9.h29<q>,-0.011230469
m2->a9.h26<q>,-0.01171875
m5->a9.h26<q>,-0.005126953
m6->a9.h21<q>,-0.0036468506
m8->a9.h26<q>,0.0058288574
m0->m9,-0.3125
m3->m9,-0.0069274902
m4->m9,0.009277344
m5->m9,-0.021118164
m6->m9,-0.00982666
m7->m9,0.0039367676
m0->a10.h1<q>,0.004211426
m0->a10.h2<q>,-0.0040893555
m0->a10.h4<q>,0.0043029785
m0->a10.h5<q>,0.0043640137
m0->a10.h11<q>,-0.022827148
m0->a10.h12<q>,0.019165039
m0->a10.h13<q>,-0.0052490234
m0->a10.h15<q>,-0.63671875
m0->a10.h17<q>,-0.0063171387
m0->a10.h18<q>,-0.009155273
