edge,score
input->a0.h0<k>,0.009399414
input->a0.h1<k>,0.08251953
input->a0.h1<v>,0.06298828
input->a0.h2<q>,0.020141602
input->a0.h2<k>,0.016113281
input->a0.h2<v>,0.015014648
input->a0.h3<v>,0.024169922
input->a0.h4<v>,0.010620117
input->a0.h5<q>,0.012878418
input->a0.h5<k>,0.020263672
input->a0.h6<q>,0.009765625
input->a0.h6<v>,0.047851562
input->a0.h8<q>,0.045898438
input->a0.h8<k>,0.03540039
input->a0.h8<v>,-0.027832031
input->a0.h9<q>,0.0078125
input->a0.h9<v>,0.019042969
input->a0.h10<q>,-0.052734375
input->a0.h10<k>,-0.040527344
input->a0.h10<v>,-0.04248047
input->a0.h11<v>,-0.048828125
input->m0,0.99609375
a0.h1->m0,-0.048339844
a0.h2->m0,0.0079956055
a0.h4->m0,-0.018066406
a0.h5->m0,0.036376953
a0.h8->m0,-0.0087890625
a0.h10->m0,0.032714844
input->a1.h10<q>,-0.011962891
m0->a1.h0<q>,0.012634277
m0->a1.h0<k>,-0.009765625
m0->a1.h0<v>,-0.011108398
m0->a1.h1<k>,0.015625
m0->a1.h1<v>,-0.011169434
m0->a1.h2<v>,-0.016601562
m0->a1.h5<v>,-0.018554688
m0->a1.h6<q>,-0.023803711
m0->a1.h7<k>,-0.00982666
m0->a1.h7<v>,0.009155273
m0->a1.h10<k>,-0.007873535
m0->a1.h10<v>,0.012084961
m0->a1.h11<q>,-0.016113281
m0->a1.h11<k>,-0.0077209473
input->m1,0.026733398
m0->m1,0.26757812
input->a2.h8<k>,0.007659912
m0->a2.h0<k>,0.014038086
m0->a2.h1<k>,0.009155273
m0->a2.h3<k>,-0.033691406
m0->a2.h4<q>,-0.015014648
m0->a2.h4<k>,0.011108398
m0->a2.h4<v>,-0.016601562
m0->a2.h5<k>,-0.012878418
m0->a2.h6<k>,0.021728516
m0->a2.h7<q>,0.025756836
m0->a2.h7<k>,-0.029663086
m0->a2.h7<v>,0.008178711
m0->a2.h10<k>,0.0134887695
m0->a2.h10<v>,-0.016601562
m0->a2.h11<q>,0.023071289
m0->a2.h11<v>,0.009399414
m1->a2.h11<q>,-0.017456055
input->m2,-0.010925293
a0.h7->m2,0.00793457
m0->m2,0.015014648
m1->m2,-0.015625
a2.h5->m2,0.008056641
m0->a3.h0<q>,-0.013061523
m0->a3.h0<k>,-0.007873535
m0->a3.h2<q>,0.0095825195
m0->a3.h2<v>,0.009887695
m0->a3.h3<q>,-0.0095825195
m0->a3.h3<k>,-0.022338867
m0->a3.h4<q>,0.008361816
m0->a3.h6<k>,0.01574707
m0->a3.h6<v>,-0.009094238
m0->a3.h7<q>,0.009399414
m0->a3.h7<k>,-0.028442383
m0->a3.h8<v>,-0.013305664
m0->a3.h10<q>,-0.011108398
m0->a3.h10<k>,-0.01171875
m0->a3.h10<v>,0.0076293945
m0->a3.h11<q>,0.008056641
m0->a3.h11<v>,-0.01965332
m1->a3.h1<q>,-0.01373291
m1->a3.h2<k>,0.018798828
m1->a3.h2<v>,0.009277344
m1->a3.h10<q>,-0.010253906
m1->a3.h11<v>,-0.0072631836
m2->a3.h2<q>,-0.008178711
m2->a3.h2<k>,0.0076293945
m2->a3.h4<q>,-0.007659912
m2->a3.h9<v>,0.0078125
input->m3,0.010986328
m0->m3,0.07421875
a2.h2->m3,0.008605957
m2->m3,-0.025878906
m0->a4.h0<k>,-0.061279297
m0->a4.h5<k>,-0.017211914
m0->a4.h5<v>,-0.012268066
m0->a4.h6<k>,-0.007446289
m0->a4.h7<q>,-0.011352539
m0->a4.h7<v>,0.010681152
m0->a4.h10<q>,-0.015563965
m0->a4.h11<v>,-0.017944336
m1->a4.h0<k>,0.01373291
m1->a4.h4<q>,-0.024414062
m1->a4.h6<q>,-0.011230469
m1->a4.h7<v>,0.010925293
m2->a4.h0<q>,-0.020507812
m2->a4.h0<k>,-0.01928711
m2->a4.h0<v>,0.010681152
m2->a4.h1<k>,0.008056641
m2->a4.h4<q>,0.008117676
m2->a4.h6<q>,0.008728027
m3->a4.h0<q>,-0.014526367
m3->a4.h0<k>,0.030883789
m3->a4.h4<k>,-0.01928711
m3->a4.h7<v>,0.014587402
input->m4,-0.016235352
m0->m4,-0.072265625
a2.h2->m4,-0.011352539
a3.h2->m4,0.010375977
m3->m4,-0.008850098
a4.h11->m4,-0.008361816
m0->a5.h0<v>,-0.012573242
m0->a5.h1<q>,0.008911133
m0->a5.h1<k>,0.00793457
m0->a5.h1<v>,-0.0076293945
m0->a5.h4<v>,-0.009155273
m0->a5.h5<q>,-0.018432617
m0->a5.h5<v>,-0.0076293945
m0->a5.h6<q>,-0.015991211
m0->a5.h7<v>,0.0075683594
