task,train_subset,test_subset,metric,value,json_path
yelp,base,simple,accuracy,0.036,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_yelp_test_simple_base_full.json
yelp,base,complex,accuracy,0.029,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_yelp_test_complex_base_full.json
yelp,simple,simple,accuracy,0.936,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_yelp_train_simple_test_simple_full.json
yelp,simple,complex,accuracy,0.94,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_yelp_train_simple_test_complex_full.json
yelp,complex,simple,accuracy,0.939,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_yelp_train_complex_test_simple_full.json
yelp,complex,complex,accuracy,0.945,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_yelp_train_complex_test_complex_full.json
squad,base,simple,avg_f1,0.5125261419999281,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_test_simple_base_full.json
squad,base,simple,avg_em,0.33679245283018866,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_test_simple_base_full.json
squad,base,complex,avg_f1,0.5374524019951668,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_test_complex_base_full.json
squad,base,complex,avg_em,0.374,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_test_complex_base_full.json
squad,simple,simple,avg_f1,0.7568570093715336,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_simple_test_simple_full.json
squad,simple,simple,avg_em,0.6028301886792453,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_simple_test_simple_full.json
squad,simple,complex,avg_f1,0.8437477658949082,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_simple_test_complex_full.json
squad,simple,complex,avg_em,0.717,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_simple_test_complex_full.json
squad,complex,simple,avg_f1,0.756634343738242,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_complex_test_simple_full.json
squad,complex,simple,avg_em,0.6018867924528302,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_complex_test_simple_full.json
squad,complex,complex,avg_f1,0.8389731599626343,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_complex_test_complex_full.json
squad,complex,complex,avg_em,0.705,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_squad_train_complex_test_complex_full.json
tatoeba,base,simple,avg_bleu,0.26788006412972454,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_tatoeba_test_simple_base_full_nltk.json
tatoeba,base,complex,avg_bleu,0.2671429485970122,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_tatoeba_test_complex_base_full_nltk.json
tatoeba,simple,simple,avg_bleu,0.352273949662738,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_tatoeba_train_simple_test_simple_full_nltk.json
tatoeba,simple,complex,avg_bleu,0.3756655788470908,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_tatoeba_train_simple_test_complex_full_nltk.json
tatoeba,complex,simple,avg_bleu,0.34459236116748265,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_tatoeba_train_complex_test_simple_full_nltk.json
tatoeba,complex,complex,avg_bleu,0.36060694697533235,/users/sglli24/UnderstandingFineTuningViaMI/experiments/text_complexity/fine_tune/results_full/eval_results_tatoeba_train_complex_test_complex_full_nltk.json
