edge,score
input->a0.h0<v>,-0.007019043
input->a0.h1<v>,-0.008850098
input->a0.h2<v>,0.006439209
input->a0.h5<v>,0.0065612793
input->a0.h6<v>,0.025146484
input->a0.h7<v>,-0.0050354004
input->a0.h8<v>,-0.012207031
input->a0.h9<v>,0.045654297
input->a0.h10<v>,-0.023925781
input->a0.h11<v>,-0.021118164
input->m0,0.04711914
a0.h0->m0,0.0057678223
a0.h4->m0,0.0043029785
a0.h6->m0,0.006439209
a0.h7->m0,-0.005126953
a0.h8->m0,0.006652832
a0.h9->m0,0.011352539
a0.h10->m0,-0.007385254
m0->a1.h0<v>,0.008911133
m0->a1.h4<v>,-0.021606445
m0->a1.h5<v>,0.0043029785
m0->a1.h6<v>,-0.0045776367
m0->a1.h8<v>,0.006286621
m0->a1.h9<v>,0.0039978027
a0.h9->m1,-0.005340576
a0.h11->m1,0.004852295
m0->m1,0.056884766
a1.h1->m1,-0.005493164
a1.h5->m1,0.004119873
a1.h8->m1,-0.004180908
a1.h9->m1,0.0046691895
m0->a2.h0<v>,-0.0036468506
m0->a2.h3<v>,0.0076293945
m0->a2.h4<v>,-0.0051574707
m0->a2.h5<v>,-0.010498047
m0->a2.h7<v>,0.009521484
m0->a2.h9<v>,0.0048828125
m0->a2.h10<v>,0.012207031
m0->a2.h11<v>,-0.004852295
input->m2,0.006652832
m0->m2,-0.10498047
a1.h1->m2,-0.003829956
a1.h10->m2,0.008361816
m1->m2,-0.010253906
m0->a3.h4<v>,0.0072021484
m0->a3.h5<v>,0.0074157715
input->m3,0.0073547363
m0->m3,-0.080566406
m1->m3,-0.004699707
m2->m3,0.06298828
m0->a4.h2<v>,-0.009277344
m0->a4.h4<v>,-0.0079956055
m0->a4.h5<v>,0.00390625
m0->a4.h8<v>,0.006713867
m2->a4.h4<v>,0.005859375
m2->a4.h8<v>,-0.0077819824
input->m4,0.006378174
m0->m4,0.0058288574
a1.h10->m4,-0.004180908
m2->m4,0.0078125
m3->m4,0.0115356445
m0->a5.h0<k>,0.003768921
m0->a5.h0<v>,0.0043029785
m0->a5.h1<q>,0.00793457
m0->a5.h1<k>,0.007873535
m0->a5.h1<v>,0.005706787
m0->a5.h2<k>,0.0043945312
m0->a5.h5<v>,0.010925293
m0->a5.h9<k>,-0.005065918
m0->a5.h9<v>,0.0058288574
m0->a5.h10<v>,0.0047912598
m0->a5.h11<v>,-0.0054016113
a1.h7->a5.h9<v>,0.004425049
m2->a5.h0<v>,-0.0079956055
m2->a5.h1<q>,0.006286621
m2->a5.h1<k>,0.0058898926
input->m5,-0.0045166016
m0->m5,0.041259766
a1.h10->m5,0.0045776367
m1->m5,0.01574707
m2->m5,-0.01965332
m3->m5,-0.010620117
m4->m5,-0.0060424805
m0->a6.h1<k>,0.0036773682
m0->a6.h2<k>,-0.0045166016
m0->a6.h2<v>,-0.0065612793
m0->a6.h3<k>,0.0038909912
m0->a6.h4<q>,-0.0057373047
m0->a6.h4<k>,-0.004211426
m0->a6.h5<q>,0.0039978027
m0->a6.h5<k>,-0.0095825195
m0->a6.h5<v>,0.006134033
m0->a6.h6<k>,-0.00491333
m0->a6.h6<v>,-0.012329102
m0->a6.h7<v>,0.007507324
m0->a6.h8<v>,-0.0038909912
m0->a6.h10<v>,-0.007537842
a1.h4->a6.h10<v>,-0.0045166016
m2->a6.h1<v>,0.0071105957
m2->a6.h4<q>,-0.004638672
m2->a6.h5<v>,-0.006713867
m2->a6.h6<v>,-0.005554199
m2->a6.h8<v>,0.003753662
m2->a6.h9<v>,-0.0037841797
a5.h11->a6.h10<v>,0.004547119
m5->a6.h10<v>,0.0045166016
input->m6,-0.0039978027
m0->m6,0.053466797
m2->m6,-0.033203125
m3->m6,0.009216309
m5->m6,-0.015136719
a6.h6->m6,-0.004699707
input->a7.h11<v>,-0.004180908
a0.h8->a7.h11<v>,0.0038452148
a0.h10->a7.h11<v>,0.003616333
m0->a7.h1<v>,0.016845703
m0->a7.h2<k>,0.0058898926
m0->a7.h3<v>,-0.00793457
m0->a7.h4<v>,-0.009033203
m0->a7.h6<q>,-0.005340576
m0->a7.h6<v>,-0.005706787
m0->a7.h7<q>,0.006713867
m0->a7.h7<k>,0.0044555664
m0->a7.h7<v>,0.012268066
m0->a7.h8<v>,0.0039367676
m0->a7.h9<v>,-0.00390625
m0->a7.h10<v>,0.006011963
m0->a7.h11<q>,0.0047302246
m0->a7.h11<v>,-0.010986328
a1.h1->a7.h6<v>,-0.004486084
m1->a7.h6<v>,0.0062561035
m2->a7.h1<v>,-0.004760742
m2->a7.h4<v>,0.0064086914
m2->a7.h6<v>,0.00982666
m3->a7.h6<v>,0.004272461
m5->a7.h6<v>,0.003616333
a6.h6->a7.h6<v>,0.0043640137
a6.h10->a7.h6<v>,-0.0041503906
m0->m7,0.014221191
m2->m7,-0.006439209
m4->m7,0.007293701
m5->m7,0.011413574
a7.h6->m7,-0.0043640137
m0->a8.h0<v>,0.007293701
m0->a8.h1<q>,0.00970459
m0->a8.h1<k>,0.010864258
m0->a8.h1<v>,0.010803223
m0->a8.h2<v>,-0.0079956055
m0->a8.h5<v>,-0.0042419434
m0->a8.h6<k>,0.005493164
m0->a8.h6<v>,0.014831543
m0->a8.h7<v>,0.0039978027
m0->a8.h8<v>,0.004760742
m0->a8.h10<q>,0.003768921
m0->a8.h10<k>,-0.0095825195
m0->a8.h10<v>,-0.00982666
m1->a8.h0<v>,-0.0038452148
m2->a8.h1<v>,0.010375977
m2->a8.h5<v>,-0.0062561035
m2->a8.h9<v>,-0.0064086914
m2->a8.h10<v>,-0.0087890625
m5->a8.h2<v>,0.003829956
m0->m8,0.007873535
m1->m8,0.0072021484
m2->m8,-0.006439209
m3->m8,0.0057678223
m0->a9.h0<v>,-0.0038604736
m0->a9.h1<q>,-0.004699707
m0->a9.h1<k>,-0.0051574707
m0->a9.h1<v>,0.0062561035
m0->a9.h2<v>,0.0051879883
m0->a9.h3<v>,0.0050354004
m0->a9.h4<v>,-0.020629883
m0->a9.h5<k>,-0.0039978027
m0->a9.h5<v>,0.009155273
m0->a9.h6<k>,0.0045166016
m0->a9.h6<v>,0.012451172
m0->a9.h7<k>,-0.008178711
m0->a9.h7<v>,-0.008728027
m0->a9.h9<v>,-0.007080078
m0->a9.h11<q>,0.006866455
m0->a9.h11<k>,0.0049743652
m0->a9.h11<v>,0.033691406
a1.h1->a9.h4<v>,0.0037231445
m2->a9.h1<v>,-0.00793457
m2->a9.h3<v>,0.018310547
m2->a9.h4<v>,0.0048217773
m2->a9.h5<v>,-0.003753662
m2->a9.h7<v>,-0.012451172
m2->a9.h11<v>,0.008972168
m5->a9.h11<v>,0.006011963
input->m9,-0.00491333
m0->m9,0.036376953
m1->m9,0.0065612793
m2->m9,-0.030639648
m3->m9,0.010131836
m4->m9,0.010070801
m7->m9,-0.004211426
a9.h11->m9,0.0036773682
a0.h8->a10.h8<v>,0.0038604736
a0.h10->a10.h8<v>,0.005065918
