edge,score
input->a0.h0<v>,0.037597656
input->a0.h1<q>,-0.008728027
input->a0.h1<k>,-0.027709961
input->a0.h1<v>,0.05444336
input->a0.h2<v>,0.045898438
input->a0.h4<v>,-0.011413574
input->a0.h5<v>,0.012023926
input->a0.h6<v>,0.025512695
input->a0.h7<v>,0.095214844
input->a0.h9<v>,0.091796875
input->a0.h11<v>,0.041015625
input->m0,-1.1328125
a0.h0->m0,0.060058594
a0.h1->m0,0.0115356445
a0.h2->m0,0.017089844
a0.h5->m0,-0.008850098
a0.h6->m0,0.009460449
a0.h7->m0,0.056640625
a0.h9->m0,0.024047852
a0.h10->m0,-0.029174805
input->a1.h9<v>,0.012756348
m0->a1.h0<v>,0.02734375
m0->a1.h1<v>,-0.020751953
m0->a1.h2<v>,0.008728027
m0->a1.h6<v>,-0.018188477
m0->a1.h7<v>,-0.020629883
m0->a1.h9<v>,0.052734375
m0->a1.h11<v>,0.013977051
input->m1,-0.024658203
a0.h1->m1,0.011108398
a0.h3->m1,-0.012512207
a0.h6->m1,0.008850098
a0.h7->m1,0.012573242
a0.h9->m1,-0.013671875
a0.h11->m1,0.024047852
m0->m1,-0.0625
a1.h0->m1,0.008361816
a1.h1->m1,-0.017211914
a1.h8->m1,-0.014709473
a1.h9->m1,0.023803711
a1.h11->m1,0.00982666
m0->a2.h3<v>,0.017578125
m0->a2.h5<v>,-0.025268555
m0->a2.h6<v>,-0.01574707
m0->a2.h7<v>,0.017700195
m0->a2.h10<v>,0.028930664
m0->a2.h11<v>,0.012329102
input->m2,0.022949219
m0->m2,-0.20117188
a1.h10->m2,0.020996094
m1->m2,0.052246094
m0->a3.h0<v>,-0.025512695
m0->a3.h3<v>,0.015014648
m0->a3.h8<v>,-0.020629883
m0->a3.h9<v>,-0.025024414
m2->a3.h4<v>,-0.008422852
m0->m3,-0.07714844
m0->a4.h1<v>,-0.008666992
m0->a4.h2<v>,0.013061523
m0->a4.h4<v>,-0.014831543
m0->a4.h5<v>,0.021728516
m0->a4.h6<k>,0.011169434
m0->a4.h6<v>,-0.010009766
m0->a4.h7<v>,0.009277344
m0->a4.h8<v>,-0.042236328
m0->a4.h9<k>,0.008178711
m0->a4.h10<v>,-0.03881836
