edge,score
input->a0.h0<v>,-0.048095703
input->a0.h1<v>,0.026123047
input->a0.h2<v>,-0.052734375
input->a0.h3<k>,0.03173828
input->a0.h4<v>,-0.043701172
input->a0.h5<q>,0.016479492
input->a0.h5<v>,-0.024414062
input->a0.h6<v>,-0.061035156
input->a0.h7<v>,0.072265625
input->a0.h8<k>,0.033447266
input->a0.h8<v>,0.067871094
input->a0.h9<v>,-0.05029297
input->a0.h10<q>,0.015014648
input->a0.h10<k>,0.03112793
input->a0.h10<v>,0.033691406
input->a0.h11<v>,-0.06542969
input->m0,0.66015625
a0.h1->m0,0.024902344
a0.h2->m0,0.017211914
a0.h3->m0,-0.02734375
a0.h4->m0,0.06640625
a0.h5->m0,0.041992188
a0.h7->m0,-0.022705078
a0.h8->m0,-0.024414062
a0.h9->m0,0.10205078
a0.h10->m0,-0.017456055
a0.h11->m0,0.096191406
m0->a1.h1<v>,0.037109375
m0->a1.h2<v>,0.021972656
m0->a1.h3<k>,-0.020141602
m0->a1.h3<v>,0.037597656
m0->a1.h4<v>,-0.050048828
m0->a1.h5<v>,-0.018554688
m0->a1.h7<v>,-0.15332031
m0->a1.h8<q>,0.019042969
m0->a1.h8<v>,0.038085938
m0->a1.h9<q>,0.057617188
m0->a1.h9<k>,0.018920898
m0->a1.h10<v>,-0.026123047
m0->a1.h11<q>,0.020507812
m0->a1.h11<k>,0.028442383
input->m1,-0.022460938
m0->m1,0.69140625
a1.h11->m1,-0.018066406
m0->a2.h0<v>,0.015991211
m0->a2.h1<k>,-0.015075684
m0->a2.h1<v>,-0.040527344
m0->a2.h3<v>,-0.028808594
m0->a2.h4<v>,0.017822266
m0->a2.h5<q>,0.017089844
m0->a2.h7<q>,-0.0154418945
m0->a2.h10<q>,-0.025512695
m0->a2.h10<v>,-0.024169922
m0->a2.h11<q>,0.028808594
m0->a2.h11<k>,-0.045410156
m0->a2.h11<v>,0.04345703
m1->a2.h5<v>,0.016357422
m1->a2.h6<v>,0.026123047
m1->a2.h7<v>,-0.015625
m1->a2.h10<v>,-0.03540039
