edge,score
input->a0.h0<v>,-0.06298828
input->a0.h1<v>,0.041503906
input->a0.h3<k>,0.027709961
input->a0.h4<v>,-0.037597656
input->a0.h5<q>,0.078125
input->a0.h5<k>,0.01977539
input->a0.h6<v>,-0.076171875
input->a0.h7<q>,-0.021240234
input->a0.h7<v>,0.057617188
input->a0.h8<k>,0.05029297
input->a0.h8<v>,0.040527344
input->a0.h9<q>,-0.019042969
input->a0.h9<v>,-0.10205078
input->a0.h10<q>,0.025878906
input->a0.h10<k>,0.030151367
input->a0.h11<v>,-0.053955078
input->m0,0.62109375
a0.h0->m0,-0.029785156
a0.h1->m0,0.024414062
a0.h2->m0,0.021850586
a0.h3->m0,-0.026245117
a0.h4->m0,0.072265625
a0.h5->m0,0.043701172
a0.h7->m0,-0.04321289
a0.h9->m0,0.10107422
a0.h11->m0,0.115722656
m0->a1.h2<v>,0.028320312
m0->a1.h3<v>,0.032714844
m0->a1.h4<v>,-0.025634766
m0->a1.h5<v>,-0.045898438
m0->a1.h6<v>,0.017456055
m0->a1.h7<v>,-0.14941406
m0->a1.h8<q>,0.024536133
m0->a1.h8<v>,0.041015625
m0->a1.h9<q>,0.087890625
m0->a1.h9<k>,0.023071289
m0->a1.h10<v>,-0.032714844
m0->a1.h11<q>,0.022949219
m0->a1.h11<k>,0.025024414
m0->a1.h11<v>,-0.01928711
input->m1,-0.017944336
a0.h8->m1,-0.026611328
m0->m1,0.86328125
a1.h11->m1,-0.022216797
m0->a2.h1<v>,-0.045410156
m0->a2.h3<v>,-0.033935547
m0->a2.h4<v>,0.03564453
m0->a2.h5<q>,0.023803711
m0->a2.h5<v>,-0.022949219
m0->a2.h7<k>,0.03149414
m0->a2.h7<v>,-0.026367188
m0->a2.h10<q>,-0.02331543
m0->a2.h10<v>,-0.038085938
m0->a2.h11<q>,0.028320312
m0->a2.h11<k>,-0.03881836
m0->a2.h11<v>,0.03564453
m1->a2.h6<v>,0.029785156
m1->a2.h10<v>,-0.041992188
m1->a2.h11<k>,-0.028564453
input->m2,-0.047607422
m0->m2,-0.09375
a1.h1->m2,-0.033203125
a1.h6->m2,-0.020019531
m1->m2,0.20996094
m0->a3.h1<q>,0.038085938
m0->a3.h3<q>,0.040283203
m0->a3.h3<k>,-0.028076172
m0->a3.h5<k>,0.022949219
m0->a3.h5<v>,-0.045654297
m0->a3.h8<v>,-0.022827148
m0->a3.h9<k>,-0.018554688
m0->a3.h9<v>,0.028808594
m0->a3.h11<v>,-0.022460938
m1->a3.h1<q>,-0.039794922
m1->a3.h1<k>,0.032958984
m1->a3.h3<q>,-0.041259766
m1->a3.h5<q>,0.033691406
m1->a3.h5<v>,0.02331543
m1->a3.h10<q>,-0.017700195
m1->a3.h11<q>,-0.019897461
m2->a3.h1<q>,-0.02355957
m2->a3.h1<v>,-0.022827148
m2->a3.h4<q>,0.026245117
m2->a3.h5<q>,0.022460938
m2->a3.h5<v>,-0.02734375
m2->a3.h8<v>,0.026733398
input->m3,-0.03515625
m0->m3,0.38671875
a1.h11->m3,-0.019897461
m1->m3,0.05102539
a2.h3->m3,0.026733398
m0->a4.h1<v>,-0.017944336
m0->a4.h2<k>,0.020507812
m0->a4.h4<k>,0.031982422
m0->a4.h4<v>,0.025268555
m0->a4.h5<q>,0.02722168
m0->a4.h5<v>,0.018432617
m0->a4.h6<q>,-0.087402344
m0->a4.h6<k>,0.042236328
m0->a4.h7<q>,-0.026123047
m0->a4.h7<v>,-0.03491211
m0->a4.h8<q>,-0.021850586
m0->a4.h9<q>,0.017822266
m0->a4.h9<k>,-0.019897461
m0->a4.h9<v>,-0.059326172
m0->a4.h10<k>,-0.022827148
m0->a4.h10<v>,0.026611328
m1->a4.h4<q>,0.025268555
m1->a4.h4<v>,-0.020996094
m1->a4.h5<q>,-0.022705078
m1->a4.h6<q>,0.048095703
m1->a4.h6<k>,-0.027832031
m1->a4.h7<v>,0.020507812
m1->a4.h9<q>,-0.04321289
m2->a4.h2<v>,-0.030761719
m2->a4.h4<v>,-0.033691406
m2->a4.h8<q>,-0.01965332
m3->a4.h2<q>,-0.03466797
m3->a4.h5<v>,-0.017700195
m3->a4.h6<v>,-0.026611328
m3->a4.h7<v>,0.0234375
m3->a4.h8<q>,0.041992188
m3->a4.h8<v>,-0.041992188
m3->a4.h10<q>,-0.021972656
input->m4,0.022338867
m0->m4,-0.11230469
m1->m4,0.025878906
m2->m4,0.091796875
m3->m4,0.20019531
m0->a5.h0<q>,-0.033447266
m0->a5.h0<v>,0.018554688
m0->a5.h2<v>,0.036132812
m0->a5.h3<v>,-0.04345703
m0->a5.h5<q>,-0.017456055
m0->a5.h6<v>,-0.017822266
m0->a5.h7<q>,0.021606445
m0->a5.h8<q>,-0.043701172
m0->a5.h9<q>,0.01928711
m0->a5.h10<v>,-0.022216797
m0->a5.h11<q>,-0.026123047
m0->a5.h11<k>,0.033935547
m0->a5.h11<v>,-0.030273438
m1->a5.h2<q>,-0.021972656
m1->a5.h3<v>,0.017700195
m1->a5.h4<q>,-0.026855469
m1->a5.h4<v>,-0.03125
m1->a5.h8<q>,0.043945312
m1->a5.h11<q>,0.018188477
m1->a5.h11<v>,0.029663086
m2->a5.h0<q>,-0.023803711
m2->a5.h3<v>,-0.028930664
m2->a5.h5<q>,-0.021118164
m2->a5.h9<q>,0.055419922
m2->a5.h10<v>,0.026367188
m3->a5.h0<q>,0.022827148
m3->a5.h2<v>,-0.020507812
m3->a5.h3<q>,-0.020019531
m3->a5.h3<v>,0.021606445
m3->a5.h4<v>,-0.029418945
m3->a5.h7<v>,-0.017456055
m3->a5.h8<q>,0.025878906
m3->a5.h9<q>,-0.064941406
m4->a5.h3<v>,-0.022705078
m4->a5.h4<v>,-0.024902344
m4->a5.h7<v>,0.01940918
a0.h9->m5,0.018554688
m1->m5,0.025634766
a2.h10->m5,-0.019042969
m4->m5,0.071777344
a5.h1->m5,0.018310547
m0->a6.h0<k>,-0.018066406
m0->a6.h0<v>,0.02355957
m0->a6.h1<q>,-0.02722168
m0->a6.h2<q>,-0.040039062
m0->a6.h2<v>,0.04711914
m0->a6.h3<v>,-0.043945312
m0->a6.h4<v>,-0.03955078
m0->a6.h5<v>,0.059326172
m0->a6.h6<v>,-0.018676758
m0->a6.h7<v>,-0.029418945
m0->a6.h8<v>,-0.036132812
m1->a6.h0<q>,-0.07714844
m1->a6.h0<k>,0.049804688
m1->a6.h0<v>,0.025634766
m1->a6.h1<q>,0.020263672
m1->a6.h3<v>,-0.02355957
m1->a6.h4<q>,-0.023071289
m1->a6.h6<q>,-0.01940918
m1->a6.h8<q>,0.017700195
m1->a6.h11<q>,-0.01928711
m2->a6.h0<q>,-0.037841797
m2->a6.h2<v>,-0.018188477
m2->a6.h3<v>,0.04345703
m2->a6.h4<q>,0.018798828
m2->a6.h8<v>,0.018188477
m3->a6.h0<q>,-0.05029297
m3->a6.h4<q>,-0.042236328
m3->a6.h4<v>,0.019165039
m3->a6.h5<v>,-0.023071289
m3->a6.h6<q>,-0.020629883
m3->a6.h10<q>,-0.029418945
m4->a6.h0<q>,-0.026855469
m4->a6.h5<q>,-0.017944336
m4->a6.h5<v>,-0.021240234
m5->a6.h0<v>,-0.060546875
m5->a6.h3<v>,-0.017700195
m5->a6.h4<q>,-0.030883789
