edge,score
input->a0.h0<v>,-0.008544922
input->a0.h1<v>,-0.0040893555
input->a0.h2<v>,0.0051574707
input->a0.h5<v>,0.010375977
input->a0.h6<v>,0.024414062
input->a0.h8<v>,-0.0075683594
input->a0.h9<v>,0.04272461
input->a0.h10<v>,-0.026977539
input->a0.h11<v>,-0.017456055
input->m0,0.048828125
a0.h0->m0,0.004486084
a0.h1->m0,0.0065307617
a0.h6->m0,0.006225586
a0.h7->m0,-0.005279541
a0.h8->m0,0.0067443848
a0.h9->m0,0.013305664
a0.h10->m0,-0.007080078
m0->a1.h0<v>,0.004180908
m0->a1.h3<v>,0.0038146973
m0->a1.h4<v>,-0.010620117
m0->a1.h5<v>,0.004699707
m0->a1.h8<v>,0.00793457
m0->a1.h9<v>,0.016723633
m0->a1.h10<v>,0.0060424805
a0.h9->m1,-0.0043945312
a0.h11->m1,0.0040893555
m0->m1,0.025024414
a1.h5->m1,0.004119873
a1.h9->m1,0.006134033
a1.h10->m1,-0.005004883
m0->a2.h3<v>,0.007507324
m0->a2.h4<v>,-0.00491333
m0->a2.h5<v>,-0.009521484
m0->a2.h7<v>,0.012756348
m0->a2.h10<v>,0.010498047
input->m2,0.010131836
m0->m2,-0.12792969
a1.h10->m2,0.018798828
m1->m2,-0.01373291
m0->a3.h4<v>,0.0069885254
m0->a3.h5<v>,0.004760742
input->m3,0.00970459
m0->m3,-0.09423828
a1.h10->m3,0.008605957
m2->m3,0.057617188
m0->a4.h2<v>,-0.012084961
m0->a4.h4<v>,-0.0043029785
m0->a4.h5<v>,0.0045166016
m0->a4.h8<v>,0.009460449
m0->a4.h10<v>,0.00390625
m2->a4.h8<v>,-0.007019043
input->m4,0.0056152344
m0->m4,-0.025268555
a1.h10->m4,-0.0069274902
m1->m4,-0.0064697266
m2->m4,0.025268555
m3->m4,0.0056152344
m0->a5.h0<v>,0.005279541
m0->a5.h1<q>,0.004852295
m0->a5.h1<k>,0.007232666
m0->a5.h1<v>,0.0053100586
m0->a5.h2<k>,0.004486084
m0->a5.h5<v>,0.010803223
m0->a5.h9<k>,-0.0048828125
m0->a5.h10<v>,0.0045166016
m0->a5.h11<v>,-0.004699707
m2->a5.h0<v>,-0.005279541
m2->a5.h1<k>,0.0057678223
m2->a5.h1<v>,0.0061035156
m2->a5.h3<v>,0.004699707
m2->a5.h5<v>,-0.006958008
m2->a5.h9<v>,0.004180908
input->m5,-0.0059814453
m0->m5,0.04272461
a1.h10->m5,0.0071105957
m1->m5,0.010314941
m2->m5,-0.025512695
m3->m5,-0.009277344
m4->m5,-0.012756348
m0->a6.h1<k>,0.007080078
m0->a6.h2<k>,-0.0047302246
m0->a6.h2<v>,-0.014404297
m0->a6.h3<k>,0.0069274902
m0->a6.h3<v>,0.004211426
m0->a6.h4<q>,-0.004638672
m0->a6.h5<q>,0.0039978027
m0->a6.h5<k>,-0.010681152
m0->a6.h5<v>,0.0064086914
m0->a6.h6<k>,-0.006225586
m0->a6.h6<v>,-0.008300781
m0->a6.h7<k>,-0.005065918
m0->a6.h7<v>,0.010131836
m0->a6.h8<v>,-0.004272461
m0->a6.h10<v>,-0.006713867
m2->a6.h0<v>,-0.010009766
m2->a6.h1<v>,0.025512695
m2->a6.h3<v>,0.008666992
m2->a6.h5<v>,-0.005432129
m2->a6.h6<v>,-0.010681152
m2->a6.h8<v>,0.0059814453
m2->a6.h10<v>,-0.0064697266
input->m6,-0.0046691895
m0->m6,0.06542969
a1.h10->m6,-0.006652832
m2->m6,-0.033447266
m3->m6,0.012939453
m5->m6,-0.025268555
a6.h6->m6,-0.005340576
input->a7.h11<v>,-0.0043640137
a0.h8->a7.h11<v>,0.00390625
m0->a7.h1<v>,0.019042969
m0->a7.h2<q>,-0.0040893555
m0->a7.h2<k>,0.004760742
m0->a7.h2<v>,0.0040893555
m0->a7.h3<v>,-0.0073547363
m0->a7.h4<v>,-0.014160156
m0->a7.h6<q>,-0.0058288574
m0->a7.h6<k>,-0.0044555664
m0->a7.h7<q>,0.004547119
m0->a7.h7<k>,0.0049743652
m0->a7.h7<v>,0.011779785
m0->a7.h8<v>,0.0038604736
m0->a7.h9<v>,-0.0064086914
m0->a7.h10<v>,0.010070801
m0->a7.h11<q>,0.0045776367
m0->a7.h11<v>,-0.017456055
m1->a7.h6<v>,0.005279541
m2->a7.h1<v>,-0.008422852
m2->a7.h2<v>,0.003753662
m2->a7.h3<v>,-0.004272461
m2->a7.h4<v>,-0.009521484
m2->a7.h5<v>,0.006958008
m2->a7.h6<v>,0.019042969
m2->a7.h7<v>,0.017578125
m2->a7.h10<v>,-0.005279541
a6.h10->a7.h6<v>,-0.0045776367
m0->m7,0.021606445
m1->m7,0.0051574707
m2->m7,-0.017333984
m3->m7,0.0050354004
m4->m7,0.010864258
m5->m7,0.014221191
a7.h6->m7,-0.003768921
m0->a8.h0<k>,0.0038604736
m0->a8.h1<q>,0.007080078
m0->a8.h1<k>,0.01171875
m0->a8.h1<v>,0.010864258
m0->a8.h5<v>,-0.0077819824
m0->a8.h6<k>,0.005554199
m0->a8.h6<v>,0.01574707
m0->a8.h8<v>,0.0069274902
m0->a8.h9<v>,0.005065918
m0->a8.h10<k>,-0.010986328
m0->a8.h10<v>,-0.012451172
m0->a8.h11<v>,0.004760742
m2->a8.h0<v>,0.016479492
m2->a8.h1<v>,0.025756836
m2->a8.h2<v>,0.0057373047
m2->a8.h3<v>,0.007659912
m2->a8.h4<v>,0.0065307617
m2->a8.h5<v>,-0.030761719
m2->a8.h6<v>,0.0072021484
m2->a8.h7<v>,0.013366699
m2->a8.h8<v>,0.006286621
m2->a8.h9<v>,-0.020629883
m2->a8.h10<v>,-0.019165039
m0->m8,0.013977051
m1->m8,0.008056641
m2->m8,-0.014038086
m3->m8,0.007873535
m4->m8,0.005859375
m0->a9.h1<q>,-0.0040283203
m0->a9.h1<k>,-0.0050354004
m0->a9.h1<v>,0.0079956055
m0->a9.h2<k>,0.003753662
m0->a9.h2<v>,0.007873535
m0->a9.h3<v>,0.004180908
m0->a9.h4<v>,-0.016723633
m0->a9.h5<v>,0.0065307617
m0->a9.h6<v>,0.0073547363
m0->a9.h7<k>,-0.007659912
m0->a9.h7<v>,-0.00970459
m0->a9.h9<v>,-0.0062561035
m0->a9.h11<q>,0.004425049
m0->a9.h11<k>,0.0058288574
m0->a9.h11<v>,0.033691406
m2->a9.h0<v>,-0.006591797
m2->a9.h1<v>,-0.01953125
m2->a9.h2<v>,0.0051574707
m2->a9.h3<v>,0.04663086
m2->a9.h4<v>,0.01171875
m2->a9.h5<v>,0.0042419434
m2->a9.h6<v>,0.005432129
m2->a9.h7<v>,-0.016601562
m2->a9.h10<v>,-0.024658203
m2->a9.h11<v>,0.012878418
m5->a9.h11<v>,0.0047912598
input->m9,-0.0039978027
m0->m9,0.033203125
m1->m9,0.006866455
m2->m9,-0.026367188
m3->m9,0.010375977
m4->m9,0.0065307617
a7.h11->m9,0.004180908
a9.h11->m9,0.004180908
m0->a10.h1<v>,0.024536133
m0->a10.h3<v>,-0.0047912598
m0->a10.h4<k>,0.0076904297
m0->a10.h4<v>,0.03173828
m0->a10.h5<v>,0.008666992
m0->a10.h7<v>,-0.022827148
m0->a10.h8<v>,0.03515625
m0->a10.h9<v>,-0.007080078
m0->a10.h10<v>,-0.02722168
m0->a10.h11<v>,0.010131836
m1->a10.h8<v>,-0.005004883
m2->a10.h1<k>,-0.0041503906
m2->a10.h1<v>,0.0057373047
m2->a10.h2<v>,0.009643555
m2->a10.h4<v>,0.008972168
m2->a10.h5<v>,-0.05493164
m2->a10.h8<v>,-0.012817383
m2->a10.h9<v>,-0.021972656
m2->a10.h10<k>,0.0053100586
input->m10,-0.009277344
a0.h8->m10,-0.0045166016
a0.h9->m10,0.0043640137
m0->m10,0.095214844
a1.h10->m10,0.005340576
m1->m10,0.009399414
m2->m10,-0.035888672
a9.h11->m10,0.0059814453
input->a11.h8<v>,0.008544922
m0->a11.h1<v>,-0.021972656
m0->a11.h2<k>,-0.003967285
m0->a11.h2<v>,-0.018066406
m0->a11.h4<k>,-0.004211426
m0->a11.h4<v>,0.008544922
m0->a11.h5<v>,0.010864258
m0->a11.h8<q>,0.0037841797
m0->a11.h9<q>,-0.00680542
m0->a11.h9<v>,0.055419922
m0->a11.h10<v>,-0.022705078
m0->a11.h11<v>,-0.04248047
a1.h10->a11.h8<v>,-0.012573242
m1->a11.h8<k>,-0.033203125
m1->a11.h8<v>,0.005279541
m2->a11.h1<v>,0.0057373047
m2->a11.h4<v>,0.016723633
m2->a11.h5<k>,0.005493164
m2->a11.h6<k>,0.004425049
m2->a11.h8<k>,0.026855469
m2->a11.h8<v>,0.034179688
m2->a11.h9<k>,-0.012817383
m2->a11.h9<v>,-0.013366699
m2->a11.h10<v>,-0.008666992
m2->a11.h11<k>,-0.015991211
m2->a11.h11<v>,0.009033203
m3->a11.h8<k>,-0.010070801
m3->a11.h8<v>,0.022827148
m4->a11.h8<k>,-0.0041503906
m4->a11.h8<v>,0.008972168
m5->a11.h8<v>,-0.0047912598
a7.h11->a11.h8<v>,0.005004883
a8.h0->a11.h11<v>,0.00491333
a8.h10->a11.h8<v>,-0.004058838
a9.h11->a11.h8<v>,0.0071105957
a10.h2->a11.h8<v>,0.0058898926
a10.h5->a11.h8<v>,-0.004058838
a10.h7->a11.h8<v>,-0.0051879883
m10->a11.h8<v>,0.009460449
m10->a11.h11<v>,-0.008422852
input->m11,-0.016479492
a0.h5->m11,0.007446289
a0.h8->m11,-0.014770508
a0.h9->m11,0.008483887
a0.h10->m11,-0.006591797
m0->m11,0.025146484
a1.h9->m11,0.0062561035
m1->m11,-0.0071411133
m2->m11,-0.028930664
m3->m11,0.008422852
a4.h8->m11,0.0042419434
m4->m11,0.028076172
a5.h9->m11,0.007232666
a5.h11->m11,0.0054016113
m5->m11,0.044433594
a6.h10->m11,0.0059509277
m6->m11,0.011779785
a7.h4->m11,-0.0077209473
m7->m11,0.016845703
a8.h0->m11,0.011413574
a8.h2->m11,0.0045166016
a8.h5->m11,-0.004272461
