edge,score
input->a0.h0<v>,-0.041259766
input->a0.h1<v>,0.01965332
input->a0.h3<k>,0.03125
input->a0.h3<v>,-0.03125
input->a0.h4<v>,-0.020141602
input->a0.h5<q>,0.067871094
input->a0.h6<v>,-0.037841797
input->a0.h7<q>,-0.026611328
input->a0.h8<k>,0.040039062
input->a0.h8<v>,0.07763672
input->a0.h9<v>,-0.044921875
input->a0.h10<k>,0.03491211
input->a0.h10<v>,-0.050048828
input->a0.h11<v>,-0.092285156
input->m0,0.62109375
a0.h0->m0,-0.026855469
a0.h1->m0,0.019897461
a0.h3->m0,-0.01965332
a0.h4->m0,0.08642578
a0.h5->m0,0.05493164
a0.h7->m0,-0.02355957
a0.h8->m0,-0.055419922
a0.h9->m0,0.09082031
a0.h11->m0,0.08544922
m0->a1.h0<v>,0.022705078
m0->a1.h2<v>,0.026733398
m0->a1.h3<k>,-0.025024414
m0->a1.h3<v>,0.03881836
m0->a1.h4<v>,-0.07421875
m0->a1.h5<v>,-0.0703125
m0->a1.h7<v>,-0.1640625
m0->a1.h8<v>,0.083984375
m0->a1.h9<q>,0.056640625
m0->a1.h10<v>,-0.023803711
m0->a1.h11<q>,-0.022705078
a0.h8->m1,-0.020629883
m0->m1,0.6640625
m0->a2.h1<v>,-0.021362305
m0->a2.h3<v>,-0.03881836
m0->a2.h4<v>,0.025024414
m0->a2.h5<q>,0.045898438
m0->a2.h5<k>,0.0234375
m0->a2.h6<k>,0.030883789
m0->a2.h8<v>,-0.025756836
m0->a2.h10<q>,-0.01965332
m0->a2.h11<q>,0.019897461
m0->a2.h11<k>,-0.037353516
m0->a2.h11<v>,0.025268555
m1->a2.h6<k>,0.030517578
m1->a2.h10<v>,-0.02355957
m1->a2.h11<k>,-0.01977539
input->m2,-0.061035156
m0->m2,0.16113281
a1.h1->m2,-0.039794922
m1->m2,0.296875
m0->a3.h1<q>,0.048339844
m0->a3.h1<k>,0.043701172
m0->a3.h1<v>,0.022949219
m0->a3.h5<v>,-0.039794922
m0->a3.h8<v>,-0.024658203
m0->a3.h9<v>,0.04321289
m0->a3.h10<v>,-0.019897461
m1->a3.h1<q>,-0.056152344
m1->a3.h1<k>,0.060302734
m1->a3.h2<q>,-0.026855469
m1->a3.h2<v>,0.029785156
m1->a3.h3<q>,-0.020263672
m1->a3.h5<v>,0.025268555
m1->a3.h9<v>,0.01940918
m1->a3.h11<q>,-0.021972656
m2->a3.h1<v>,-0.035888672
m2->a3.h6<v>,-0.020263672
input->m3,-0.044433594
m0->m3,0.30273438
a1.h1->m3,-0.021850586
a1.h11->m3,-0.030517578
m1->m3,0.05029297
a2.h6->m3,-0.01965332
a2.h10->m3,-0.02355957
m0->a4.h2<k>,0.049804688
m0->a4.h4<v>,0.01928711
m0->a4.h5<v>,0.02331543
m0->a4.h6<q>,-0.038085938
m0->a4.h7<q>,-0.01965332
m0->a4.h7<v>,-0.025146484
m0->a4.h9<v>,-0.030517578
m0->a4.h10<k>,-0.020263672
m0->a4.h10<v>,0.01928711
m1->a4.h0<q>,-0.020019531
m1->a4.h2<q>,-0.026123047
m1->a4.h4<v>,-0.025512695
m1->a4.h9<q>,-0.026855469
m1->a4.h9<v>,0.033691406
m2->a4.h6<v>,0.020629883
