edge,score
input->a0.h15<v>,0.019897461
input->a0.h25<q>,0.02331543
input->m0,0.044921875
input->m1,0.025146484
m1->a2.h0<q>,-0.059570312
m1->a2.h0<k>,0.07763672
m1->a2.h1<k>,0.043945312
m1->a2.h2<q>,-0.026367188
m1->a2.h2<k>,0.026123047
m1->a2.h5<q>,0.017944336
m1->a2.h7<q>,-0.050048828
m1->a2.h8<q>,-0.05126953
m1->a2.h8<k>,-0.024047852
m1->a2.h10<q>,-0.017089844
m1->a2.h11<q>,-0.13574219
m1->a2.h11<k>,-0.041259766
m1->a2.h12<k>,-0.020263672
m1->a2.h13<k>,0.024658203
m1->a2.h15<q>,-0.328125
m1->a2.h16<q>,0.10205078
m1->a2.h16<k>,-0.12109375
m1->a2.h20<q>,-0.061035156
m1->a2.h20<k>,0.029541016
m1->a2.h22<k>,0.1796875
m1->a2.h23<q>,-0.118652344
m1->a2.h23<k>,-0.07080078
m1->a2.h24<q>,0.06298828
m1->a2.h25<k>,-0.037841797
m1->a2.h26<q>,-0.061523438
m1->a2.h26<k>,0.017700195
m1->a2.h27<k>,0.063964844
m1->a2.h28<q>,0.06347656
m1->a2.h29<q>,-0.17578125
m1->a2.h29<k>,0.08886719
m1->a2.h30<k>,-0.14453125
m1->a2.h31<q>,-0.03125
m1->m2,-0.5078125
m1->a3.h0<q>,0.07861328
m1->a3.h0<k>,-0.06982422
m1->a3.h3<q>,0.04272461
m1->a3.h3<k>,-0.03955078
m1->a3.h4<q>,0.040527344
m1->a3.h4<k>,0.021118164
m1->a3.h8<k>,-0.03149414
m1->a3.h9<q>,0.048828125
m1->a3.h10<k>,0.025878906
m1->a3.h11<q>,-0.18359375
m1->a3.h12<q>,0.02734375
m1->a3.h12<k>,-0.021118164
m1->a3.h13<q>,-0.041992188
m1->a3.h13<k>,0.019042969
m1->a3.h15<q>,0.122558594
m1->a3.h15<k>,0.024414062
m1->a3.h16<q>,-0.08984375
m1->a3.h19<k>,0.03857422
m1->a3.h20<q>,0.03515625
m1->a3.h21<q>,0.110839844
m1->a3.h22<k>,-0.106933594
m1->a3.h23<q>,-0.03540039
m1->a3.h24<q>,-0.019165039
m1->a3.h25<q>,0.08935547
m1->a3.h26<k>,0.14746094
m1->a3.h27<q>,0.026611328
m1->a3.h27<k>,0.030517578
m1->a3.h28<q>,-0.024536133
m1->a3.h31<k>,0.13671875
m1->a3.h31<v>,-0.026367188
m1->m3,0.020019531
m2->m3,-0.018066406
m1->a4.h0<q>,0.061279297
m1->a4.h0<k>,-0.01928711
m1->a4.h1<q>,-0.26953125
m1->a4.h1<k>,-0.03540039
m1->a4.h2<q>,0.055908203
m1->a4.h4<q>,0.0390625
m1->a4.h5<q>,0.22460938
m1->a4.h7<q>,0.13769531
m1->a4.h7<k>,-0.15527344
m1->a4.h10<q>,-0.061767578
m1->a4.h12<q>,-0.091308594
m1->a4.h13<q>,0.019165039
m1->a4.h13<k>,-0.020629883
m1->a4.h16<q>,-0.028930664
m1->a4.h16<k>,0.018310547
m1->a4.h17<k>,0.049072266
m1->a4.h18<q>,-0.076660156
m1->a4.h19<q>,-0.057861328
m1->a4.h21<q>,0.017211914
m1->a4.h21<k>,-0.19042969
m1->a4.h22<q>,0.03173828
m1->a4.h22<k>,-0.07763672
m1->a4.h23<q>,0.17773438
m1->a4.h24<q>,-0.053222656
m1->a4.h25<q>,0.036621094
m1->a4.h26<q>,0.07519531
m1->a4.h27<q>,0.22851562
m1->a4.h28<q>,-0.05053711
m1->a4.h30<q>,-0.024414062
m1->a4.h31<q>,0.023071289
m1->m4,0.053466797
m3->m4,0.028320312
m1->a5.h0<q>,-0.049316406
m1->a5.h1<q>,0.13671875
m1->a5.h1<k>,0.033935547
m1->a5.h3<k>,0.021606445
m1->a5.h4<q>,0.14160156
m1->a5.h6<q>,0.018066406
m1->a5.h9<q>,-0.022216797
m1->a5.h12<q>,-0.096191406
m1->a5.h13<k>,0.024902344
m1->a5.h14<q>,-0.03491211
m1->a5.h14<k>,-0.033203125
m1->a5.h15<v>,0.021972656
m1->a5.h17<q>,-0.083984375
m1->a5.h17<k>,0.07763672
m1->a5.h19<q>,0.025146484
m1->a5.h20<q>,-0.076171875
m1->a5.h20<k>,0.048095703
m1->a5.h21<q>,0.024902344
m1->a5.h21<k>,-0.043701172
m1->a5.h22<k>,-0.027832031
m1->a5.h26<q>,0.017211914
m1->a5.h28<q>,-0.041015625
m1->a5.h30<k>,0.019042969
m1->a5.h31<q>,-0.2578125
m1->a5.h31<k>,-0.11230469
m1->m5,0.14453125
m4->m5,0.044921875
m1->a6.h0<q>,-0.036376953
m1->a6.h1<q>,-0.08642578
m1->a6.h1<k>,0.025024414
m1->a6.h4<q>,-0.15429688
m1->a6.h6<q>,-0.15332031
m1->a6.h8<q>,-0.07470703
m1->a6.h8<k>,-0.048095703
m1->a6.h9<k>,-0.03125
m1->a6.h10<k>,-0.025268555
m1->a6.h12<q>,-0.08642578
m1->a6.h12<k>,0.15527344
m1->a6.h13<q>,-0.08105469
m1->a6.h13<k>,0.078125
m1->a6.h14<q>,0.041503906
m1->a6.h18<k>,0.020263672
m1->a6.h19<q>,-0.060058594
m1->a6.h20<q>,-0.025756836
m1->a6.h21<q>,0.024902344
m1->a6.h21<k>,-0.022949219
m1->a6.h22<q>,-0.020019531
m1->a6.h22<k>,0.021362305
m1->a6.h27<q>,0.028930664
m1->a6.h28<q>,0.07080078
m1->a6.h30<k>,-0.04272461
m1->m6,-0.084472656
m4->m6,0.028808594
m1->a7.h0<q>,-0.095214844
m1->a7.h0<k>,0.07080078
m1->a7.h1<q>,-0.043701172
m1->a7.h2<q>,0.049072266
m1->a7.h2<k>,-0.019165039
m1->a7.h3<q>,-0.017333984
m1->a7.h5<q>,-0.018554688
m1->a7.h5<k>,-0.030761719
m1->a7.h6<k>,0.038085938
m1->a7.h7<q>,0.04272461
m1->a7.h7<k>,-0.048339844
m1->a7.h8<q>,0.05126953
m1->a7.h13<q>,-0.06225586
m1->a7.h13<k>,0.04345703
m1->a7.h15<q>,-0.018554688
m1->a7.h16<q>,0.017700195
m1->a7.h17<q>,0.03881836
m1->a7.h20<q>,-0.01928711
m1->a7.h20<k>,0.022705078
m1->a7.h21<q>,0.13867188
m1->a7.h21<k>,-0.01965332
m1->a7.h24<q>,-0.095703125
m1->a7.h24<k>,0.10449219
m1->a7.h25<q>,0.061523438
m1->a7.h26<q>,-0.022949219
m1->a7.h29<q>,-0.01965332
m1->m7,0.26757812
m6->m7,-0.03930664
m1->a8.h1<q>,0.049804688
m1->a8.h6<q>,-0.048339844
m1->a8.h6<k>,0.16210938
m1->a8.h8<q>,-0.03125
m1->a8.h10<q>,0.040283203
m1->a8.h10<k>,-0.022705078
m1->a8.h13<q>,0.017944336
m1->a8.h13<k>,0.024658203
m1->a8.h15<q>,0.017456055
m1->a8.h15<k>,-0.01965332
m1->a8.h16<q>,0.020141602
m1->a8.h17<q>,-0.020751953
m1->a8.h17<k>,-0.021972656
m1->a8.h18<q>,0.029785156
m1->a8.h19<q>,0.109375
m1->a8.h19<k>,-0.25195312
m1->a8.h21<q>,-0.05883789
