edge,score
input->a0.h3<q>,0.041992188
input->a0.h3<k>,0.107910156
input->a0.h15<q>,-0.072265625
input->a0.h15<v>,0.040283203
input->a0.h21<q>,0.039794922
input->a0.h21<v>,-0.032226562
input->a0.h26<k>,-0.029418945
input->m0,0.100097656
input->m1,0.0390625
m1->a2.h0<q>,0.03149414
m1->a2.h0<k>,0.06640625
m1->a2.h2<k>,-0.061279297
m1->a2.h5<q>,-0.026733398
m1->a2.h5<k>,-0.092285156
m1->a2.h7<q>,-0.17285156
m1->a2.h8<q>,-0.037109375
m1->a2.h8<k>,-0.037597656
m1->a2.h9<q>,-0.11328125
m1->a2.h9<k>,-0.09326172
m1->a2.h10<q>,-0.032226562
m1->a2.h11<q>,0.060546875
m1->a2.h11<k>,-0.076660156
m1->a2.h12<k>,0.044433594
m1->a2.h13<k>,-0.10546875
m1->a2.h14<q>,-0.06298828
m1->a2.h15<q>,0.11621094
m1->a2.h16<q>,0.10644531
m1->a2.h16<k>,0.051513672
m1->a2.h17<k>,-0.08251953
m1->a2.h18<k>,-0.024047852
m1->a2.h19<q>,-0.03491211
m1->a2.h19<k>,0.024536133
m1->a2.h20<q>,0.053466797
m1->a2.h21<q>,-0.030029297
m1->a2.h22<k>,-0.068847656
m1->a2.h23<q>,0.33984375
m1->a2.h23<k>,-0.06689453
m1->a2.h24<q>,0.03125
m1->a2.h24<k>,-0.068847656
m1->a2.h25<q>,0.11669922
m1->a2.h25<k>,0.03564453
m1->a2.h27<k>,-0.024047852
m1->a2.h28<q>,-0.026733398
m1->a2.h29<q>,-0.123046875
m1->a2.h29<k>,0.13378906
m1->a2.h30<k>,-0.053222656
m1->a2.h31<k>,0.041503906
m1->m2,0.43554688
m1->a3.h0<q>,0.13964844
m1->a3.h2<k>,-0.036132812
m1->a3.h3<q>,0.109375
m1->a3.h3<k>,0.040039062
m1->a3.h4<q>,-0.032714844
m1->a3.h4<k>,0.048095703
m1->a3.h6<q>,-0.07128906
m1->a3.h8<q>,-0.16601562
m1->a3.h8<k>,-0.026245117
m1->a3.h9<q>,-0.15136719
m1->a3.h10<k>,0.028564453
m1->a3.h11<q>,0.091308594
m1->a3.h13<q>,0.17285156
m1->a3.h13<k>,-0.033691406
m1->a3.h14<q>,-0.041992188
m1->a3.h15<q>,-0.23046875
m1->a3.h15<k>,0.03857422
m1->a3.h16<q>,-0.2265625
m1->a3.h17<q>,-0.34960938
m1->a3.h17<k>,-0.080566406
m1->a3.h18<q>,-0.03540039
m1->a3.h20<q>,-0.049316406
m1->a3.h21<q>,-0.13085938
m1->a3.h21<k>,-0.045654297
m1->a3.h22<q>,-0.07421875
m1->a3.h22<k>,0.037597656
m1->a3.h23<q>,-0.060546875
m1->a3.h23<k>,0.041015625
m1->a3.h24<k>,0.049316406
m1->a3.h25<k>,0.04248047
m1->a3.h26<k>,-0.04345703
m1->a3.h27<q>,0.3203125
m1->a3.h28<q>,0.03125
m1->a3.h29<q>,-0.068847656
m1->a3.h29<k>,0.025634766
m1->a3.h30<q>,0.2890625
m1->a3.h31<k>,0.27539062
m1->m3,0.045654297
m2->m3,-0.092285156
m1->a4.h0<q>,0.20898438
m1->a4.h0<k>,0.030273438
m1->a4.h1<q>,0.22753906
m1->a4.h2<q>,0.119140625
m1->a4.h2<k>,-0.028808594
m1->a4.h3<q>,0.027832031
m1->a4.h4<q>,-0.20019531
m1->a4.h4<k>,0.115234375
m1->a4.h5<q>,-0.10449219
m1->a4.h5<k>,0.038085938
m1->a4.h6<q>,0.025512695
m1->a4.h7<q>,0.056152344
m1->a4.h8<q>,0.029052734
m1->a4.h9<q>,-0.30664062
m1->a4.h11<q>,0.087402344
m1->a4.h12<q>,0.03466797
m1->a4.h13<q>,-0.13085938
m1->a4.h13<k>,-0.051757812
m1->a4.h14<k>,0.03491211
m1->a4.h15<q>,0.027832031
m1->a4.h16<q>,-0.03125
m1->a4.h17<q>,-0.16796875
m1->a4.h19<q>,0.14453125
m1->a4.h20<q>,0.031982422
m1->a4.h20<k>,-0.36328125
m1->a4.h21<q>,-0.056884766
m1->a4.h21<k>,0.15039062
m1->a4.h22<q>,-0.18261719
m1->a4.h24<q>,-0.024658203
m1->a4.h25<q>,0.046142578
m1->a4.h26<q>,0.14453125
m1->a4.h26<k>,-0.053710938
m1->a4.h27<q>,0.110839844
m1->a4.h28<q>,0.038330078
m1->a4.h29<q>,0.09326172
m1->a4.h30<k>,0.045654297
m0->m4,0.028076172
m1->m4,0.48046875
m2->m4,0.025878906
m0->a5.h5<k>,-0.04248047
m1->a5.h0<q>,0.025634766
m1->a5.h1<k>,-0.027832031
m1->a5.h2<q>,-0.025024414
m1->a5.h4<q>,0.04248047
m1->a5.h5<q>,-0.029174805
m1->a5.h5<k>,0.099609375
m1->a5.h5<v>,-0.03149414
m1->a5.h6<q>,0.03955078
m1->a5.h6<k>,0.08642578
m1->a5.h7<q>,-0.037353516
m1->a5.h9<q>,0.034179688
m1->a5.h10<q>,0.024414062
m1->a5.h11<q>,-0.1953125
m1->a5.h12<q>,-0.19042969
m1->a5.h13<q>,-0.10498047
m1->a5.h14<q>,0.053710938
m1->a5.h16<q>,-0.047607422
m1->a5.h16<k>,-0.04711914
m1->a5.h19<q>,0.19335938
m1->a5.h20<q>,0.025146484
m1->a5.h20<k>,0.080078125
m1->a5.h22<q>,-0.07080078
m1->a5.h22<k>,0.042236328
m1->a5.h24<q>,0.14648438
m1->a5.h27<q>,-0.0625
m1->a5.h27<k>,0.083984375
m1->a5.h28<k>,-0.029052734
m1->a5.h30<q>,-0.22265625
m1->a5.h31<q>,-0.15234375
m3->a5.h5<q>,-0.030029297
input->m5,-0.024658203
m1->m5,0.044921875
m1->a6.h1<q>,-0.053466797
m1->a6.h2<q>,-0.040039062
m1->a6.h4<q>,0.09082031
m1->a6.h5<q>,0.045410156
m1->a6.h5<k>,-0.044921875
m1->a6.h6<q>,-0.29296875
m1->a6.h8<q>,-0.23730469
m1->a6.h8<k>,0.18359375
m1->a6.h10<q>,0.033447266
m1->a6.h12<k>,-0.061279297
m1->a6.h13<q>,0.03564453
m1->a6.h13<k>,-0.060058594
m1->a6.h14<k>,0.033203125
m1->a6.h15<k>,0.05053711
m1->a6.h17<k>,-0.037353516
m1->a6.h19<q>,0.030883789
m1->a6.h20<k>,-0.023925781
m1->a6.h22<q>,-0.033203125
m1->a6.h23<q>,-0.029541016
m1->a6.h27<q>,-0.13671875
m1->a6.h27<k>,0.048095703
m1->a6.h29<k>,0.033447266
m1->a6.h30<k>,-0.03466797
m1->a6.h31<k>,0.04272461
m1->m6,0.03466797
m4->m6,0.031982422
m5->m6,0.033935547
m1->a7.h0<q>,-0.052490234
m1->a7.h0<k>,0.03881836
m1->a7.h1<q>,-0.025268555
m1->a7.h2<k>,0.032226562
m1->a7.h3<q>,0.023925781
m1->a7.h4<k>,-0.08935547
m1->a7.h5<q>,0.044677734
