edge,score
input->a0.h0<v>,-0.061523438
input->a0.h3<k>,0.024902344
input->a0.h4<v>,-0.05810547
input->a0.h5<q>,0.042236328
input->a0.h6<v>,-0.080078125
input->a0.h7<v>,0.046142578
input->a0.h8<q>,0.020141602
input->a0.h8<k>,0.04711914
input->a0.h9<q>,-0.018432617
input->a0.h9<v>,-0.092285156
input->a0.h10<q>,0.025268555
input->a0.h10<k>,0.027954102
input->a0.h10<v>,0.017944336
input->a0.h11<v>,-0.07519531
input->m0,0.41992188
a0.h0->m0,-0.03881836
a0.h1->m0,0.057128906
a0.h2->m0,0.03955078
a0.h3->m0,-0.025634766
a0.h4->m0,0.060058594
a0.h5->m0,0.037109375
a0.h7->m0,-0.04248047
a0.h9->m0,0.11328125
a0.h11->m0,0.053955078
m0->a1.h0<v>,-0.051757812
m0->a1.h1<v>,0.04321289
m0->a1.h2<v>,0.02331543
m0->a1.h3<k>,-0.019897461
m0->a1.h3<v>,0.029418945
m0->a1.h4<v>,-0.05053711
m0->a1.h5<v>,-0.038085938
m0->a1.h6<v>,0.033447266
m0->a1.h7<v>,-0.22265625
m0->a1.h8<v>,0.060058594
m0->a1.h9<q>,0.055419922
m0->a1.h9<k>,0.01953125
m0->a1.h11<q>,0.03540039
m0->a1.h11<k>,0.040039062
m0->a1.h11<v>,-0.025268555
a0.h8->m1,-0.025146484
m0->m1,0.6796875
a1.h11->m1,-0.025512695
m0->a2.h1<v>,-0.033447266
m0->a2.h3<v>,-0.036132812
m0->a2.h4<v>,0.033203125
m0->a2.h5<q>,0.042236328
m0->a2.h6<q>,-0.018066406
m0->a2.h6<v>,0.050048828
m0->a2.h7<v>,0.020996094
m0->a2.h10<q>,-0.023071289
m0->a2.h10<v>,-0.059570312
m0->a2.h11<q>,0.022705078
m0->a2.h11<k>,-0.037353516
m0->a2.h11<v>,0.026123047
m1->a2.h5<v>,0.020629883
m1->a2.h6<q>,0.018554688
m1->a2.h6<k>,0.018554688
m1->a2.h6<v>,0.032226562
m1->a2.h10<v>,-0.056884766
m1->a2.h11<k>,-0.020019531
input->m2,-0.039794922
a1.h1->m2,-0.033447266
m1->m2,0.22363281
m0->a3.h1<q>,0.052490234
m0->a3.h3<q>,0.02722168
m0->a3.h3<k>,-0.026855469
m0->a3.h5<q>,-0.02746582
m0->a3.h5<v>,-0.06640625
m0->a3.h8<v>,-0.022216797
m0->a3.h9<v>,0.0390625
m0->a3.h10<v>,-0.02746582
m0->a3.h11<v>,-0.03173828
m1->a3.h1<q>,-0.036132812
m1->a3.h1<k>,0.032470703
m1->a3.h3<q>,-0.033691406
m1->a3.h5<q>,0.019165039
m1->a3.h5<v>,0.023071289
m2->a3.h1<q>,-0.020263672
m2->a3.h4<q>,0.018066406
m2->a3.h5<v>,-0.020141602
m2->a3.h8<v>,0.019042969
m2->a3.h9<v>,0.025878906
input->m3,-0.0546875
m0->m3,0.37695312
a1.h11->m3,-0.030273438
a2.h3->m3,0.020751953
a2.h10->m3,-0.0234375
m2->m3,0.042236328
m0->a4.h2<k>,0.021972656
m0->a4.h4<v>,0.027832031
m0->a4.h5<q>,0.024414062
m0->a4.h6<q>,-0.063964844
m0->a4.h6<k>,0.047851562
m0->a4.h7<q>,-0.024658203
m0->a4.h7<v>,-0.024902344
m0->a4.h8<q>,-0.018432617
m0->a4.h8<v>,-0.03149414
m0->a4.h9<k>,-0.023925781
m0->a4.h9<v>,-0.05908203
m0->a4.h10<k>,-0.036132812
m0->a4.h10<v>,0.018676758
m1->a4.h2<q>,-0.018798828
m1->a4.h4<v>,-0.037841797
m1->a4.h5<q>,-0.032714844
m1->a4.h6<q>,0.029052734
m1->a4.h6<v>,0.022705078
m1->a4.h9<q>,-0.033691406
m2->a4.h2<q>,-0.019897461
m2->a4.h2<v>,-0.03112793
m2->a4.h4<v>,-0.020996094
m2->a4.h9<v>,-0.019165039
m3->a4.h2<q>,-0.03125
m3->a4.h2<v>,-0.020629883
m3->a4.h4<v>,0.024047852
m3->a4.h6<v>,-0.040283203
m3->a4.h7<v>,0.026611328
m3->a4.h8<q>,0.027709961
m3->a4.h8<v>,-0.048095703
m3->a4.h9<v>,0.029418945
m0->m4,-0.18261719
m1->m4,0.08544922
m2->m4,0.18359375
m3->m4,0.24414062
a4.h4->m4,0.022216797
m0->a5.h0<q>,-0.026245117
m0->a5.h0<v>,0.020507812
m0->a5.h2<v>,0.046142578
m0->a5.h3<v>,-0.025512695
m0->a5.h4<q>,0.022949219
m0->a5.h4<k>,-0.024414062
m0->a5.h7<q>,0.026611328
m0->a5.h8<q>,-0.049804688
m0->a5.h8<k>,0.018188477
m0->a5.h9<q>,0.026977539
m0->a5.h10<v>,-0.022949219
m0->a5.h11<k>,0.023071289
m0->a5.h11<v>,-0.021606445
m1->a5.h2<q>,-0.025268555
m1->a5.h2<v>,0.022949219
m1->a5.h3<v>,0.03955078
m1->a5.h4<q>,-0.043701172
m1->a5.h4<v>,-0.01953125
m1->a5.h8<q>,0.057617188
m1->a5.h9<k>,-0.018432617
m1->a5.h10<q>,0.018676758
m1->a5.h11<v>,0.024536133
m2->a5.h0<q>,-0.020019531
m2->a5.h3<v>,-0.052490234
m2->a5.h7<v>,0.028930664
m2->a5.h9<q>,0.04711914
m2->a5.h10<q>,-0.031982422
m2->a5.h10<v>,0.026245117
m3->a5.h3<v>,0.021606445
m3->a5.h4<v>,-0.020751953
m3->a5.h8<q>,0.033447266
m3->a5.h8<k>,0.019042969
m3->a5.h9<q>,-0.06591797
m3->a5.h10<q>,0.021118164
m4->a5.h4<v>,-0.026855469
m4->a5.h10<q>,0.021240234
a1.h1->m5,0.022460938
a1.h9->m5,-0.019165039
m1->m5,0.05029297
m2->m5,-0.018310547
m3->m5,-0.050048828
a4.h4->m5,-0.018066406
m4->m5,0.17480469
m0->a6.h0<k>,-0.021728516
m0->a6.h0<v>,0.034179688
m0->a6.h1<q>,-0.01953125
m0->a6.h2<q>,-0.052490234
m0->a6.h2<k>,-0.022827148
m0->a6.h2<v>,0.053710938
m0->a6.h3<v>,-0.0546875
m0->a6.h4<v>,-0.044677734
m0->a6.h5<v>,0.107421875
m0->a6.h7<v>,-0.031982422
m0->a6.h8<v>,-0.025878906
m0->a6.h10<q>,0.029663086
m0->a6.h10<k>,0.022827148
m1->a6.h0<q>,-0.07080078
m1->a6.h0<k>,0.03466797
m1->a6.h0<v>,0.021728516
m1->a6.h2<v>,0.032958984
m1->a6.h3<q>,-0.044677734
m1->a6.h3<v>,-0.019042969
m1->a6.h4<q>,-0.026611328
m1->a6.h4<v>,0.041503906
m1->a6.h5<k>,-0.018188477
