edge,score
input->a0.h0<v>,-0.0546875
input->a0.h1<v>,-0.09326172
input->a0.h2<q>,0.027709961
input->a0.h2<k>,0.014770508
input->a0.h3<q>,0.07128906
input->a0.h3<k>,0.083984375
input->a0.h4<q>,0.028320312
input->a0.h4<k>,0.029418945
input->a0.h4<v>,0.05102539
input->a0.h5<q>,0.119140625
input->a0.h5<k>,0.08496094
input->a0.h5<v>,0.092285156
input->a0.h6<v>,0.19042969
input->a0.h7<q>,-0.01574707
input->a0.h7<v>,-0.26171875
input->a0.h8<v>,-0.107910156
input->a0.h9<q>,0.021728516
input->a0.h9<v>,-0.107421875
input->a0.h10<q>,0.01977539
input->a0.h10<k>,0.015319824
input->a0.h10<v>,0.056884766
input->a0.h11<k>,-0.025634766
input->a0.h11<v>,-0.060058594
input->m0,1.125
a0.h0->m0,-0.07519531
a0.h2->m0,-0.02746582
a0.h5->m0,-0.017700195
a0.h6->m0,0.043945312
a0.h7->m0,0.06298828
a0.h9->m0,-0.04321289
a0.h10->m0,0.078125
a0.h11->m0,-0.063964844
m0->a1.h0<v>,-0.029541016
m0->a1.h1<q>,-0.029785156
m0->a1.h1<k>,-0.034423828
m0->a1.h1<v>,-0.024414062
m0->a1.h2<v>,-0.02331543
m0->a1.h3<v>,0.030151367
m0->a1.h5<v>,-0.032714844
m0->a1.h6<v>,0.015258789
m0->a1.h7<v>,-0.030273438
m0->a1.h8<v>,-0.024047852
m0->a1.h9<q>,0.03515625
m0->a1.h9<v>,0.01586914
m0->a1.h10<v>,-0.017333984
m0->a1.h11<q>,0.045898438
m0->a1.h11<k>,0.033447266
m0->a1.h11<v>,0.030883789
m0->m1,0.2734375
a1.h0->m1,-0.015136719
a1.h7->m1,0.015991211
a1.h11->m1,-0.014770508
m0->a2.h3<q>,-0.01574707
m0->a2.h4<q>,-0.015563965
m0->a2.h5<k>,-0.014892578
m0->a2.h6<k>,-0.024169922
m0->a2.h6<v>,0.049804688
m0->a2.h7<v>,0.019165039
m0->a2.h8<k>,-0.018432617
m0->a2.h8<v>,-0.022460938
m0->a2.h11<q>,-0.014892578
m1->a2.h1<v>,-0.046142578
m1->a2.h5<q>,0.029174805
m1->a2.h6<q>,0.018798828
m1->a2.h7<k>,0.021240234
m1->a2.h7<v>,0.016113281
m1->a2.h8<q>,-0.01574707
m1->a2.h10<v>,-0.021606445
input->m2,-0.021850586
m0->m2,0.038330078
m1->m2,0.20019531
m0->a3.h0<q>,-0.072265625
m0->a3.h0<k>,-0.022827148
m0->a3.h1<q>,0.032226562
m0->a3.h1<k>,0.018066406
m0->a3.h1<v>,0.023071289
m0->a3.h2<q>,-0.036132812
m0->a3.h2<v>,0.014770508
m0->a3.h3<q>,-0.026733398
m0->a3.h5<q>,-0.018310547
m0->a3.h5<v>,-0.01965332
m0->a3.h6<q>,0.031982422
m0->a3.h6<v>,-0.018554688
m0->a3.h7<q>,0.023071289
m0->a3.h8<v>,-0.017944336
m0->a3.h10<q>,0.029174805
m0->a3.h11<v>,-0.016357422
m1->a3.h0<k>,-0.040527344
m1->a3.h1<q>,0.021850586
m1->a3.h2<q>,-0.036621094
m1->a3.h2<k>,0.022949219
m1->a3.h3<q>,-0.057617188
m1->a3.h3<k>,0.02734375
m1->a3.h4<v>,-0.025634766
m1->a3.h5<q>,-0.021606445
m1->a3.h5<v>,-0.018310547
m1->a3.h6<q>,0.03125
m1->a3.h6<k>,-0.038085938
m1->a3.h7<q>,0.017700195
m1->a3.h7<k>,-0.02331543
m1->a3.h8<q>,0.03149414
m1->a3.h8<v>,-0.021118164
m1->a3.h9<q>,-0.050048828
m1->a3.h10<q>,0.055664062
m2->a3.h0<q>,0.018676758
m2->a3.h0<k>,-0.015625
m2->a3.h0<v>,-0.019042969
m2->a3.h1<v>,-0.017333984
m2->a3.h2<v>,-0.015380859
m2->a3.h5<v>,-0.014831543
m2->a3.h8<v>,-0.018066406
a0.h9->m3,-0.018798828
m0->m3,0.15820312
a2.h2->m3,0.015563965
a2.h8->m3,-0.014770508
a2.h10->m3,-0.018554688
m0->a4.h2<v>,0.018554688
m0->a4.h4<q>,0.033447266
m0->a4.h4<k>,0.024536133
m0->a4.h6<v>,0.028930664
m0->a4.h8<q>,-0.030883789
m0->a4.h8<v>,0.025756836
m0->a4.h9<q>,-0.032958984
m0->a4.h9<v>,-0.026733398
m0->a4.h10<k>,-0.032226562
m0->a4.h10<v>,0.03149414
m0->a4.h11<v>,-0.026367188
m1->a4.h1<q>,-0.034423828
m1->a4.h2<v>,-0.028930664
m1->a4.h3<q>,-0.01574707
m1->a4.h4<q>,0.022338867
m1->a4.h5<q>,0.018676758
m1->a4.h6<q>,0.08496094
m1->a4.h6<k>,-0.033203125
m1->a4.h9<q>,-0.049804688
m1->a4.h9<k>,0.0154418945
m2->a4.h2<v>,-0.026855469
m2->a4.h3<v>,-0.01940918
m2->a4.h6<q>,0.015075684
m2->a4.h8<v>,0.028808594
m3->a4.h2<v>,-0.037353516
m3->a4.h4<q>,0.018310547
m3->a4.h6<v>,-0.021118164
m3->a4.h7<v>,0.021606445
m3->a4.h10<q>,-0.015075684
m3->a4.h11<v>,-0.01940918
input->m4,-0.026123047
m1->m4,0.107910156
m3->m4,0.07519531
m0->a5.h1<q>,-0.022705078
m0->a5.h2<q>,-0.02331543
m0->a5.h2<k>,0.016845703
m0->a5.h2<v>,0.01940918
m0->a5.h4<q>,0.028808594
m0->a5.h4<v>,-0.023925781
m0->a5.h6<q>,-0.034423828
m0->a5.h6<v>,-0.029663086
m0->a5.h7<k>,-0.028076172
m0->a5.h8<q>,0.01965332
m0->a5.h9<q>,0.015258789
m0->a5.h10<v>,0.016357422
m0->a5.h11<q>,0.015136719
m0->a5.h11<v>,-0.018798828
m1->a5.h2<q>,-0.04321289
m1->a5.h2<k>,0.025146484
m1->a5.h3<q>,-0.033447266
m1->a5.h4<q>,0.04321289
m1->a5.h4<k>,-0.036621094
m1->a5.h4<v>,-0.016113281
m1->a5.h6<q>,-0.015014648
m1->a5.h7<q>,-0.03173828
m1->a5.h8<q>,0.0234375
m1->a5.h11<q>,0.032714844
m1->a5.h11<v>,0.035888672
m2->a5.h6<q>,-0.018554688
m2->a5.h11<q>,-0.017456055
m3->a5.h2<v>,-0.017089844
m4->a5.h6<v>,-0.023071289
input->m5,-0.027709961
m0->m5,-0.17089844
m1->m5,0.07324219
m2->m5,0.04321289
m3->m5,0.032226562
a5.h1->m5,0.019897461
m0->a6.h1<q>,0.026733398
m0->a6.h1<k>,-0.017700195
m0->a6.h2<q>,-0.020629883
m0->a6.h2<v>,0.029663086
m0->a6.h3<q>,-0.027832031
m0->a6.h3<v>,0.022827148
m0->a6.h6<v>,-0.047607422
m0->a6.h10<v>,0.024902344
m1->a6.h1<q>,0.019897461
m1->a6.h3<q>,-0.029174805
m1->a6.h5<q>,0.049316406
m1->a6.h5<k>,-0.038085938
m1->a6.h6<v>,0.029052734
m1->a6.h7<q>,-0.023071289
m1->a6.h8<q>,-0.024169922
m1->a6.h8<k>,0.020629883
m1->a6.h10<v>,-0.020019531
m1->a6.h11<q>,-0.019897461
m2->a6.h3<q>,-0.016967773
m2->a6.h3<v>,0.04272461
m2->a6.h7<v>,0.016113281
m3->a6.h2<v>,-0.016601562
m3->a6.h3<v>,-0.018798828
m3->a6.h4<q>,-0.0154418945
m3->a6.h6<v>,0.031982422
m4->a6.h2<v>,-0.026611328
m4->a6.h3<v>,0.024047852
m4->a6.h5<v>,0.015075684
m4->a6.h6<v>,-0.018188477
m5->a6.h2<v>,-0.03881836
m5->a6.h3<v>,0.01574707
m5->a6.h4<v>,0.020263672
m5->a6.h7<v>,-0.021118164
m5->a6.h10<v>,0.020996094
input->m6,-0.049316406
m0->m6,0.100097656
m1->m6,0.041015625
m2->m6,0.031982422
m4->m6,0.07421875
m5->m6,-0.025634766
m0->a7.h3<q>,-0.018554688
m0->a7.h3<k>,0.021362305
m0->a7.h4<q>,0.038330078
m0->a7.h4<k>,-0.020629883
m0->a7.h4<v>,0.032226562
m0->a7.h5<q>,-0.015625
m0->a7.h6<v>,0.029785156
m0->a7.h11<k>,-0.0154418945
m0->a7.h11<v>,0.01940918
m1->a7.h3<q>,-0.02355957
m1->a7.h3<k>,0.01965332
m1->a7.h4<q>,0.03857422
m1->a7.h4<k>,-0.01977539
m1->a7.h6<v>,-0.015014648
m1->a7.h7<q>,-0.014770508
m1->a7.h8<q>,-0.028808594
m5->a7.h4<v>,-0.029663086
m5->a7.h6<v>,0.041015625
m6->a7.h0<v>,-0.033691406
m6->a7.h4<q>,0.015563965
input->m7,-0.017944336
m0->m7,0.024414062
a1.h1->m7,0.015319824
m1->m7,-0.025756836
m2->m7,-0.017211914
m4->m7,-0.052734375
m5->m7,0.031982422
m6->m7,0.026977539
m0->a8.h1<k>,-0.015319824
m0->a8.h2<q>,0.02746582
m0->a8.h6<v>,0.018554688
m0->a8.h8<q>,0.015991211
m0->a8.h10<q>,-0.028076172
m0->a8.h10<k>,0.052246094
m0->a8.h10<v>,-0.025756836
m0->a8.h11<k>,-0.016357422
m1->a8.h2<q>,0.023803711
m1->a8.h2<k>,0.016357422
m1->a8.h2<v>,-0.017333984
m1->a8.h5<q>,-0.01953125
m1->a8.h7<q>,0.017089844
m1->a8.h9<q>,-0.021240234
m1->a8.h10<q>,-0.055908203
m1->a8.h10<k>,0.042236328
m3->a8.h2<v>,-0.021728516
m3->a8.h9<q>,-0.016601562
m4->a8.h10<k>,0.028320312
m5->a8.h0<v>,0.014892578
m5->a8.h2<q>,0.018554688
m5->a8.h5<v>,-0.022827148
m5->a8.h10<k>,0.017700195
m5->a8.h10<v>,0.01928711
m6->a8.h2<v>,-0.023925781
m6->a8.h10<k>,0.017700195
m6->a8.h10<v>,-0.01940918
m7->a8.h2<q>,0.022949219
m7->a8.h2<v>,-0.06982422
m7->a8.h7<v>,-0.015563965
m7->a8.h9<q>,-0.015075684
m7->a8.h10<q>,-0.022949219
m7->a8.h10<k>,0.015991211
input->m8,-0.034423828
m1->m8,-0.049072266
m3->m8,-0.023925781
m5->m8,-0.038330078
m6->m8,-0.078125
m7->m8,-0.17382812
m0->a9.h3<q>,0.037597656
m0->a9.h3<v>,-0.015014648
m0->a9.h4<v>,0.015563965
m0->a9.h5<q>,-0.03564453
m0->a9.h11<k>,-0.0234375
m1->a9.h3<q>,0.08496094
m1->a9.h3<k>,-0.025146484
m1->a9.h5<q>,-0.0546875
m1->a9.h7<q>,0.017211914
m1->a9.h11<k>,0.020629883
m2->a9.h3<q>,0.01965332
m2->a9.h11<q>,-0.020019531
m4->a9.h11<k>,-0.018920898
m4->a9.h11<v>,0.014831543
m7->a9.h5<q>,-0.01574707
m7->a9.h9<q>,0.01586914
m7->a9.h11<q>,0.030761719
m7->a9.h11<k>,-0.022827148
m8->a9.h11<k>,-0.020996094
input->m9,-0.03112793
m0->m9,0.045410156
m1->m9,-0.07519531
m2->m9,-0.0234375
m3->m9,-0.061279297
m4->m9,0.021728516
m5->m9,-0.032714844
m6->m9,-0.08935547
m7->m9,-0.0703125
m8->m9,0.03491211
m0->a10.h4<k>,-0.040527344
m0->a10.h4<v>,0.027832031
m0->a10.h5<q>,0.029052734
m0->a10.h5<k>,-0.03466797
m0->a10.h7<q>,-0.025634766
m0->a10.h8<q>,-0.017944336
m0->a10.h8<k>,-0.028076172
m0->a10.h8<v>,0.019897461
m0->a10.h9<q>,0.023071289
m0->a10.h9<k>,-0.026245117
m0->a10.h10<q>,-0.016113281
m1->a10.h5<q>,0.061279297
m1->a10.h5<k>,-0.02722168
m1->a10.h5<v>,-0.016601562
m1->a10.h9<q>,0.03881836
m1->a10.h9<k>,-0.020263672
m2->a10.h4<q>,-0.016113281
m2->a10.h5<q>,0.016357422
m2->a10.h8<q>,-0.015014648
m2->a10.h8<k>,-0.014770508
m4->a10.h4<k>,-0.016235352
m4->a10.h8<k>,-0.018310547
m6->a10.h4<k>,-0.020629883
m7->a10.h4<q>,0.038085938
m7->a10.h5<v>,0.016845703
m7->a10.h8<k>,-0.017456055
m7->a10.h8<v>,0.018676758
m8->a10.h8<k>,-0.01586914
m9->a10.h4<k>,-0.015625
m9->a10.h8<q>,0.021728516
m9->a10.h8<k>,-0.019165039
m0->m10,-0.19628906
m1->m10,-0.07519531
m3->m10,-0.072265625
m4->m10,-0.036865234
m5->m10,-0.056152344
m6->m10,-0.068359375
m7->m10,-0.096191406
m8->m10,-0.072265625
m9->m10,-0.115234375
m0->a11.h3<v>,0.018676758
m0->a11.h6<v>,0.015991211
m0->a11.h8<v>,-0.015563965
m0->a11.h10<q>,-0.017944336
m1->a11.h8<v>,-0.03149414
m3->a11.h8<v>,0.020996094
m5->a11.h0<v>,-0.017822266
m7->a11.h0<q>,0.017089844
m7->a11.h8<v>,-0.035888672
m7->a11.h10<q>,-0.016357422
m8->a11.h8<v>,-0.03112793
m9->a11.h0<q>,0.021972656
m9->a11.h0<v>,0.015380859
m9->a11.h8<v>,-0.036621094
m10->a11.h0<v>,0.036132812
m10->a11.h8<v>,-0.049072266
m10->a11.h11<v>,0.033691406
input->m11,-0.04345703
m0->m11,-0.22265625
m1->m11,-0.08105469
m2->m11,-0.0625
m4->m11,-0.026611328
m6->m11,0.029174805
m7->m11,0.049072266
m8->m11,0.032714844
m9->m11,0.10888672
m10->m11,-0.19726562
input->logits,0.34765625
m0->logits,0.33007812
m1->logits,-0.16113281
m2->logits,-0.087890625
m3->logits,-0.084472656
m4->logits,-0.17773438
m5->logits,-0.25
m6->logits,-0.19042969
m7->logits,-0.4375
m8->logits,-0.49023438
m9->logits,-0.78125
m10->logits,-0.81640625
a11.h8->logits,-0.029052734
m11->logits,-1.8984375
