Model,FT_Task,Data_Task,Overlap_Pct,N_Shared_Edges
gpt2,yelp,sst2,45.25,181
gpt2,yelp,squad,32.5,130
gpt2,yelp,coqa,30.5,122
gpt2,yelp,kde4,41.0,164
gpt2,yelp,tatoeba,42.75,171
gpt2,sst2,yelp,37.25,149
gpt2,sst2,squad,36.0,144
gpt2,sst2,coqa,36.75,147
gpt2,sst2,kde4,42.0,168
gpt2,sst2,tatoeba,41.5,166
gpt2,squad,yelp,33.5,134
gpt2,squad,sst2,31.75,127
gpt2,squad,coqa,37.0,148
gpt2,squad,kde4,35.75,143
gpt2,squad,tatoeba,35.0,140
gpt2,coqa,yelp,33.25,133
gpt2,coqa,sst2,34.0,136
gpt2,coqa,squad,36.5,146
gpt2,coqa,kde4,31.5,126
gpt2,coqa,tatoeba,31.75,127
gpt2,kde4,yelp,39.5,158
gpt2,kde4,sst2,41.75,167
gpt2,kde4,squad,34.0,136
gpt2,kde4,coqa,30.75,123
gpt2,kde4,tatoeba,47.0,188
gpt2,tatoeba,yelp,40.5,162
gpt2,tatoeba,sst2,40.25,161
gpt2,tatoeba,squad,34.75,139
gpt2,tatoeba,coqa,31.0,124
gpt2,tatoeba,kde4,47.0,188
llama3.2,yelp,sst2,39.75,159
llama3.2,yelp,squad,26.75,107
llama3.2,yelp,coqa,30.5,122
llama3.2,yelp,kde4,26.75,107
llama3.2,yelp,tatoeba,27.0,108
llama3.2,sst2,yelp,40.5,162
llama3.2,sst2,squad,32.25,129
llama3.2,sst2,coqa,26.0,104
llama3.2,sst2,kde4,29.75,119
llama3.2,sst2,tatoeba,34.25,137
llama3.2,squad,yelp,28.75,115
llama3.2,squad,sst2,31.5,126
llama3.2,squad,coqa,30.75,123
llama3.2,squad,kde4,30.5,122
llama3.2,squad,tatoeba,28.25,113
llama3.2,coqa,yelp,26.25,105
llama3.2,coqa,sst2,25.0,100
llama3.2,coqa,squad,31.75,127
llama3.2,coqa,kde4,26.0,104
llama3.2,coqa,tatoeba,19.75,79
llama3.2,kde4,yelp,26.25,105
llama3.2,kde4,sst2,34.5,138
llama3.2,kde4,squad,31.25,125
llama3.2,kde4,coqa,30.25,121
llama3.2,kde4,tatoeba,30.25,121
llama3.2,tatoeba,yelp,26.25,105
llama3.2,tatoeba,sst2,31.5,126
llama3.2,tatoeba,squad,28.0,112
llama3.2,tatoeba,coqa,25.5,102
llama3.2,tatoeba,kde4,32.5,130
qwen2,yelp,sst2,33.5,134
qwen2,yelp,squad,30.5,122
qwen2,yelp,coqa,29.75,119
qwen2,yelp,kde4,31.0,124
qwen2,yelp,tatoeba,31.25,125
qwen2,sst2,yelp,35.0,140
qwen2,sst2,squad,36.25,145
qwen2,sst2,coqa,36.25,145
qwen2,sst2,kde4,39.25,157
qwen2,sst2,tatoeba,39.75,159
qwen2,squad,yelp,33.75,135
qwen2,squad,sst2,35.5,142
qwen2,squad,coqa,35.5,142
qwen2,squad,kde4,30.5,122
qwen2,squad,tatoeba,31.5,126
qwen2,coqa,yelp,29.0,116
qwen2,coqa,sst2,32.25,129
qwen2,coqa,squad,40.0,160
qwen2,coqa,kde4,27.75,111
qwen2,coqa,tatoeba,27.5,110
qwen2,kde4,yelp,33.0,132
qwen2,kde4,sst2,41.5,166
qwen2,kde4,squad,35.5,142
qwen2,kde4,coqa,34.0,136
qwen2,kde4,tatoeba,37.5,150
qwen2,tatoeba,yelp,35.25,141
qwen2,tatoeba,sst2,41.75,167
qwen2,tatoeba,squad,32.5,130
qwen2,tatoeba,coqa,32.0,128
qwen2,tatoeba,kde4,40.0,160
llama2,yelp,sst2,16.75,67
llama2,yelp,squad,44.5,178
llama2,yelp,coqa,39.75,159
llama2,yelp,kde4,27.75,111
llama2,yelp,tatoeba,14.75,59
llama2,sst2,yelp,8.0,32
llama2,sst2,squad,7.0,28
llama2,sst2,coqa,14.75,59
llama2,sst2,kde4,19.75,79
llama2,sst2,tatoeba,19.75,79
llama2,squad,yelp,46.75,187
llama2,squad,sst2,6.25,25
llama2,squad,coqa,45.5,182
llama2,squad,kde4,29.0,116
llama2,squad,tatoeba,3.5,14
llama2,coqa,yelp,38.5,154
llama2,coqa,sst2,12.5,50
llama2,coqa,squad,51.25,205
llama2,coqa,kde4,24.75,99
llama2,coqa,tatoeba,5.25,21
llama2,kde4,yelp,30.25,121
llama2,kde4,sst2,25.75,103
llama2,kde4,squad,28.5,114
llama2,kde4,coqa,28.25,113
llama2,kde4,tatoeba,31.75,127
llama2,tatoeba,yelp,23.0,92
llama2,tatoeba,sst2,14.0,56
llama2,tatoeba,squad,5.0,20
llama2,tatoeba,coqa,14.75,59
llama2,tatoeba,kde4,29.25,117
