edge,score
input->a0.h12<q>,11.9375
input->m0,-253.0
a0.h0->m0,-19.875
a0.h1->m0,-10.75
a0.h2->m0,-21.0
a0.h3->m0,-27.0
a0.h4->m0,-16.0
a0.h5->m0,-12.5
a0.h6->m0,-26.75
a0.h7->m0,-60.75
a0.h8->m0,-32.5
a0.h9->m0,-37.5
a0.h10->m0,-41.5
a0.h11->m0,-36.75
a0.h12->m0,-19.5
a0.h13->m0,-13.9375
input->a1.h8<q>,10.25
m0->a1.h0<q>,47.25
m0->a1.h1<q>,50.25
m0->a1.h2<q>,-25.0
m0->a1.h3<q>,-50.25
m0->a1.h4<q>,-21.875
m0->a1.h6<q>,29.5
m0->a1.h7<q>,-39.5
m0->a1.h8<q>,-56.0
m0->a1.h9<q>,-17.125
m0->a1.h10<q>,22.75
m0->a1.h11<q>,18.375
m0->a1.h12<q>,-12.625
m0->a1.h13<q>,-16.25
input->m1,56.0
m0->m1,-486.0
a1.h0->m1,38.5
a1.h1->m1,-22.375
a1.h2->m1,55.25
a1.h3->m1,44.5
a1.h4->m1,59.25
a1.h5->m1,130.0
a1.h7->m1,52.5
a1.h8->m1,50.25
a1.h9->m1,16.5
a1.h11->m1,24.375
a1.h13->m1,68.0
m0->a2.h1<q>,-41.25
m0->a2.h2<q>,16.5
m0->a2.h5<q>,-12.375
m0->a2.h6<q>,-19.875
m0->a2.h7<q>,-13.1875
m0->a2.h8<q>,11.9375
m0->a2.h10<q>,-13.4375
m0->a2.h11<q>,-36.75
m0->a2.h12<q>,-31.0
a1.h1->a2.h1<q>,10.125
a1.h1->a2.h11<q>,-13.375
a1.h2->a2.h1<q>,11.1875
a1.h3->a2.h1<q>,14.5
a1.h3->a2.h4<q>,14.25
a1.h5->a2.h0<q>,-10.9375
a1.h5->a2.h11<q>,-19.5
a1.h7->a2.h1<q>,-41.5
a1.h7->a2.h3<q>,-14.5625
a1.h7->a2.h6<q>,-10.8125
a1.h7->a2.h8<q>,-11.125
a1.h7->a2.h11<q>,33.0
a1.h7->a2.h12<q>,33.25
a1.h7->a2.h13<q>,-11.9375
a1.h8->a2.h0<q>,15.625
a1.h8->a2.h1<q>,-31.625
a1.h8->a2.h11<q>,22.5
a1.h8->a2.h12<q>,37.25
a1.h8->a2.h13<q>,-10.875
a1.h9->a2.h1<q>,-21.875
a1.h9->a2.h3<q>,-24.375
