edge,score
input->a0.h0<v>,0.005065918
input->a0.h1<q>,0.0029449463
input->a0.h1<k>,-0.0015411377
input->a0.h1<v>,-0.006011963
input->a0.h2<v>,0.0016174316
input->a0.h3<k>,-0.0036315918
input->a0.h3<v>,-0.016601562
input->a0.h4<v>,0.0054016113
input->a0.h5<q>,-0.005859375
input->a0.h5<k>,-0.0061035156
input->a0.h5<v>,-0.013183594
input->a0.h6<v>,0.0134887695
input->a0.h7<v>,-0.005493164
input->a0.h8<v>,-0.026611328
input->a0.h9<k>,-0.006011963
input->a0.h9<v>,-0.011230469
input->a0.h10<v>,0.013671875
input->a0.h11<v>,-0.0022735596
input->m0,-2.71875
a0.h0->m0,-0.001663208
a0.h1->m0,0.0022583008
a0.h2->m0,-0.0028533936
a0.h4->m0,0.0019989014
a0.h5->m0,-0.0064086914
a0.h6->m0,0.0019302368
a0.h7->m0,-0.0027008057
a0.h8->m0,0.0015563965
a0.h9->m0,-0.008422852
m0->a1.h3<v>,0.0021362305
m0->a1.h5<v>,0.0022277832
m0->a1.h6<v>,-0.0024108887
m0->a1.h8<k>,0.0057373047
m0->a1.h8<v>,0.002105713
m0->a1.h9<k>,0.0029449463
m0->a1.h9<v>,0.0039978027
input->m1,0.0061035156
m0->m1,-0.015625
m0->a2.h3<v>,0.0016784668
m0->a2.h6<v>,-0.0029754639
m0->a2.h7<v>,0.012634277
m0->a2.h10<v>,-0.0019454956
m0->a2.h11<v>,-0.0014877319
input->m2,0.019165039
m0->m2,0.1640625
m1->m2,-0.095214844
m0->a3.h0<v>,-0.0030212402
m0->a3.h1<v>,-0.002456665
m0->a3.h5<v>,-0.0017089844
m0->a3.h6<v>,-0.0036010742
m0->a3.h11<v>,0.0013198853
input->m3,0.005004883
m0->m3,0.024047852
m1->m3,0.0025634766
m2->m3,-0.029418945
m0->a4.h1<k>,-0.0014648438
m0->a4.h2<v>,0.003692627
m0->a4.h3<k>,0.0013961792
m0->a4.h3<v>,-0.00491333
m0->a4.h4<v>,0.0069274902
m0->a4.h5<v>,0.0038909912
m0->a4.h6<k>,0.0014343262
m0->a4.h6<v>,-0.008728027
m0->a4.h7<v>,-0.0027770996
m0->a4.h8<v>,0.003326416
m0->a4.h9<v>,0.0022888184
m0->a4.h10<v>,0.007080078
m0->a4.h11<k>,-0.003112793
m2->a4.h0<k>,-0.0014190674
m2->a4.h1<k>,0.0015716553
m2->a4.h3<v>,-0.001335144
m2->a4.h5<k>,0.001663208
m2->a4.h6<v>,-0.002166748
m2->a4.h11<k>,-0.006225586
input->m4,0.0022125244
m0->m4,-0.12011719
m1->m4,0.032714844
m2->m4,-0.00982666
m3->m4,0.0038909912
m0->a5.h0<k>,-0.002319336
m0->a5.h0<v>,-0.0017166138
m0->a5.h2<v>,-0.0020751953
m0->a5.h3<v>,-0.0062561035
m0->a5.h4<v>,0.0058288574
m0->a5.h5<v>,-0.0043029785
m0->a5.h6<v>,-0.0072021484
m0->a5.h7<v>,0.001373291
m0->a5.h9<v>,0.029174805
m0->a5.h10<k>,0.002319336
m0->a5.h10<v>,-0.009033203
m2->a5.h8<k>,0.0022277832
m2->a5.h9<v>,0.004211426
m2->a5.h10<v>,-0.0023651123
m2->a5.h11<v>,0.002105713
m4->a5.h8<v>,0.0019989014
input->m5,0.0031280518
m0->m5,0.22265625
m1->m5,-0.022705078
m2->m5,-0.011779785
m3->m5,-0.005340576
m0->a6.h0<k>,0.0015258789
m0->a6.h1<k>,0.0014266968
m0->a6.h1<v>,0.006011963
m0->a6.h2<v>,0.008117676
m0->a6.h3<v>,0.0045166016
m0->a6.h4<v>,0.006164551
m0->a6.h5<v>,-0.015075684
m0->a6.h6<k>,-0.0016021729
m0->a6.h6<v>,-0.0016098022
m0->a6.h7<v>,0.005554199
m0->a6.h8<v>,-0.004638672
m0->a6.h9<v>,-0.0071105957
m0->a6.h10<v>,0.011962891
m0->a6.h11<v>,0.0028533936
m2->a6.h5<k>,-0.0014572144
m2->a6.h9<v>,-0.0017471313
m2->a6.h11<v>,0.0015945435
m4->a6.h3<v>,0.0014038086
input->m6,-0.0019302368
m0->m6,0.16601562
m1->m6,0.0046081543
