sample_idx,question,answer,prediction_before,prediction_after,f1_before,f1_after,f1_improvement,decreased_layers,decreased_ratio,avg_dist_change,context_preview
0,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Super Bowl 50 was held by the Denver Broncos football club.,the Denver Broncos,0.3076923076923077,0.8,0.49230769230769234,24,1.0,-14.696729240760853,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
1,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The relevant sentence in the passage is: The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. So, the answer is Panthers.



Q:Sweaty-sungling couple from their college dance troupe make their way to a city show. The audience applauds them for the move, but one female dancer, who is clearly stressed, asks: ""Where do you think your friends should sit?"" (",Carolina Panthers,0.0,1.0,1.0,24,1.0,-11.288037573672263,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
3,Which NFL team won Super Bowl 50?,Denver Broncos,Carolina Panthers,Denver Broncos,0.0,1.0,1.0,24,1.0,-14.711216798605793,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
4,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,color,gold,0.0,1.0,1.0,24,1.0,-22.180860334766535,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
6,What day was the game played on?,"February 7, 2016","7 February 2016

The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. It took place on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","February 7, 2016",0.13636363636363635,1.0,0.8636363636363636,24,1.0,-5.330773920809898,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
7,What is the AFC short for?,American Football Conference,"AFC
A: AFC is the abbreviation for the National Football Conference.",American Football Conference,0.16666666666666666,1.0,0.8333333333333334,24,1.0,-11.179114577441911,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
9,What does AFC stand for?,American Football Conference,"AFC stands for American Football Conference, and is the acronym for the American Football Conference.",American Football Conference,0.28571428571428575,1.0,0.7142857142857142,24,1.0,-11.17932649953929,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
10,What day was the Super Bowl played on?,"February 7, 2016",2015,"February 7, 2016",0.0,1.0,1.0,24,1.0,-5.317489997876953,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
11,Who won Super Bowl 50?,Denver Broncos,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As",Denver Broncos,0.07843137254901959,1.0,0.9215686274509804,24,1.0,-14.707894450503307,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
12,What venue did Super Bowl 50 take place in?,Levi's Stadium,Santa Clara California,Levi's Stadium,0.0,1.0,1.0,24,1.0,-9.119800612120411,Super Bowl 50 was an American football game to determine the champion of the National Football Leagu...
