edge,score
input->a0.h0<q>,-378.0
input->a0.h1<q>,536.0
input->a0.h3<q>,-119.5
input->a0.h6<q>,179.0
input->a0.h8<q>,-396.0
input->a0.h9<q>,-182.0
input->a0.h12<q>,158.0
input->a0.h13<q>,198.0
input->m0,14976.0
a0.h0->m0,1600.0
a0.h1->m0,1504.0
a0.h2->m0,1784.0
a0.h3->m0,1232.0
a0.h4->m0,1792.0
a0.h5->m0,1976.0
a0.h6->m0,1720.0
a0.h7->m0,161.0
a0.h8->m0,346.0
a0.h9->m0,-464.0
a0.h10->m0,-118.0
a0.h11->m0,-144.0
a0.h12->m0,328.0
a0.h13->m0,-1160.0
input->a1.h10<q>,-692.0
input->a1.h11<q>,95.5
a0.h9->a1.h10<q>,-80.0
a0.h13->a1.h10<q>,-85.0
m0->a1.h0<q>,348.0
m0->a1.h1<q>,-116.5
m0->a1.h2<q>,248.0
m0->a1.h3<q>,-78.5
m0->a1.h4<q>,61.75
m0->a1.h6<q>,78.5
m0->a1.h7<q>,276.0
m0->a1.h9<q>,-576.0
m0->a1.h10<q>,1160.0
m0->a1.h11<q>,428.0
m0->a1.h12<q>,-1632.0
input->m1,-422.0
m0->m1,5888.0
a1.h0->m1,-828.0
a1.h1->m1,532.0
a1.h2->m1,876.0
a1.h3->m1,1576.0
a1.h4->m1,1000.0
a1.h5->m1,2432.0
a1.h6->m1,608.0
a1.h7->m1,-205.0
a1.h8->m1,-1840.0
a1.h9->m1,-1048.0
a1.h10->m1,-768.0
a1.h11->m1,-768.0
a1.h12->m1,-1400.0
a1.h13->m1,-1424.0
m0->a2.h1<q>,-572.0
m0->a2.h2<q>,-125.0
m0->a2.h5<q>,-207.0
m0->a2.h7<q>,-103.5
m0->a2.h9<q>,95.5
m0->a2.h10<q>,60.75
a1.h0->a2.h1<q>,-253.0
a1.h0->a2.h5<q>,-163.0
a1.h1->a2.h1<q>,-420.0
a1.h1->a2.h4<q>,-79.0
a1.h1->a2.h5<q>,-320.0
a1.h1->a2.h7<q>,-92.0
a1.h1->a2.h8<q>,98.5
a1.h1->a2.h11<q>,103.0
a1.h2->a2.h1<q>,-488.0
a1.h2->a2.h2<q>,-85.0
a1.h2->a2.h5<q>,-209.0
a1.h2->a2.h7<q>,82.5
a1.h3->a2.h1<q>,-564.0
a1.h3->a2.h5<q>,-248.0
a1.h3->a2.h8<q>,93.0
a1.h3->a2.h11<q>,70.0
a1.h4->a2.h1<q>,-572.0
a1.h4->a2.h5<q>,-300.0
a1.h4->a2.h8<q>,87.5
a1.h4->a2.h11<q>,85.0
a1.h5->a2.h1<q>,-484.0
a1.h5->a2.h2<q>,-115.0
a1.h5->a2.h5<q>,-202.0
a1.h5->a2.h7<q>,145.0
a1.h5->a2.h8<q>,-82.5
a1.h5->a2.h10<q>,107.5
a1.h5->a2.h12<q>,-67.5
a1.h6->a2.h1<q>,-422.0
a1.h6->a2.h2<q>,-67.0
a1.h6->a2.h5<q>,-201.0
a1.h7->a2.h1<q>,-478.0
a1.h7->a2.h2<q>,-156.0
a1.h7->a2.h4<q>,118.5
a1.h7->a2.h5<q>,-68.0
a1.h7->a2.h7<q>,116.0
a1.h7->a2.h8<q>,119.5
a1.h8->a2.h1<q>,198.0
a1.h8->a2.h4<q>,107.0
a1.h8->a2.h5<q>,141.0
a1.h8->a2.h11<q>,-72.5
