edge,score
input->a0.h1<k>,0.0032653809
input->a0.h1<v>,-0.007232666
input->a0.h2<v>,-0.003967285
input->a0.h5<q>,-0.0027160645
input->a0.h5<k>,-0.002243042
input->a0.h5<v>,-0.001876831
input->a0.h6<v>,0.0061035156
input->a0.h7<v>,-0.009338379
input->a0.h8<v>,-0.007019043
input->a0.h9<k>,-0.0019836426
input->a0.h9<v>,0.008911133
input->a0.h10<v>,0.007507324
input->a0.h11<v>,-0.016357422
input->m0,-4.5
a0.h2->m0,-0.002090454
a0.h4->m0,0.0016860962
a0.h5->m0,-0.0012054443
a0.h7->m0,-0.0023956299
a0.h9->m0,-0.0034332275
a0.h10->m0,0.0012969971
a0.h11->m0,0.0024261475
m0->a1.h0<v>,0.0010681152
m0->a1.h2<v>,0.011413574
m0->a1.h3<v>,0.0053100586
m0->a1.h5<v>,0.0027923584
m0->a1.h6<v>,-0.0025024414
m0->a1.h8<k>,0.0045166016
m0->a1.h8<v>,0.005065918
m0->a1.h9<k>,0.0024108887
m0->a1.h9<v>,0.002243042
m0->a1.h10<v>,-0.0045776367
input->m1,-0.005126953
m0->m1,0.020019531
m0->a2.h0<v>,-0.0012283325
m0->a2.h4<v>,-0.0012054443
m0->a2.h5<v>,0.0013504028
m0->a2.h6<v>,0.0059509277
m0->a2.h7<q>,-0.001914978
m0->a2.h7<k>,-0.0012817383
m0->a2.h7<v>,0.021240234
m0->a2.h10<v>,-0.0056762695
input->m2,0.014221191
m0->m2,0.41992188
m1->m2,-0.103515625
m0->a3.h0<v>,-0.006134033
m0->a3.h2<k>,-0.0011444092
m0->a3.h2<v>,0.0016326904
m0->a3.h3<k>,-0.0011367798
m0->a3.h3<v>,0.0025177002
m0->a3.h4<v>,0.005126953
m0->a3.h8<v>,0.0011138916
m0->a3.h9<v>,0.0013122559
m2->a3.h0<k>,-0.0025939941
m2->a3.h0<v>,0.0025634766
m2->a3.h2<k>,0.0024719238
m2->a3.h3<k>,0.0024871826
m2->a3.h7<v>,-0.0019989014
input->m3,0.005340576
m0->m3,0.014770508
m1->m3,0.012023926
m2->m3,-0.03149414
m0->a4.h0<v>,0.0034637451
m0->a4.h2<v>,0.011779785
m0->a4.h3<v>,-0.0048217773
m0->a4.h4<k>,0.0010681152
m0->a4.h4<v>,-0.006134033
m0->a4.h5<v>,0.0017700195
m0->a4.h6<v>,-0.0014343262
m0->a4.h7<v>,-0.0046081543
m0->a4.h8<v>,0.004852295
m0->a4.h9<v>,0.003616333
m0->a4.h10<v>,0.011962891
m0->a4.h11<k>,0.0019302368
m2->a4.h0<v>,0.0019683838
m2->a4.h2<v>,0.0020446777
m2->a4.h3<v>,-0.0043640137
m2->a4.h8<v>,-0.0014648438
m2->a4.h9<k>,0.0012664795
m2->a4.h10<v>,0.001083374
m2->a4.h11<k>,0.0016021729
m2->a4.h11<v>,-0.0022888184
input->m4,0.004486084
m0->m4,-0.053710938
m1->m4,0.00491333
m2->m4,-0.049072266
m3->m4,0.004211426
m0->a5.h0<q>,-0.0016326904
m0->a5.h0<k>,-0.0017166138
m0->a5.h0<v>,0.016113281
m0->a5.h2<v>,-0.0031433105
m0->a5.h3<v>,0.0047302246
m0->a5.h4<q>,0.0013580322
m0->a5.h4<v>,-0.0056152344
m0->a5.h5<v>,-0.0015792847
m0->a5.h6<k>,-0.0013504028
m0->a5.h6<v>,-0.005554199
m0->a5.h7<v>,0.0013198853
m0->a5.h8<q>,-0.0010681152
m0->a5.h8<v>,-0.005432129
m0->a5.h9<v>,0.0138549805
m0->a5.h10<v>,-0.006439209
m0->a5.h11<v>,0.0025177002
m1->a5.h0<v>,-0.0010757446
m2->a5.h1<k>,0.0018844604
m2->a5.h1<v>,-0.0015716553
m2->a5.h2<k>,-0.0012435913
m2->a5.h2<v>,-0.0023040771
m2->a5.h3<v>,0.0017089844
m2->a5.h4<v>,-0.0062561035
m2->a5.h6<v>,-0.0022888184
m2->a5.h8<k>,0.0011901855
m2->a5.h9<v>,0.004852295
m2->a5.h10<v>,-0.0031280518
m2->a5.h11<v>,0.0018386841
input->m5,0.0029296875
m0->m5,0.010559082
m1->m5,0.013305664
m2->m5,0.079589844
m3->m5,-0.00340271
m4->m5,0.0011825562
m0->a6.h0<v>,-0.004852295
m0->a6.h2<v>,0.001663208
m0->a6.h3<k>,-0.0011291504
m0->a6.h3<v>,0.0037231445
m0->a6.h4<v>,0.011413574
m0->a6.h5<v>,0.0052490234
m0->a6.h6<v>,-0.0016784668
m0->a6.h7<v>,-0.0065612793
m0->a6.h8<v>,-0.009521484
m0->a6.h9<k>,0.0018615723
m0->a6.h9<v>,0.0012588501
m0->a6.h10<v>,0.014038086
m0->a6.h11<k>,-0.0011825562
m0->a6.h11<v>,0.009155273
m2->a6.h0<v>,-0.0026397705
m2->a6.h1<k>,0.001663208
m2->a6.h1<v>,-0.0020446777
m2->a6.h3<k>,0.0027313232
m2->a6.h4<v>,0.0012893677
m2->a6.h5<k>,0.0012969971
m2->a6.h5<v>,0.0027008057
m2->a6.h6<v>,0.0011367798
m2->a6.h7<k>,0.0015411377
m2->a6.h7<v>,-0.0052490234
m2->a6.h8<v>,-0.004425049
m2->a6.h10<v>,0.0012130737
m2->a6.h11<v>,0.003967285
a5.h9->a6.h2<v>,-0.0014038086
m5->a6.h8<v>,0.0013656616
m0->m6,0.19140625
m1->m6,-0.019042969
m2->m6,-0.08886719
m3->m6,0.008300781
m4->m6,0.051757812
m5->m6,0.048339844
m0->a7.h0<v>,-0.009399414
m0->a7.h2<k>,0.0011672974
m0->a7.h2<v>,-0.0010910034
m0->a7.h3<k>,0.0015716553
m0->a7.h3<v>,0.004180908
m0->a7.h5<v>,0.004272461
m0->a7.h6<v>,0.005340576
m0->a7.h7<v>,-0.002090454
m0->a7.h8<v>,-0.002166748
m0->a7.h9<k>,-0.001335144
m0->a7.h9<v>,0.0027160645
m0->a7.h10<v>,-0.001335144
m0->a7.h11<v>,-0.026977539
m2->a7.h0<v>,-0.0040893555
m2->a7.h3<v>,0.002105713
m2->a7.h4<v>,0.0013885498
m2->a7.h5<v>,0.0012359619
m2->a7.h6<v>,0.0022277832
m2->a7.h8<v>,-0.0020141602
m2->a7.h9<k>,0.0017547607
m2->a7.h9<v>,-0.0016860962
m2->a7.h10<v>,-0.0013580322
m2->a7.h11<k>,-0.0011672974
m2->a7.h11<v>,-0.0050354004
input->m7,-0.0028686523
m0->m7,-0.19921875
m1->m7,0.09423828
m2->m7,0.14160156
m3->m7,-0.0027160645
m4->m7,-0.009887695
m5->m7,0.049804688
m6->m7,0.013061523
m0->a8.h0<v>,0.006439209
m0->a8.h1<v>,-0.0038604736
m0->a8.h2<v>,-0.012573242
m0->a8.h4<k>,-0.0011291504
m0->a8.h4<v>,-0.0019683838
m0->a8.h5<k>,-0.0012207031
m0->a8.h8<v>,0.0029296875
m0->a8.h9<v>,0.0029754639
m0->a8.h10<k>,0.0012817383
m0->a8.h10<v>,0.0012588501
m0->a8.h11<v>,-0.0057373047
m2->a8.h0<v>,0.0040283203
m2->a8.h1<v>,-0.0014953613
m2->a8.h2<v>,-0.0028381348
m2->a8.h5<v>,-0.0012969971
m2->a8.h8<k>,0.0013122559
m2->a8.h10<v>,0.0016860962
m2->a8.h11<k>,-0.0012207031
m2->a8.h11<v>,-0.0011444092
input->m8,0.0024719238
m0->m8,-0.08105469
m1->m8,0.04321289
m2->m8,0.08691406
m3->m8,0.0012588501
m4->m8,0.0076904297
m5->m8,0.041992188
m6->m8,0.009399414
m7->m8,-0.0028686523
m0->a9.h2<v>,0.002319336
m0->a9.h3<v>,-0.0063171387
m0->a9.h4<v>,-0.007507324
m0->a9.h5<v>,0.0053100586
