edge,score
input->a0.h0<q>,-0.17285156
input->a0.h0<k>,0.375
input->a0.h0<v>,0.23144531
input->a0.h1<q>,0.12109375
input->a0.h1<v>,-0.62109375
input->a0.h2<q>,-0.5234375
input->a0.h3<k>,-0.46679688
input->a0.h3<v>,0.23632812
input->a0.h4<q>,-0.15039062
input->a0.h4<k>,-0.22265625
input->a0.h4<v>,-0.796875
input->a0.h6<k>,0.19238281
input->a0.h6<v>,-0.15527344
input->a0.h7<q>,-0.28320312
input->a0.h7<v>,-0.14453125
input->a0.h8<k>,1.421875
input->a0.h8<v>,-0.1328125
input->a0.h9<q>,-1.0234375
input->a0.h9<k>,-5.4375
input->a0.h9<v>,-1.0390625
input->a0.h10<k>,0.48828125
input->a0.h11<v>,0.30664062
input->a0.h12<q>,-0.3046875
input->a0.h12<v>,0.19921875
input->a0.h13<q>,-0.19042969
input->a0.h13<k>,0.11376953
input->a0.h14<q>,-0.4375
input->a0.h14<k>,0.123046875
input->a0.h15<q>,-0.26171875
input->a0.h15<k>,0.39453125
input->a0.h15<v>,-0.81640625
input->a0.h16<v>,0.11425781
input->a0.h17<q>,-2.8125
input->a0.h17<k>,-0.59375
input->a0.h17<v>,-1.328125
input->a0.h18<k>,-0.29296875
input->a0.h19<v>,-0.359375
input->a0.h20<v>,-0.2421875
input->a0.h21<q>,-0.20605469
input->a0.h21<k>,-0.13476562
input->a0.h21<v>,1.078125
input->a0.h22<q>,-0.9765625
input->a0.h22<k>,4.3125
input->a0.h22<v>,-3.234375
input->a0.h23<q>,0.85546875
input->a0.h23<k>,-0.84375
input->a0.h23<v>,-0.24121094
input->a0.h24<v>,-0.15527344
input->a0.h25<v>,-0.26953125
input->a0.h26<k>,0.118652344
input->a0.h26<v>,0.49804688
input->a0.h28<q>,0.24707031
input->a0.h28<k>,-0.43945312
input->a0.h28<v>,-0.13085938
input->a0.h30<v>,0.38671875
input->a0.h31<q>,-0.13867188
input->a0.h31<v>,-0.17089844
input->m0,-2.859375
a0.h0->m0,0.21386719
a0.h1->m0,0.29296875
a0.h2->m0,-0.118652344
a0.h3->m0,0.765625
a0.h4->m0,-1.359375
a0.h5->m0,-0.9765625
a0.h6->m0,-0.20996094
a0.h8->m0,0.32226562
a0.h9->m0,-1.21875
a0.h10->m0,0.27539062
a0.h11->m0,-0.52734375
a0.h13->m0,0.14160156
a0.h17->m0,-1.203125
a0.h18->m0,-0.16015625
a0.h20->m0,-0.14160156
a0.h21->m0,0.91015625
a0.h22->m0,-3.65625
a0.h23->m0,0.4921875
a0.h24->m0,-0.27929688
a0.h25->m0,0.34570312
a0.h26->m0,0.19042969
a0.h27->m0,0.5390625
a0.h29->m0,0.17285156
a0.h30->m0,-0.26367188
a0.h31->m0,-0.11767578
input->a1.h11<v>,-0.24511719
input->a1.h14<k>,-0.1328125
input->a1.h14<v>,-0.20898438
a0.h0->a1.h8<v>,-0.4296875
a0.h0->a1.h11<v>,0.1875
a0.h1->a1.h8<v>,-0.2578125
a0.h1->a1.h11<v>,0.24609375
a0.h3->a1.h2<v>,0.11230469
a0.h3->a1.h8<v>,-1.1875
a0.h3->a1.h11<q>,0.38671875
a0.h3->a1.h11<v>,0.45703125
a0.h3->a1.h14<v>,0.2109375
a0.h4->a1.h8<v>,1.78125
a0.h4->a1.h11<q>,-0.19238281
a0.h4->a1.h11<v>,-0.609375
a0.h5->a1.h8<v>,0.11328125
a0.h6->a1.h8<v>,0.11669922
a0.h7->a1.h8<v>,-0.13769531
a0.h9->a1.h11<q>,0.13085938
a0.h11->a1.h8<v>,1.4765625
a0.h11->a1.h11<q>,-0.12890625
a0.h11->a1.h11<v>,-0.54296875
a0.h15->a1.h8<v>,0.20117188
a0.h15->a1.h11<q>,0.13085938
a0.h16->a1.h8<v>,0.17871094
a0.h17->a1.h11<v>,-0.123046875
a0.h19->a1.h8<v>,-0.15234375
a0.h21->a1.h11<v>,-0.1328125
a0.h22->a1.h8<v>,0.6171875
a0.h22->a1.h11<v>,-0.38085938
a0.h22->a1.h14<v>,-0.17773438
a0.h23->a1.h8<v>,-0.12890625
a0.h23->a1.h11<v>,0.19238281
a0.h24->a1.h8<v>,0.4296875
a0.h24->a1.h11<v>,-0.18847656
a0.h25->a1.h8<v>,-0.19628906
a0.h25->a1.h11<v>,0.1640625
a0.h27->a1.h8<v>,-0.17285156
a0.h27->a1.h11<v>,0.17089844
a0.h30->a1.h8<v>,0.6953125
a0.h30->a1.h11<v>,-0.24511719
m0->a1.h1<q>,-0.15332031
m0->a1.h1<k>,0.12792969
m0->a1.h1<v>,0.19628906
m0->a1.h4<q>,-0.18359375
m0->a1.h8<q>,0.17089844
m0->a1.h8<k>,-0.122558594
m0->a1.h8<v>,-5.84375
m0->a1.h11<q>,0.48828125
m0->a1.h11<k>,0.26367188
m0->a1.h11<v>,4.4375
m0->a1.h14<q>,0.18359375
m0->a1.h14<k>,0.11328125
m0->a1.h14<v>,0.375
m0->a1.h17<v>,0.38085938
input->m1,-0.76171875
a0.h1->m1,-0.34570312
a0.h3->m1,-0.76171875
a0.h5->m1,0.38085938
a0.h8->m1,0.16992188
a0.h10->m1,0.19628906
a0.h11->m1,0.2265625
a0.h12->m1,-0.14160156
a0.h14->m1,-0.22460938
a0.h15->m1,0.20507812
a0.h16->m1,0.12207031
a0.h18->m1,0.13769531
a0.h21->m1,-0.16015625
a0.h22->m1,-0.75
a0.h23->m1,0.15820312
a0.h24->m1,0.12792969
a0.h29->m1,-0.15039062
m0->m1,-3.703125
a1.h1->m1,0.5625
a1.h3->m1,-0.18359375
a1.h4->m1,-0.21582031
a1.h8->m1,-2.296875
a1.h11->m1,4.84375
a1.h14->m1,0.5234375
a1.h17->m1,0.53125
a1.h20->m1,-0.15234375
a1.h25->m1,-0.1484375
a1.h26->m1,0.34765625
m4->m5,0.20117188
m5->m7,0.115234375
m1->m29,2.953125
m2->m29,-0.30078125
m4->m29,-0.27539062
m16->m29,-0.6953125
m18->m29,0.3671875
m19->m29,-0.5
m1->a30.h15<v>,0.119140625
m8->a30.h31<v>,-0.11425781
m9->a30.h31<v>,-0.11328125
m18->a30.h31<v>,-0.640625
m1->m30,-11.75
m2->m30,-0.2890625
m4->m30,0.24707031
m9->m30,0.1328125
m16->m30,-0.4296875
m18->m30,0.57421875
m19->m30,-0.3515625
m27->m30,0.13964844
m28->m30,0.32421875
m29->m30,11.8125
a30.h11->m30,-0.3828125
a30.h13->m30,0.83984375
a30.h15->m30,-0.28320312
a30.h31->m30,-0.14453125
m1->a31.h0<q>,-0.31835938
m1->a31.h1<q>,0.8203125
m1->a31.h1<v>,-0.17285156
m1->a31.h2<q>,-1.1875
m1->a31.h3<q>,-0.13085938
m1->a31.h4<q>,0.875
m1->a31.h5<q>,7.875
m1->a31.h5<k>,-1.5625
m1->a31.h5<v>,-1.171875
m1->a31.h6<q>,-7.84375
m1->a31.h6<k>,2.15625
m1->a31.h6<v>,1.1640625
m1->a31.h7<k>,0.115722656
m1->a31.h8<q>,-0.71875
m1->a31.h9<q>,0.47070312
m1->a31.h10<q>,-1.40625
m1->a31.h11<q>,-5.5625
m1->a31.h11<k>,2.296875
m1->a31.h12<q>,-0.23828125
m1->a31.h12<k>,-2.71875
m1->a31.h12<v>,-5.875
m1->a31.h14<q>,-2.34375
m1->a31.h14<k>,0.96484375
m1->a31.h14<v>,0.13476562
m1->a31.h15<q>,12.3125
m1->a31.h15<k>,-1.7578125
m1->a31.h15<v>,-2.796875
m1->a31.h16<q>,-10.5
m1->a31.h16<k>,1.4609375
m1->a31.h16<v>,1.203125
m1->a31.h17<q>,-0.64453125
m1->a31.h17<k>,0.8203125
m1->a31.h17<v>,0.36914062
m1->a31.h18<q>,-0.78515625
m1->a31.h19<q>,-0.5390625
m1->a31.h20<q>,-0.15917969
m1->a31.h21<q>,1.203125
m1->a31.h22<q>,1.5625
m1->a31.h23<q>,-1.3125
m1->a31.h23<k>,-0.1328125
m1->a31.h24<q>,-0.27148438
m1->a31.h24<k>,1.0078125
m1->a31.h24<v>,1.3984375
m1->a31.h25<q>,0.14160156
m1->a31.h25<k>,-0.6171875
m1->a31.h25<v>,-0.3203125
m1->a31.h26<q>,-0.30078125
m1->a31.h27<q>,0.40039062
m1->a31.h28<q>,-0.24023438
m1->a31.h29<q>,1.203125
m1->a31.h29<k>,-0.8046875
m1->a31.h29<v>,-0.23046875
m1->a31.h30<q>,0.18652344
