edge,score
input->a0.h0<v>,0.0234375
input->a0.h1<k>,0.0058288574
input->a0.h1<v>,0.025512695
input->a0.h2<v>,0.0076293945
input->a0.h3<v>,0.014709473
input->a0.h4<v>,0.004852295
input->a0.h5<v>,0.018676758
input->a0.h6<v>,-0.013122559
input->a0.h7<v>,-0.009460449
input->a0.h9<v>,0.027709961
input->a0.h10<v>,-0.020629883
input->a0.h11<v>,0.0074157715
input->m0,-0.54296875
a0.h0->m0,0.033691406
a0.h1->m0,0.040283203
a0.h2->m0,-0.018798828
a0.h3->m0,0.0087890625
a0.h4->m0,-0.010009766
a0.h5->m0,0.01574707
a0.h7->m0,0.007507324
a0.h9->m0,0.019042969
a0.h10->m0,-0.0072021484
a0.h11->a1.h9<v>,-0.0048217773
m0->a1.h0<v>,0.036132812
m0->a1.h1<v>,0.009094238
m0->a1.h5<v>,0.017211914
m0->a1.h6<v>,-0.011474609
m0->a1.h7<v>,0.0051879883
m0->a1.h8<v>,0.017211914
m0->a1.h9<v>,0.022827148
m0->a1.h11<v>,0.007293701
input->m1,0.0071411133
m0->m1,-0.14550781
m0->a2.h0<v>,-0.013671875
m0->a2.h2<k>,-0.005065918
m0->a2.h2<v>,0.021362305
m0->a2.h3<v>,0.021606445
m0->a2.h4<v>,-0.007080078
m0->a2.h5<v>,-0.0134887695
m0->a2.h8<v>,0.006378174
m0->a2.h9<v>,0.018676758
m0->a2.h10<v>,0.018310547
m0->a2.h11<v>,0.0051879883
input->m2,-0.0065612793
m0->m2,-0.41992188
a1.h7->m2,-0.005065918
a1.h10->m2,-0.010925293
m1->m2,0.034179688
m0->a3.h0<v>,-0.011962891
m0->a3.h1<v>,0.008911133
m0->a3.h2<v>,0.0065612793
m0->a3.h3<v>,0.0078125
m0->a3.h5<v>,0.0050354004
m0->a3.h6<v>,0.011352539
m0->a3.h7<v>,0.006866455
m0->a3.h8<v>,-0.0054626465
m0->a3.h10<v>,0.010131836
m0->a3.h11<v>,0.006652832
m0->m3,-0.2734375
a1.h10->m3,-0.0067443848
m1->m3,0.020263672
m2->m3,0.125
m0->a4.h1<v>,-0.0056152344
m0->a4.h2<v>,-0.008239746
m0->a4.h3<v>,0.010925293
m0->a4.h4<v>,-0.017700195
m0->a4.h5<v>,0.017700195
m0->a4.h6<v>,0.008422852
m0->a4.h8<v>,-0.0056762695
m0->a4.h9<v>,0.008056641
m0->a4.h10<v>,0.009643555
m0->a4.h11<v>,0.00491333
m2->a4.h8<v>,0.0063171387
m2->a4.h9<v>,-0.005279541
m2->a4.h10<v>,0.0068359375
input->m4,0.01965332
m0->m4,0.17480469
a1.h5->m4,-0.004852295
a1.h10->m4,0.012268066
m1->m4,-0.060302734
m2->m4,-0.072265625
m0->a5.h0<k>,0.007659912
m0->a5.h0<v>,0.03930664
m0->a5.h1<v>,0.028076172
m0->a5.h3<v>,0.009155273
m0->a5.h4<k>,0.0064697266
m0->a5.h5<v>,0.010620117
m0->a5.h7<k>,0.0049438477
m0->a5.h7<v>,-0.016113281
m0->a5.h9<v>,0.015563965
m0->a5.h11<v>,0.027709961
m1->a5.h0<v>,0.005279541
m2->a5.h1<v>,-0.0069274902
m4->a5.h9<v>,-0.0053100586
m0->m5,0.08886719
m1->m5,-0.008972168
m2->m5,-0.060058594
m4->m5,-0.011169434
a5.h9->m5,0.006225586
m0->a6.h2<v>,0.028808594
m0->a6.h3<v>,0.024414062
m0->a6.h5<k>,-0.008117676
m0->a6.h5<v>,0.022460938
m0->a6.h6<v>,-0.016723633
m0->a6.h7<v>,0.008666992
m0->a6.h8<v>,-0.008850098
m0->a6.h9<k>,0.0119018555
m0->a6.h9<v>,0.017089844
m0->a6.h10<v>,0.043701172
m0->a6.h11<v>,-0.006164551
a1.h9->a6.h5<k>,-0.005493164
m2->a6.h1<k>,0.005554199
m2->a6.h2<v>,0.0077209473
m2->a6.h5<v>,0.005584717
m2->a6.h9<v>,-0.007659912
m2->a6.h10<v>,0.009887695
m4->a6.h9<v>,0.005065918
input->m6,0.007873535
a0.h9->m6,-0.005065918
m0->m6,0.08984375
a1.h10->m6,0.006225586
m1->m6,-0.019165039
m2->m6,-0.06738281
a4.h8->m6,0.0054016113
m4->m6,-0.031982422
m5->m6,-0.036621094
a6.h6->m6,-0.0049743652
m0->a7.h1<v>,0.026123047
m0->a7.h2<k>,0.006286621
m0->a7.h2<v>,0.024414062
m0->a7.h3<v>,-0.013916016
m0->a7.h4<v>,-0.015563965
m0->a7.h5<v>,0.0095825195
m0->a7.h7<v>,0.027954102
m0->a7.h8<v>,0.007873535
m0->a7.h9<v>,-0.006011963
m0->a7.h10<v>,-0.0095825195
m0->a7.h11<v>,0.012451172
m1->a7.h6<v>,0.0056152344
m1->a7.h7<v>,-0.0054016113
m1->a7.h11<v>,-0.006011963
m2->a7.h6<v>,0.0049743652
m2->a7.h11<k>,-0.008972168
m2->a7.h11<v>,-0.0077209473
a4.h4->a7.h6<v>,0.0051879883
m4->a7.h2<v>,0.004852295
m4->a7.h11<v>,0.009521484
a5.h1->a7.h11<v>,0.006866455
m5->a7.h7<v>,-0.0054016113
a6.h6->a7.h6<v>,0.007385254
a6.h9->a7.h11<v>,0.0048828125
a6.h10->a7.h6<v>,-0.0049743652
a6.h10->a7.h11<v>,0.0065612793
input->m7,0.007232666
m0->m7,0.12207031
a1.h10->m7,0.005493164
m1->m7,-0.020507812
m2->m7,-0.115722656
m3->m7,0.009155273
m4->m7,0.01940918
m0->a8.h0<v>,0.016845703
m0->a8.h1<v>,0.036621094
m0->a8.h2<v>,-0.029663086
m0->a8.h4<v>,-0.010253906
m0->a8.h6<v>,0.022827148
m0->a8.h7<v>,0.0073547363
m2->a8.h1<v>,-0.009277344
m2->a8.h10<v>,0.006225586
m4->a8.h2<v>,0.0057678223
a7.h7->a8.h5<v>,0.005004883
m7->a8.h6<v>,0.0052490234
m0->m8,-0.021972656
m2->m8,-0.040527344
m0->a9.h0<v>,-0.018432617
m0->a9.h1<v>,0.012329102
m0->a9.h2<v>,0.012207031
m0->a9.h3<v>,0.013916016
m0->a9.h4<v>,-0.020019531
m0->a9.h5<v>,0.009765625
m0->a9.h6<v>,0.02355957
m0->a9.h7<v>,-0.009033203
m0->a9.h8<v>,-0.008483887
m0->a9.h9<v>,-0.00970459
m0->a9.h11<v>,0.060546875
a1.h9->a9.h3<k>,0.0060424805
m2->a9.h3<v>,-0.006286621
m2->a9.h4<v>,0.0051574707
m2->a9.h11<v>,-0.01171875
m5->a9.h11<v>,0.006652832
m7->a9.h11<v>,0.0057678223
input->m9,0.005432129
m0->m9,0.11669922
m1->m9,-0.0076293945
m2->m9,-0.028442383
m4->m9,0.0048217773
m5->m9,-0.00491333
a7.h11->m9,0.005004883
m8->m9,-0.005340576
a9.h11->m9,0.0068359375
m0->a10.h0<v>,0.007507324
m0->a10.h1<v>,0.018066406
m0->a10.h2<k>,0.0049743652
m0->a10.h2<v>,0.010986328
m0->a10.h3<v>,0.010681152
m0->a10.h4<k>,0.008300781
m0->a10.h4<v>,0.03491211
m0->a10.h5<v>,0.014465332
m0->a10.h6<v>,-0.015563965
m0->a10.h7<v>,-0.038330078
m0->a10.h8<k>,-0.0058898926
m0->a10.h8<v>,0.026977539
m0->a10.h9<v>,-0.011962891
m0->a10.h10<v>,-0.01171875
m0->a10.h11<v>,0.030517578
m2->a10.h2<v>,-0.009033203
m2->a10.h7<v>,0.005279541
input->m10,0.007019043
a0.h5->m10,0.0064086914
a0.h9->m10,0.007385254
m0->m10,0.13574219
m4->m10,-0.009277344
m5->m10,-0.012817383
a6.h6->m10,-0.00491333
m6->m10,-0.012023926
a7.h7->m10,0.005279541
a7.h11->m10,0.006164551
a9.h11->m10,0.008605957
m9->m10,0.014587402
a10.h5->m10,0.005004883
m0->a11.h0<v>,0.011413574
m0->a11.h1<v>,-0.02331543
m0->a11.h2<k>,-0.005432129
m0->a11.h2<v>,-0.021118164
m0->a11.h3<v>,0.011352539
m0->a11.h4<k>,-0.007232666
m0->a11.h4<v>,-0.0072631836
m0->a11.h5<v>,0.036132812
m0->a11.h7<v>,-0.005706787
m0->a11.h9<v>,0.061035156
m0->a11.h10<v>,-0.025268555
m0->a11.h11<v>,-0.029418945
m1->a11.h8<v>,-0.0058288574
a7.h11->a11.h8<v>,0.0050354004
a9.h11->a11.h8<v>,0.009521484
m10->a11.h0<v>,0.006134033
m10->a11.h8<v>,0.005126953
input->m11,0.02331543
a0.h1->m11,0.00793457
a0.h5->m11,0.016967773
a0.h6->m11,-0.008972168
a0.h8->m11,-0.022460938
a0.h9->m11,0.01977539
a0.h10->m11,-0.0065612793
m0->m11,0.15527344
a1.h0->m11,0.0076293945
a1.h6->m11,-0.0052490234
a1.h9->m11,0.009033203
m1->m11,0.006225586
m2->m11,0.45703125
m4->m11,0.009277344
a5.h1->m11,-0.00793457
a5.h9->m11,0.007232666
a5.h10->m11,-0.0068359375
a6.h2->m11,0.015136719
a6.h6->m11,-0.005859375
a6.h10->m11,0.010803223
m6->m11,0.018188477
a7.h6->m11,-0.0079956055
a7.h7->m11,0.012878418
m7->m11,-0.013977051
a8.h0->m11,0.013977051
a8.h6->m11,0.009094238
a8.h9->m11,-0.008422852
m8->m11,-0.044433594
a9.h5->m11,-0.01574707
m9->m11,-0.076171875
a10.h0->m11,0.0050354004
a10.h1->m11,0.0064086914
a10.h2->m11,0.007080078
a10.h4->m11,0.008056641
a10.h5->m11,-0.0061035156
a10.h7->m11,0.015625
a10.h10->m11,-0.016113281
m10->m11,-0.17089844
a11.h0->m11,0.014770508
a11.h1->m11,-0.018066406
a11.h3->m11,-0.005004883
a11.h4->m11,0.021850586
a11.h5->m11,0.009521484
a11.h6->m11,-0.010131836
a11.h7->m11,0.012023926
a11.h8->m11,-0.014221191
a11.h9->m11,0.0060424805
a11.h10->m11,0.005859375
input->logits,-0.15820312
a0.h1->logits,-0.029663086
a0.h2->logits,0.029541016
a0.h3->logits,0.0064697266
a0.h4->logits,0.007537842
a0.h5->logits,-0.023803711
a0.h6->logits,-0.013122559
a0.h7->logits,-0.018066406
a0.h9->logits,0.017700195
a0.h10->logits,-0.047851562
a0.h11->logits,0.010375977
m0->logits,-0.30664062
a1.h2->logits,-0.009765625
a1.h3->logits,0.007385254
a1.h4->logits,-0.006164551
a1.h5->logits,0.016235352
a1.h6->logits,-0.010986328
a1.h7->logits,0.012939453
a1.h8->logits,0.017089844
m1->logits,0.012939453
a2.h0->logits,-0.009277344
a2.h3->logits,0.011962891
a2.h5->logits,-0.0062561035
m2->logits,-0.43164062
a3.h4->logits,0.006652832
a3.h5->logits,0.012634277
a3.h6->logits,0.007659912
m3->logits,0.045898438
a4.h2->logits,-0.008056641
a4.h5->logits,0.020629883
a4.h7->logits,0.0050354004
a4.h8->logits,0.0076293945
a4.h9->logits,0.017211914
a4.h10->logits,0.0052490234
m4->logits,0.12792969
a5.h0->logits,0.021606445
a5.h1->logits,0.022705078
