edge,score
input->a0.h0<q>,-0.06225586
input->a0.h0<v>,-0.56640625
input->a0.h1<v>,-0.17285156
input->a0.h2<k>,0.025878906
input->a0.h2<v>,-0.30078125
input->a0.h3<q>,0.091308594
input->a0.h3<k>,0.09814453
input->a0.h3<v>,0.05053711
input->a0.h4<q>,0.03540039
input->a0.h4<k>,0.028808594
input->a0.h4<v>,-0.025268555
input->a0.h5<q>,0.16894531
input->a0.h5<k>,0.109375
input->a0.h5<v>,0.11328125
input->a0.h6<v>,0.46484375
input->a0.h7<q>,-0.033203125
input->a0.h7<v>,-0.22167969
input->a0.h8<q>,-0.021606445
input->a0.h8<k>,0.01940918
input->a0.h8<v>,0.22265625
input->a0.h9<q>,0.052246094
input->a0.h9<k>,-0.03515625
input->a0.h9<v>,0.04272461
input->a0.h10<q>,-0.017089844
input->a0.h10<v>,0.1796875
input->a0.h11<v>,-0.16503906
input->m0,1.4921875
a0.h0->m0,-0.1953125
a0.h1->m0,-0.049316406
a0.h2->m0,-0.017456055
a0.h3->m0,-0.05444336
a0.h5->m0,0.03466797
a0.h6->m0,-0.064453125
a0.h7->m0,-0.052246094
a0.h8->m0,-0.04711914
a0.h9->m0,0.10546875
a0.h10->m0,0.039794922
a0.h11->m0,-0.063964844
m0->a1.h0<v>,-0.063964844
m0->a1.h1<q>,-0.027954102
m0->a1.h1<v>,-0.024536133
m0->a1.h3<q>,-0.047851562
m0->a1.h3<v>,0.028564453
m0->a1.h5<v>,-0.042236328
m0->a1.h6<v>,0.030029297
m0->a1.h7<q>,0.024658203
m0->a1.h7<k>,0.030883789
m0->a1.h7<v>,-0.04345703
m0->a1.h9<q>,0.029785156
m0->a1.h9<k>,0.0234375
m0->a1.h10<v>,-0.033203125
m0->a1.h11<q>,0.030273438
m0->a1.h11<k>,0.0234375
m0->a1.h11<v>,0.01965332
m0->m1,0.15039062
a1.h0->m1,-0.028442383
a1.h7->m1,0.017211914
a1.h11->m1,-0.021118164
m0->a2.h1<q>,0.029418945
m0->a2.h1<k>,0.07373047
m0->a2.h1<v>,-0.036132812
m0->a2.h2<v>,0.04248047
m0->a2.h4<q>,0.018188477
m0->a2.h4<v>,0.041259766
m0->a2.h5<q>,-0.036621094
m0->a2.h5<v>,0.017089844
m0->a2.h6<v>,0.022827148
m0->a2.h8<v>,-0.05493164
m0->a2.h10<v>,-0.040283203
m0->a2.h11<q>,0.017944336
m1->a2.h0<q>,0.025634766
m1->a2.h1<v>,-0.041259766
m1->a2.h4<v>,0.017944336
m1->a2.h5<q>,0.024536133
m1->a2.h6<v>,0.018920898
m1->a2.h7<v>,0.019042969
m1->a2.h9<q>,-0.022460938
m1->a2.h10<v>,-0.040527344
m0->m2,-0.03930664
a1.h1->m2,-0.033203125
a1.h9->m2,-0.021362305
m1->m2,0.19335938
a2.h10->m2,-0.020141602
m0->a3.h0<q>,-0.055419922
m0->a3.h0<k>,-0.019042969
m0->a3.h1<q>,0.09667969
