edge,score
input->a0.h0<k>,-0.044677734
input->a0.h3<k>,0.18164062
input->a0.h3<v>,-0.09765625
input->a0.h4<v>,0.06542969
input->a0.h9<k>,-0.044921875
input->a0.h11<v>,0.049072266
input->a0.h14<q>,-0.03149414
input->a0.h18<k>,-0.04321289
input->a0.h21<v>,0.19042969
input->a0.h22<q>,-0.03930664
input->a0.h22<k>,0.13671875
input->a0.h22<v>,-0.036865234
input->a0.h25<k>,0.036865234
input->a0.h25<v>,-0.036132812
input->a0.h26<v>,0.03564453
input->a0.h29<k>,0.03149414
input->m0,-0.20507812
a0.h3->m0,0.043701172
a0.h15->m0,0.04248047
a0.h21->m0,-0.053710938
m0->a1.h8<q>,-0.037597656
m0->a1.h8<v>,-0.12207031
m0->a1.h11<v>,0.14648438
m0->a1.h17<v>,0.052734375
m0->a1.h22<q>,0.045410156
input->m1,-0.080566406
a0.h15->m1,0.040527344
a0.h26->m1,-0.029663086
m0->m1,-0.10644531
m1->a2.h0<q>,-0.036376953
m1->a2.h0<k>,0.032714844
m1->a2.h3<k>,0.032226562
m1->a2.h4<q>,0.049804688
m1->a2.h5<q>,0.044921875
m1->a2.h5<k>,-0.06225586
m1->a2.h6<q>,-0.048339844
m1->a2.h7<q>,-0.035888672
m1->a2.h7<k>,0.051757812
m1->a2.h8<q>,-0.04345703
m1->a2.h9<q>,-0.07128906
m1->a2.h10<q>,0.076171875
m1->a2.h11<q>,-0.05834961
m1->a2.h11<k>,0.053466797
m1->a2.h12<q>,0.052246094
m1->a2.h12<k>,-0.040283203
m1->a2.h15<q>,0.14550781
m1->a2.h15<k>,-0.07861328
m1->a2.h17<k>,-0.05053711
m1->a2.h18<q>,0.12451172
m1->a2.h18<k>,-0.055664062
m1->a2.h21<q>,-0.075683594
m1->a2.h22<q>,0.32226562
m1->a2.h22<k>,-0.05029297
m1->a2.h23<q>,-0.15234375
m1->a2.h24<q>,0.12890625
m1->a2.h24<k>,-0.04345703
m1->a2.h25<q>,-0.061035156
m1->a2.h26<q>,0.061767578
m1->a2.h27<q>,0.22753906
m1->a2.h29<k>,-0.043945312
m1->a2.h30<q>,0.060058594
m1->a2.h31<q>,-0.06982422
m1->m2,-0.48828125
m1->a3.h3<q>,-0.14453125
m1->a3.h3<k>,-0.04345703
m1->a3.h4<q>,0.06689453
m1->a3.h6<q>,0.029174805
m1->a3.h7<q>,-0.043701172
m1->a3.h9<q>,-0.09765625
m1->a3.h9<k>,0.053710938
m1->a3.h10<q>,-0.25976562
m1->a3.h10<k>,0.17089844
m1->a3.h11<q>,0.12792969
m1->a3.h11<k>,-0.036621094
m1->a3.h14<q>,0.072265625
m1->a3.h14<k>,-0.0390625
m1->a3.h15<q>,-0.096191406
m1->a3.h16<q>,0.06225586
m1->a3.h17<q>,-0.15039062
m1->a3.h19<q>,0.042236328
m1->a3.h20<q>,-0.032226562
m1->a3.h21<q>,-0.04321289
m1->a3.h23<q>,0.044433594
m1->a3.h25<q>,0.095703125
m1->a3.h28<q>,-0.049316406
m1->a3.h29<q>,-0.033203125
m1->a3.h30<q>,0.10546875
m1->a3.h30<k>,-0.029541016
m2->a3.h3<q>,-0.049316406
m2->a3.h10<q>,-0.05102539
m0->m3,0.06298828
m1->m3,0.06298828
a3.h26->m3,0.048095703
m1->a4.h0<q>,0.118652344
m1->a4.h0<k>,-0.056152344
m1->a4.h1<q>,0.04321289
m1->a4.h2<q>,0.038085938
m1->a4.h3<q>,0.030639648
m1->a4.h3<k>,-0.043701172
m1->a4.h4<q>,-0.092285156
m1->a4.h4<k>,0.07519531
m1->a4.h5<q>,-0.071777344
m1->a4.h5<k>,0.048828125
m1->a4.h6<q>,-0.045898438
m1->a4.h6<k>,0.04272461
m1->a4.h8<k>,-0.078125
m1->a4.h10<k>,0.03125
m1->a4.h11<q>,0.10253906
m1->a4.h14<q>,-0.049804688
m1->a4.h15<q>,-0.076171875
m1->a4.h16<q>,0.08935547
m1->a4.h16<k>,-0.04345703
m1->a4.h17<q>,-0.07763672
m1->a4.h17<k>,0.030029297
m1->a4.h18<q>,0.060058594
m1->a4.h20<k>,-0.041503906
m1->a4.h21<q>,-0.07080078
m1->a4.h23<q>,-0.13085938
m1->a4.h25<q>,0.115722656
m1->a4.h26<q>,0.052246094
m1->a4.h27<q>,-0.15039062
m1->a4.h31<q>,-0.16210938
m1->a4.h31<k>,0.037109375
m1->m4,0.20117188
m3->m4,-0.083984375
m1->a5.h4<q>,0.041503906
m1->a5.h7<q>,0.064453125
m1->a5.h7<k>,-0.041015625
m1->a5.h8<q>,-0.029174805
m1->a5.h9<q>,-0.057617188
m1->a5.h10<k>,-0.033691406
m1->a5.h11<q>,-0.03515625
m1->a5.h12<q>,0.063964844
m1->a5.h14<q>,0.030273438
m1->a5.h14<k>,-0.030883789
m1->a5.h16<k>,-0.036865234
m1->a5.h17<q>,0.03466797
m1->a5.h19<q>,0.14160156
m1->a5.h22<q>,-0.12695312
m1->a5.h23<q>,-0.0625
m1->a5.h23<k>,0.040039062
m1->a5.h28<q>,0.06298828
m1->a5.h28<k>,-0.030273438
m0->m5,0.037353516
m4->m5,0.118652344
m1->a6.h0<q>,-0.037597656
m1->a6.h2<q>,0.04711914
m1->a6.h4<q>,-0.03125
m1->a6.h7<q>,-0.036132812
m1->a6.h8<q>,0.06298828
m1->a6.h11<q>,0.031982422
m1->a6.h13<q>,-0.05908203
m1->a6.h14<q>,0.05102539
m1->a6.h14<k>,-0.060546875
m1->a6.h15<q>,0.031982422
m1->a6.h19<q>,-0.10498047
m1->a6.h22<q>,0.044677734
m1->a6.h24<q>,0.05126953
m1->a6.h25<q>,-0.047851562
m1->a6.h27<q>,0.040039062
m4->m6,-0.034179688
m1->a7.h7<q>,0.033203125
m1->a7.h11<q>,-0.044921875
m1->a7.h15<q>,-0.043701172
m1->a7.h17<q>,-0.07324219
m1->a7.h20<q>,0.029541016
m1->a7.h21<q>,0.07910156
m1->a7.h25<q>,-0.063964844
m1->a7.h26<q>,-0.04345703
m1->a7.h27<q>,0.030029297
m1->a7.h27<k>,-0.033935547
m2->m7,0.052734375
m5->m7,0.032714844
m6->m7,0.036132812
m1->a8.h0<q>,-0.096191406
m1->a8.h0<k>,0.09326172
m1->a8.h4<q>,0.030883789
m1->a8.h9<q>,0.030883789
m1->a8.h10<q>,0.13183594
m1->a8.h10<k>,-0.061035156
m1->a8.h12<q>,0.051757812
m1->a8.h17<q>,0.0390625
m1->a8.h19<q>,0.036376953
m1->a8.h19<k>,-0.040283203
m1->a8.h24<q>,0.041015625
m1->a8.h27<q>,-0.08496094
m1->a8.h28<q>,-0.04711914
m1->a8.h29<q>,-0.055419922
m1->a9.h4<q>,-0.056884766
m1->a9.h4<k>,0.043701172
m1->a9.h13<q>,-0.05908203
m1->a9.h15<q>,-0.044433594
m1->a9.h16<q>,-0.07470703
m1->a9.h16<k>,0.050048828
m1->a9.h20<q>,-0.030273438
m1->a9.h21<q>,-0.040527344
m1->a9.h26<q>,0.11767578
m1->a9.h26<k>,-0.036132812
m1->a9.h28<q>,0.030029297
m4->m9,-0.040039062
m7->m9,-0.071777344
m8->m9,-0.07080078
m1->a10.h12<q>,0.032714844
m1->a10.h15<q>,-0.047851562
m1->a10.h25<q>,0.037109375
m8->a10.h1<v>,0.030883789
m9->a10.h1<q>,0.033935547
m5->m10,0.036132812
m7->m10,0.060546875
m9->m10,-0.036621094
m1->a11.h0<q>,-0.037597656
m1->a11.h4<q>,0.06225586
m1->a11.h7<q>,-0.032714844
m1->a11.h10<q>,-0.068359375
m1->a11.h10<k>,0.032226562
m1->a11.h13<q>,0.032226562
m1->a11.h20<q>,0.043945312
m7->m11,0.034179688
m1->a12.h8<q>,0.046875
m1->a12.h23<q>,-0.040283203
m10->m12,-0.032226562
m1->a13.h24<q>,0.029174805
m1->a13.h27<q>,-0.043701172
m8->a13.h29<v>,-0.030883789
m10->m13,0.03491211
m1->a14.h8<q>,-0.03112793
m1->a14.h16<q>,-0.029174805
m1->a14.h31<q>,-0.029418945
m1->m14,-0.034179688
m7->m14,0.03930664
m8->m14,0.045410156
m13->m14,0.03149414
m1->a15.h6<q>,0.04272461
m1->a15.h16<q>,0.033203125
m1->a15.h26<q>,0.04248047
m12->m15,0.052490234
m1->a16.h26<q>,0.03881836
m1->a16.h28<q>,0.037353516
m1->m16,-0.061035156
m10->m16,0.032226562
m14->m17,0.039794922
m16->m17,0.06982422
m15->m18,0.043701172
m16->m18,0.03112793
m17->m18,0.032714844
m18->a19.h2<q>,0.030273438
m18->a19.h27<q>,-0.03881836
m18->m19,0.039794922
m18->a20.h7<q>,-0.032714844
m17->m20,0.029785156
m18->m20,0.05444336
m15->m21,0.03173828
m18->m21,0.031982422
m20->m21,0.032714844
m18->m22,-0.030517578
m18->m23,-0.035888672
m18->a24.h16<q>,0.033447266
m21->m24,0.030273438
m18->a25.h16<q>,0.04248047
m18->a25.h16<v>,0.067871094
m20->a25.h16<q>,0.030029297
m19->m25,0.038085938
m21->m26,-0.041992188
m1->m29,0.06933594
m16->m29,-0.03173828
m18->m29,-0.030761719
m20->m29,0.03564453
m21->m29,0.033691406
m26->m29,0.030883789
m1->m30,0.47070312
m15->m30,0.041503906
m21->m30,0.075683594
m23->m30,0.05126953
m29->m30,-0.46484375
m1->a31.h5<q>,0.09326172
m1->a31.h5<k>,-0.042236328
m1->a31.h6<q>,-1.0234375
m1->a31.h6<k>,1.234375
m1->a31.h6<v>,-0.80859375
m1->a31.h8<k>,-0.10205078
m1->a31.h10<q>,0.05126953
m1->a31.h10<k>,-0.05883789
m1->a31.h11<k>,0.09082031
m1->a31.h11<v>,-0.07080078
m1->a31.h12<v>,0.328125
m1->a31.h15<k>,-0.14160156
m1->a31.h15<v>,0.057128906
m1->a31.h16<q>,-0.09765625
m1->a31.h16<k>,0.19628906
m1->a31.h16<v>,-0.030517578
m1->a31.h17<v>,0.036621094
m1->a31.h20<q>,-0.390625
m1->a31.h20<k>,-0.048339844
