edge,score
input->a0.h0<q>,-34.5
input->a0.h9<q>,-30.5
input->m0,3376.0
a0.h0->m0,86.0
a0.h1->m0,84.0
a0.h2->m0,211.0
a0.h4->m0,-241.0
a0.h5->m0,-81.5
a0.h6->m0,-66.0
a0.h7->m0,31.625
a0.h8->m0,-127.5
a0.h9->m0,-378.0
a0.h10->m0,-292.0
a0.h11->m0,308.0
a0.h12->m0,464.0
a0.h13->m0,368.0
input->a1.h7<q>,24.625
input->a1.h8<q>,-35.5
input->a1.h13<q>,-28.75
m0->a1.h2<q>,61.75
m0->a1.h3<q>,-139.0
m0->a1.h4<q>,52.25
m0->a1.h5<q>,-35.75
m0->a1.h6<q>,456.0
m0->a1.h7<q>,165.0
m0->a1.h8<q>,1000.0
m0->a1.h9<q>,-296.0
m0->a1.h10<q>,328.0
m0->a1.h11<q>,428.0
m0->a1.h12<q>,-52.75
m0->a1.h13<q>,130.0
m0->m1,242.0
a1.h0->m1,72.0
a1.h1->m1,-92.0
a1.h2->m1,193.0
a1.h3->m1,55.0
a1.h4->m1,-308.0
a1.h5->m1,187.0
a1.h6->m1,454.0
a1.h7->m1,157.0
a1.h8->m1,-145.0
a1.h9->m1,27.875
a1.h10->m1,-154.0
a1.h11->m1,-154.0
a1.h12->m1,228.0
a1.h13->m1,36.25
m0->a2.h1<q>,21.125
m0->a2.h2<q>,46.75
m0->a2.h4<q>,24.5
m0->a2.h7<q>,21.125
m0->a2.h8<q>,-75.0
m0->a2.h10<q>,59.0
a1.h1->a2.h1<q>,33.0
a1.h1->a2.h2<q>,-28.0
a1.h1->a2.h5<q>,23.625
a1.h1->a2.h8<q>,31.625
a1.h2->a2.h3<q>,-31.0
a1.h2->a2.h4<q>,-42.5
a1.h2->a2.h5<q>,35.75
a1.h2->a2.h7<q>,-24.125
a1.h2->a2.h8<q>,-58.5
a1.h3->a2.h1<q>,-22.375
a1.h3->a2.h2<q>,-31.25
a1.h3->a2.h6<q>,-23.5
a1.h3->a2.h8<q>,65.0
a1.h4->a2.h2<q>,-22.75
a1.h4->a2.h3<q>,20.75
a1.h5->a2.h3<q>,-196.0
a1.h5->a2.h4<q>,-71.5
a1.h5->a2.h5<q>,104.5
a1.h5->a2.h8<q>,-28.0
a1.h6->a2.h1<q>,32.5
a1.h6->a2.h2<q>,-71.5
a1.h6->a2.h3<q>,26.875
a1.h6->a2.h4<q>,-34.0
a1.h8->a2.h1<q>,-25.25
a1.h8->a2.h3<q>,-61.5
a1.h8->a2.h11<q>,-22.375
a1.h9->a2.h7<q>,-23.5
a1.h9->a2.h8<q>,61.75
a1.h10->a2.h3<q>,-20.625
a1.h10->a2.h5<q>,44.5
a1.h11->a2.h1<q>,21.0
a1.h11->a2.h8<q>,32.25
a1.h12->a2.h8<q>,-49.0
m1->a2.h1<q>,-129.0
m1->a2.h2<q>,-86.0
m1->a2.h3<q>,43.5
m1->a2.h4<q>,-22.75
m1->a2.h5<q>,22.5
m1->a2.h6<q>,54.75
m1->a2.h8<q>,-63.0
m1->a2.h9<q>,-41.5
m1->a2.h10<q>,-104.5
m1->a2.h11<q>,74.0
m1->a2.h13<q>,-31.625
m0->m2,-506.0
a1.h0->m2,36.5
a1.h1->m2,-26.25
a1.h3->m2,-22.5
a1.h4->m2,105.0
a1.h5->m2,55.25
a1.h7->m2,47.75
a1.h8->m2,-94.5
a1.h9->m2,63.0
a1.h10->m2,34.25
a1.h11->m2,49.25
a1.h12->m2,38.5
a1.h13->m2,24.625
m1->m2,-1872.0
a2.h0->m2,-63.25
a2.h1->m2,192.0
a2.h2->m2,-187.0
a2.h3->m2,-200.0
a2.h4->m2,-93.0
a2.h5->m2,37.0
a2.h6->m2,-43.5
a2.h7->m2,-110.5
a2.h8->m2,241.0
a2.h9->m2,-104.5
a2.h10->m2,-142.0
a2.h11->m2,75.5
a2.h12->m2,-35.25
a2.h13->m2,-35.0
a1.h6->a3.h0<q>,21.5
m1->a3.h3<q>,-21.875
m1->a3.h9<q>,-92.0
m1->a3.h11<q>,-72.5
a2.h0->a3.h0<q>,-32.75
