edge,score
input->a0.h1<q>,-7.15625
input->a0.h5<q>,8.9375
input->m0,338.0
a0.h0->m0,-33.5
a0.h1->m0,-40.25
a0.h2->m0,-21.0
a0.h3->m0,-33.0
a0.h4->m0,-38.25
a0.h5->m0,-39.0
a0.h6->m0,-15.1875
a0.h7->m0,-53.75
a0.h9->m0,-8.625
a0.h12->m0,-21.75
a0.h13->m0,-9.8125
input->a1.h10<q>,8.6875
m0->a1.h3<q>,62.0
m0->a1.h6<q>,28.75
m0->a1.h7<q>,-18.75
m0->a1.h8<q>,-209.0
m0->a1.h9<q>,-121.0
m0->a1.h10<q>,-102.0
m0->a1.h11<q>,94.0
m0->a1.h13<q>,19.0
input->m1,16.375
m0->m1,-210.0
a1.h0->m1,21.125
a1.h1->m1,85.0
a1.h2->m1,12.0
a1.h3->m1,-8.75
a1.h4->m1,53.75
a1.h5->m1,24.125
a1.h6->m1,86.0
a1.h7->m1,34.25
a1.h8->m1,18.375
a1.h9->m1,51.0
a1.h11->m1,67.0
a1.h12->m1,19.625
a1.h13->m1,9.375
m0->a2.h0<q>,-10.5
m0->a2.h2<q>,-9.8125
m0->a2.h4<q>,-7.09375
m0->a2.h10<q>,8.5
a1.h1->a2.h4<q>,-7.59375
a1.h2->a2.h4<q>,-7.71875
a1.h3->a2.h2<q>,-15.4375
a1.h7->a2.h0<q>,9.875
a1.h7->a2.h10<q>,-6.8125
a1.h8->a2.h0<q>,10.625
a1.h8->a2.h1<q>,-7.53125
a1.h8->a2.h2<q>,-15.125
a1.h8->a2.h10<q>,-8.625
a1.h9->a2.h0<q>,8.5
a1.h10->a2.h0<q>,7.71875
a1.h11->a2.h1<q>,8.8125
a1.h11->a2.h2<q>,-27.25
a1.h11->a2.h4<q>,-7.96875
a1.h11->a2.h8<q>,7.96875
a1.h11->a2.h10<q>,-20.625
a1.h11->a2.h13<q>,-8.9375
a1.h12->a2.h0<q>,9.6875
a1.h13->a2.h0<q>,11.5
a1.h13->a2.h1<q>,14.0
a1.h13->a2.h2<q>,-6.875
a1.h13->a2.h4<q>,-8.0625
m1->a2.h0<q>,15.125
m1->a2.h1<q>,-34.0
m1->a2.h2<q>,42.0
m1->a2.h4<q>,-23.5
m1->a2.h5<q>,11.625
m1->a2.h7<q>,-10.625
m1->a2.h12<q>,9.625
m1->a2.h13<q>,17.375
m0->m2,14.625
a1.h1->m2,10.875
a1.h3->m2,-17.875
a1.h4->m2,-17.0
a1.h5->m2,-13.8125
a1.h6->m2,24.5
a1.h9->m2,-19.125
a1.h10->m2,17.0
a1.h11->m2,-21.75
a1.h13->m2,-11.9375
m1->m2,192.0
a2.h0->m2,16.5
a2.h1->m2,-9.875
a2.h3->m2,10.8125
a2.h4->m2,35.25
a2.h5->m2,-21.125
a2.h6->m2,44.5
a2.h7->m2,32.5
a2.h8->m2,11.9375
a2.h9->m2,-27.25
a2.h10->m2,19.5
a2.h11->m2,7.375
a2.h12->m2,19.25
a2.h13->m2,6.875
m1->a3.h1<q>,-8.25
m1->a3.h2<q>,-7.6875
m1->a3.h9<q>,27.375
m1->a3.h10<q>,16.75
m2->a3.h1<q>,-96.5
m2->a3.h2<q>,-12.0
m2->a3.h3<q>,11.25
m2->a3.h4<q>,-27.25
m2->a3.h5<q>,-47.0
m2->a3.h6<q>,-64.0
m2->a3.h8<q>,30.875
m2->a3.h9<q>,237.0
m2->a3.h10<q>,8.1875
m2->a3.h11<q>,25.25
m2->a3.h12<q>,-14.0
m2->a3.h13<q>,-16.75
m0->m3,-39.25
a1.h1->m3,-8.8125
a1.h4->m3,13.125
a1.h5->m3,-12.375
a1.h11->m3,8.5
m1->m3,-402.0
a2.h0->m3,15.625
a2.h2->m3,17.0
a2.h4->m3,-12.3125
a2.h6->m3,-10.5625
m2->m3,-13056.0
a3.h0->m3,9.375
a3.h1->m3,25.125
a3.h5->m3,8.9375
a3.h8->m3,10.5
a3.h11->m3,21.25
a3.h12->m3,17.5
a3.h13->m3,19.375
