edge,score
input->a0.h1<v>,0.039794922
input->a0.h2<v>,-0.016601562
input->a0.h4<v>,-0.010620117
input->a0.h5<v>,-0.029418945
input->a0.h6<v>,-0.027709961
input->a0.h7<v>,-0.031982422
input->a0.h8<v>,-0.024414062
input->a0.h9<v>,-0.00793457
input->a0.h11<v>,0.017211914
input->m0,0.75
a0.h0->m0,-0.009277344
a0.h1->m0,0.025024414
a0.h2->m0,-0.005554199
a0.h4->m0,-0.0062561035
a0.h5->m0,-0.0077819824
a0.h6->m0,-0.018188477
a0.h7->m0,0.009887695
a0.h9->m0,0.010314941
a0.h11->m0,0.016601562
input->a1.h1<v>,-0.005493164
input->a1.h7<v>,-0.0054016113
m0->a1.h1<v>,-0.014770508
m0->a1.h4<v>,0.012329102
m0->a1.h5<v>,-0.009521484
m0->a1.h7<v>,-0.012268066
m0->a1.h8<v>,0.015380859
input->m1,-0.0075683594
a0.h1->m1,0.005432129
a0.h6->m1,-0.007446289
a0.h9->m1,0.00982666
a0.h11->m1,-0.010620117
m0->m1,-0.110839844
a1.h0->m1,0.0056152344
a1.h1->m1,0.0069885254
a1.h4->m1,-0.010986328
a1.h5->m1,-0.006591797
a1.h7->m1,-0.006378174
a1.h8->m1,0.018798828
m0->a2.h1<v>,-0.01586914
m0->a2.h6<v>,-0.016479492
m0->a2.h7<v>,-0.025146484
m0->a2.h9<v>,-0.0062561035
a1.h9->a2.h7<v>,0.0077819824
m1->a2.h7<v>,0.01171875
m0->m2,0.106933594
a1.h1->m2,0.009643555
a1.h7->m2,0.013183594
a1.h8->m2,-0.006866455
a1.h10->m2,-0.0065307617
m1->m2,-0.048828125
a2.h1->m2,0.008483887
m0->a3.h3<v>,-0.0063171387
m0->a3.h4<v>,-0.020751953
m0->a3.h5<v>,-0.014221191
m0->a3.h8<v>,0.0054016113
m2->a3.h4<v>,-0.006011963
input->m3,-0.011474609
m0->m3,0.1796875
a1.h7->m3,0.008178711
a1.h10->m3,-0.008117676
m1->m3,-0.025268555
a2.h1->m3,0.0059509277
m2->m3,-0.14160156
m0->a4.h4<v>,0.022460938
m0->a4.h6<k>,0.007019043
m0->a4.h6<v>,0.0058898926
