edge,score
input->m0,0.19726562
m0->a1.h11<q>,-0.1328125
m0->m1,0.61328125
m1->a2.h0<k>,-0.30664062
m1->a2.h1<k>,0.23828125
m1->a2.h4<k>,-0.13085938
m1->a2.h5<q>,0.13671875
m1->a2.h7<q>,-0.34570312
m1->a2.h7<k>,0.24707031
m1->a2.h8<q>,0.28320312
m1->a2.h10<q>,-0.16796875
m1->a2.h10<k>,0.3203125
m1->a2.h11<q>,-0.12109375
m1->a2.h15<q>,0.47265625
m1->a2.h16<q>,0.12597656
m1->a2.h16<k>,0.24511719
m1->a2.h18<k>,-0.16210938
m1->a2.h19<q>,0.4609375
m1->a2.h19<k>,-0.21386719
m1->a2.h20<q>,0.21386719
m1->a2.h21<k>,-0.57421875
m1->a2.h22<q>,0.2890625
m1->a2.h23<q>,-0.7734375
m1->a2.h23<k>,0.15820312
m1->a2.h24<q>,0.109375
m1->a2.h25<q>,-0.13964844
m1->a2.h26<q>,0.43945312
m1->a2.h27<q>,-0.96875
m1->a2.h27<k>,0.119140625
m1->a2.h28<q>,-0.22753906
m1->a2.h28<k>,0.3359375
m1->a2.h29<q>,-0.87109375
m1->a2.h29<k>,0.33984375
m1->a2.h30<q>,-0.10888672
m1->a2.h30<k>,-0.18164062
m1->m2,0.80078125
m1->a3.h2<q>,-0.1484375
m1->a3.h3<q>,-0.21484375
m1->a3.h4<q>,0.4765625
m1->a3.h4<k>,0.19042969
m1->a3.h6<q>,0.19628906
m1->a3.h6<k>,0.4140625
m1->a3.h7<q>,0.10888672
m1->a3.h9<k>,-0.12988281
m1->a3.h10<q>,0.19628906
m1->a3.h10<k>,0.44335938
m1->a3.h11<q>,0.28320312
m1->a3.h13<q>,-0.33984375
m1->a3.h15<q>,0.24609375
m1->a3.h16<q>,-0.11767578
m1->a3.h17<k>,-0.52734375
m1->a3.h19<k>,-0.12109375
m1->a3.h20<q>,-0.33984375
m1->a3.h20<k>,0.17578125
m1->a3.h21<q>,-0.51171875
m1->a3.h21<k>,-0.17871094
m1->a3.h22<q>,-0.1640625
m1->a3.h23<k>,0.14550781
